companyName,domain,sourceList
Filidea Tekstil San. ve Tic. A.Ş.,tr.filidea.com,DOSB
Filiz Makina San. ve Tic. A.Ş.,filiz.com.tr,DOSB
FNT Ahşap İşleme Mak. San. Tic. A.Ş.,fntahsap.com.tr,DOSB
FNT Ahşap İşleme Makinaları San. ve Tic. A.Ş.,fntahsap.com.tr,DOSB
Gamateks Tekstil San. ve Tic. A.Ş.,gamateks.com.tr,DOSB
Gökhan Tekstil San. ve Tic. A.Ş.,gokhan.com.tr,DOSB
Görenler Giyim Tekstil Deri Mefr. Mobilya Dayanıklı Tüketim Malları Züccaciye San. ve Tic. A.Ş.,gorenler.com,DOSB
Gülteks Tekstil San. ve Tic.Ltd.Şti.,,DOSB
Güçsan Makina Doğalgaz Madencilik Gıda San. ve Tic. Ltd.Şti.,gucsanmakina.com.tr,DOSB
Halmer Tekstil Baskı Boya San. ve Tic. A.Ş.,halmertekstil.com,DOSB
HC Organize Tekstil San. ve Tic. Ltd. Şti.,hcorganize.com.tr,DOSB
Hisar Haddecilik San.ve Tic.A.Ş.,hisarhadde.com,DOSB
Hisar Tekstil San. ve Tic. Ltd.Şti.,hisartekstil.com,DOSB
Hisarlı Dokuma Baskı-Boya San. ve Tic. Ltd. Şti.,hisarli.com.tr,DOSB
Hürsan Havlu Üretim San. ve Tic. A.Ş.,hursan.com.tr,DOSB
Hüseyin Evran,,DOSB
İber Tekstil San. ve Tic. Ltd. Şti.,iberfabrics.com,DOSB
İbrahim Yalçın Un Gıda San. ve Tic. A.Ş.,ibrahimyalcinun.com.tr,DOSB
İpek Oluklu Mukavva San. ve Tic. A.Ş.,,DOSB
İpekyolu Tekstil San. ve Tic. A.Ş.,ipekyolutex.com.tr,DOSB
Karabulut Tekstil San. ve Tic. A.Ş.,karabuluttekstil.com,DOSB
Kaynak Tekstil Pazarlama Ve Dış Tic. A.Ş.,,DOSB
Kaynak Tekstil San. ve Tic. A.Ş.,,DOSB
Kayteks Kadife San. ve Tic. Ltd. Şti.,,DOSB
Kayteks Örme Giyim San. ve Tic. A.Ş.,,DOSB
Kemal ERGENE - Seray ERGENE,,DOSB
Kemal Uğurlu Tekstil San. ve Tic. A.Ş.,ugurlutekstil.com.tr,DOSB
Kobe Tekstil San. ve Tic. Ltd. Şti.,kobetekstil.com.tr,DOSB
Kocaer Haddecilik San ve Tic. A.Ş.,,DOSB
Kocaer Tekstil San. ve Tic. A.Ş.,kocaertextile.com,DOSB
Kocaer Çelik San. ve Tic. A.Ş.,,DOSB
Konya Tekstil Sanayi Ve Tic.Ltd.Şti.,,DOSB
Kristal Kimya San. ve Tic. Ltd. Şti.,,DOSB
Kukuroğlu Tekstil Kimya İnş. San. ve Tic. Ltd. Şti.,,DOSB
Kımıl Tekstil San. ve Tic. A.Ş.,,DOSB
Larma Tekstil San. ve Tic. A.Ş.,,DOSB
Maun Gıda San. A.Ş.,maun.com.tr,DOSB
Maun Gıda San. ve Tic. Ltd. Şti.,,DOSB
Mayer Örme Tekstil San. ve Tic. Ltd. Şti.,mayerorme.com,DOSB
MDO Tekstil İç ve Dış Tic. San. ve Tic. A.Ş.,mdogroup.com.tr,DOSB
Mehmet Emin Çapan,,DOSB
Mehmet Okutan - Bilal Barbaros,,DOSB
Mek Örme Tekstil Konfeksiyon San. Ve Tic. A.Ş.,mektekstil.com.tr,DOSB
Meyteks Tekstil San. ve Tic. Ltd. Şti.,meyteks.com.tr,DOSB
Mine Kağıt-Kutu Ambalaj San. ve Tic. A.Ş.,minekagit.com,DOSB
Modateks Dokuma San. ve Tic. A.Ş.,modateks.moda,DOSB
Motif Tekstil Nakış San.ve Tic.Ltd.Şti.,motiftekstil.com.tr,DOSB
Muammer Ödemiş,,DOSB
Nesa Tekstil San. ve Tic. A.Ş.,nesatekstil.com.tr,DOSB
Neşe Tekstil San. ve Tic. A.Ş.,nesetekstil.com.tr,DOSB
NF Kimya San. ve Dış Tic. A.Ş.,nfkimya.com.tr,DOSB
NF Tekstil Nakliyat Turizm Kim. Mad. Pazarlama San. ve Dış Tic. Ltd. Şti.,nfkimya.com.tr,DOSB
Nga Mermer İnşaat Nakliyat San. Ve Tic. Ltd. Şti.,ngamermer.com.tr,DOSB
Pamukkale Çivi ve Cıvata Koll. Şti. N.SARIOĞLU ve Ort.,msn.com,DOSB
Panorama Teknoloji A.Ş.,panoramateknoloji.com,DOSB
Parla Solar Hücre ve Panel Üretim A.Ş,parlasolar.com.tr,DOSB
Polen Tekstil San. ve Tic. A.Ş.,polentekstilas.com.tr,DOSB
QNB Finans Finansal Kiralama A.Ş. (Kocaer Haddecilik San ve Tic. A.Ş.),,DOSB
Sanko Pazarlama İthalat-İhracat A.Ş.,sankopazarlama.com,DOSB
Sarmen Sarıkaya Mens.Boya-Apre Baskı San.Tic.Ltd.Şti.,,DOSB
Sarıata Tekstil Tarım Ürn. Gıda Mak. İnş. San. Ve Tic. Ltd. Şti.,sarioglutekstil.com,DOSB
Sağlam Tekstil Makina San.ve Tic.Ltd.Şti.,saglamtextile.com.tr,DOSB
Sedat Uğurlu Tekstil San. ve Tic. Ltd. Şti.,,DOSB
Semerciler Boyacılık Konf. Teks. San. Tic. Ltd. Şti.,,DOSB
Serban Tekstil San. ve Tic. Ltd. Şti.,serbantextile.com,DOSB
Side İplik San.ve Tic.Ltd.Şti.,sideiplik.com,DOSB
Sirmersan Mermer San. A.Ş.,sirmersan.com,DOSB
Sirmersan Mermer Sanayi A.Ş.   (OSB),,DOSB
Sirstone Ticaret A.Ş.,sirmersan.com,DOSB
Spinteks Tekstil İnşaat San. ve Tic. A.Ş.  (OSB),spinteks.com,DOSB
ST Grup Endüstriyel Ürünler Bilgisayar San.ve Tic.Ltd.Şti.,stgroup.com.tr,DOSB
Sudoku Tekstil Sanayi Ve Tic. A.Ş.,sudokutekstil.com.tr,DOSB
Sunteks Tekstil Ürün. İmalat San. ve Tic. Ltd. Şti.,sunteks.com,DOSB
Süzer Tekstil Sanayi ve Ticaret Limited Şirketi,suzertekstil.com.tr,DOSB
Tan Tekstil San. ve Tic. A.Ş.,tantekstil.com.tr,DOSB
Taps Tekstil San. ve Tic. Ltd. Şti.,teksimtekstil.com,DOSB
Tasfiye Halinde Serhan Tekstil Dokuma İmalat                                                  Mermercilik Ve Nakliyat San.Tic.Ltd.Şti.,,DOSB
Tasfiye Halinde Sofidel Turkey Kağıt San. ve Tic. A.Ş.,sofidelkagit.com.tr,DOSB
Tosunoğlu Tekstil San. ve Tic. A.Ş.,tosunoglu.com.tr,DOSB
Tosunoğlu Tekstil Sanayi ve Ticaret A.Ş.,tosunoglu.com.tr,DOSB
Uspar Tekstil San. ve Tic. A.Ş.,uspar.com.tr,DOSB
Uğurlu Baskı-Boya Dokuma Tekstil San. ve Tic. A.Ş.,ugurlubaskiboya.com,DOSB
Uğurlu Oto Cam San. ve Tic. A.Ş.,ugurluotocam.com.tr,DOSB
Uğurlular Tekstil San. ve Tic. A.Ş.,ugurlular.com.tr,DOSB
Vatan İnşaat Tekstil San. ve Tic. A.Ş.,vatanustubu.com,DOSB
Veritas Pazarlama İç ve Dış Ticaret A.Ş.,veritastekstil.com,DOSB
Veritas Tekstil Konf. Paz. San. ve Tic. A.Ş.,,DOSB
Veritas Tekstil Konfeksiyon Paz. San. ve Tic. A.Ş.,theveritas.com,DOSB
Vezoteks Tekstil San. ve Tic. Ltd. Şti.,,DOSB
Yapraklar Dokuma Tekstil San. ve Tic. A.Ş.,yapraklardokuma.com,DOSB
Yavuz Tekstil Konfeksiyon Ürünleri San. ve Tic. A.Ş.,yavuztekstil.net,DOSB
Yavuzçehre Tekstil San. ve Tic. A.Ş.,yavuzcehre.com.tr,DOSB
Yağcıoğlu Tekstil Müh.Müş.İnş. San.ve Tic.Ltd. Şti.,,DOSB
Yusuf UYUM - Mustafa TUNCAY,,DOSB
Yılmaz EKİZ - Uğur EKİZ - Hakan EKİZ,,DOSB
ZGK Gökşin Kimya Tekstil San. ve Tic. A.Ş,goksinkimya.com.tr,DOSB
Zorel Tekstil İmalat Pazarlama San. ve Tic. Ltd. Şti.,zoreltekstil.com.tr,DOSB
Çakanel Sigorta Aracılık Hizmetleri Ltd. Şti.,,DOSB
Çalışkan Emaye ve Isı Cihazları San. ve Tic. A.Ş,caliskanisi.com.tr,DOSB
Çayhan Doğan Metal Plastik İmalat Turizm Tic. ve San. Ltd. Şti.,,DOSB
Çağdaş Dokuma Sanayi Ve Tic.Ltd.Şti.,ozgukumas.com,DOSB
Ömer Çengel,gokdelen.com.tr,DOSB
Ömer Çengel GÖKDELEN İSKELE,gokdelen.com.tr,DOSB
Özgür Diriker - Özer Diriker,doganambalaj.com.tr,DOSB
Özgür Tekstil Konf. San. ve Tic. A.Ş.,ozgurtekstil.com.tr,DOSB
Özhan Haddecilik San. ve Tic. A.Ş.,ozhanhadde.com.tr,DOSB
Özhan Haddecilik San.Tic.A.Ş.,ozhanhadde.com.tr,DOSB
Ünüvar Tekstil San. ve Tic. Ltd. Şti.,unuvartekstil.com,DOSB
Şahlan Hidrolik Mak. San. ve Tic. A.Ş.,sahlan.com.tr,DOSB
Şaşmaz Tekstil Behçet Şaşmaz,nazenin.com.tr,DOSB
