companyName,domain,sourceList
DELTA DÖKÜM SAN. LTD. ŞTİ.,delta-casting.com,ITOSB
DENİZ MÜHENDİSLİK ARITMA A.Ş.,denizas.com.tr,ITOSB
DİŞSAN REDÜKTÖR SAN. VE TİC. A.Ş.,dissan.com.tr,ITOSB
DOĞUŞ DÖKÜM MALZEMELERİ KİMYA MÜMESSİLLİK İÇ VE DIŞ TİC. LTD. ŞTİ.,dogusmetal.com.tr,ITOSB
DOĞUŞSAN MÜHENDİSLİK MAKİNE SAN. TİC. A.Ş.,dogussan.com,ITOSB
DÖVME SANAYİ A.Ş.,dovmesan.com,ITOSB
EKODOME PREFABRİK YAPI SAN. VE TİC. A.Ş.,ekodome.com,ITOSB
ELPAŞ ELEKTRONİK MALZEMELERİ SAN. VE TİC.  AŞ.,elpas.com.tr,ITOSB
EM ELEKTRİK MALZEMELERİ YÜKLENİM SAN. TİC.A.Ş,emelec.com.tr,ITOSB
ER DÖKÜM MAK. SAN. VE TİC. A.Ş.,erdokum.com,ITOSB
ERASEL MAKİNA SAN. VE TİC. LTD.ŞTİ.,erasel.com,ITOSB
ERKA PLASTİK KALIP MAK. İNŞ.OTOMOTİV SAN.TİC.LTD.ŞTİ,erkaplastik.com,ITOSB
ESPA SOĞUTMA ELEMANLARI PAZARLAMA LTD.ŞTİ,espasogutma.com.tr,ITOSB
FER KOZMETİK İLAÇ VE GIDA SAN. TİC. A.Ş.,ferkozmetik.com.tr,ITOSB
FETAŞ İÇ VE DIŞ TİCARET SAN. A.Ş.,ftsgroup.com.tr,ITOSB
GENÇ POLİMER KİMYA SAN. TİC. LTD. ŞTİ.,gencpolimer.com,ITOSB
GENCER OTOMOTİV KAROSER SAN. TİC. LTD. ŞTİ.,gencerkasa.com,ITOSB
GENCERLER ÖTEKTİK KASA SANAYİ TİCARET LTD. ŞTİ.,gencerkasa.com,ITOSB
GLOBAL TARAL TARIM MAKİNA VE ALETLERİ SAN. VATİC. LTD.ŞTİ,globaltaral.com,ITOSB
GÜÇLÜ SOKET SANAYİ VE TİCARET A.Ş.,guclusoket.com.tr,ITOSB
GÜNAY EXPORT LOJİSTİK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,gunayexport.com,ITOSB
GÜVENLER HİDROLİK HİDROLİK PRES İŞLERİ SAN. TİC. LTD. ŞTİ.,guvenlerpres.net,ITOSB
HEINEN HOPMAN MÜHENDİSLİK AŞ,,ITOSB
ICM ULUSLAR ARASI İNŞ.DANIŞ. PAZ. SAN. VE TİC. LTD.ŞTİ,indoorlife.com.tr,ITOSB
İMER KOZMETİK SAN. TİC. AŞ.,marakozmetik.com.tr,ITOSB
İNKA MAKİNA SAN. TİC. A.Ş.,inkamakina.com,ITOSB
İŞLER MAKİNA İMALAT SAN. VE TİC. LTD.ŞTİ,islermakine.com.tr,ITOSB
KALKANCI PRES DÖKÜM VE KALIP SANAYİ TİCARET A.Ş.,,ITOSB
KAPCO KAPLAMA SAN. VE TİC. LTD.ŞTİ.,kapco.com.tr,ITOSB
KARDEŞLER MAKİNA  BAĞLANTI ELEMANLARI SAN.VE TİC.LTD.ŞTİ.,kardeslermakina.com,ITOSB
KAREL KALIP SAN.VE TİC. AŞ.,,ITOSB
KARTUR İNŞAAT REKLAM TURİZM VE TAŞIMACILIK LT. ŞTİ.,karturgroup.com,ITOSB
KAYSE ENDÜSTRİYEL MAMÜLLER SANAYİ TİCARET A.Ş.,kayse.com.tr,ITOSB
KEY TEKNİK YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş. (Fluidmaster),fluidmaster.com,ITOSB
KIĞILI GİYİM TİC. AŞ.,kigili.com,ITOSB
KİMSEL KİMYEVİ ENDÜSTRİEL HAMMADDELERİ SAN. VE TİC. A.Ş.,kimsel.com,ITOSB
KİWA BELGELENDİRME HİZMETLERİ A.Ş.,kiwa.com,ITOSB
KORKMAZ MUTFAK A.Ş.,korkmaz.com.tr,ITOSB
KÖSEDAĞ TEL ÖRME VE ÇİT SAN. VE TİC. İTH. İHR. A.Ş.,kosedag.com.tr,ITOSB
KÖSEDAĞ TEL ÖRME VE ÇİT SAN. VE TİC. İTH. İHR. A.Ş. TUZLA OSB ŞUBESİ,kosedag.com.tr,ITOSB
KUMSAN DÖKÜM MALZEMELERİ SAN. VE TİC. A.Ş.,kumsandokum.com.tr,ITOSB
MAİDE RESTORAN GIDA SAN. VE TİC. LTD. ŞTİ.,maideturkmutfagi.com,ITOSB
MAPAŞ HIRDAVATCILIK İTHALAT VE PAZARLAMA A.Ş,mapas.com.tr,ITOSB
MARİN PANEL METAL SAN. VE TİC. LTD. ŞTİ.,,ITOSB
MARMARA ÇAY GIDA  PAZARLAMA VE REKLAM HİZMETLERİ A.Ş.,pekseker.com.tr,ITOSB
MEDİCAVET TARIM HAYVANCILIK İLAÇ VE KİMYA SAN. TİC. LTD.ŞTİ,medicavet.com,ITOSB
MEGAGEN TURKEY IMPLANT A.Ş.,megagen.com.tr,ITOSB
MORİTECH ROBOT TEKNOLOJİLERİ OTOMASYON SAN. VE TİC. LTD. ŞTİ.,moritechrobot.com,ITOSB
NEROTECH OTOMASYON ELEKTRİK POMPA VE HİDROFOR SİSTEMLERİ SANAYI DIŞ TİCARET LTD. ŞTİ.,nero-tech.com,ITOSB
NETSON İLAÇ SANAYİ VE TİCARET A.Ş. TUZLA ORGANİZE SANAYİ ŞUBESİ,netsonilac.com.tr,ITOSB
NORMTECH MAKİNE TEKNOLOJİ A.Ş,,ITOSB
OĞUL ENERJİ AŞ -YURT ÇİMENTO,,ITOSB
OLİVEN GIDA YEMEK HİZMETLERİ SAN. VE TİC. LTD. ŞTİ.,oliven.com.tr,ITOSB
ÖNALLAR OTOMOTİV SAN. VE TİC.LTD.ŞTİ,onallar.net,ITOSB
ONLY FRESH COLDPRESSSED HPPGIDA ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,onlyfresh.com.tr,ITOSB
OPLOG OPERASYONEL LOJİSTİK A.Ş.,oplog.io,ITOSB
OPTİBELT GÜÇ AKTARMA  EKİPMANLARI SAN. TİC. LTD. ŞTİ,optibelt.com,ITOSB
ORGALABS BİYOLOJİK ÜRÜNLER SAN. VE TİC. A.Ş.,orgalabs.com.tr,ITOSB
PARS ENDÜSTRİYEL SAN. VE TİC. AŞ,,ITOSB
PDS PROFİL DİLME SAC MAKİNALARI SANAYİ VE DIŞ TİC. A.Ş.,pdsmakina.com.tr,ITOSB
PETEN ENDÜSTRİYEL ÜRÜNLER PAZARLAMA SAN. VE TİC. LTD. ŞTİ.,soya.com.tr,ITOSB
PLASTFAM PLASTİK FIÇI AMBALAJ MAKİNA SAN. VE TİC.LTD.ŞTİ.,plastfam.com.tr,ITOSB
PLC MER.ELEKTRONİK OTOMASYON SAN. VE TİC. LTD.ŞTİ,plcmerkezi.com.tr,ITOSB
POSEL POLYESTER SANAYİ ELEMANLARI SAN. VE TİC. LTD. ŞTİ.,posel.com.tr,ITOSB
PREMIUM POWER MAKİNA TEKNOLOJİ SAN. VE TİC. A.Ş.,powermachines.com.tr,ITOSB
PROFEKS ALÜMİNYUM PROFİL KALIP SAN. VE TİC LTD.ŞTİ.,profeks.net,ITOSB
RCHEMİE INTERNATİONAL KİMYA SANAYİ VE TİCARET LTD. ŞTİ.,,ITOSB
REFORM CİVATA SANAYİ VE TİCARET LTD. ŞTİ.,reformcivata.com.tr,ITOSB
RESPONSE ORTHO TEKNOLAJİK ÜRETİM A.Ş.,responseortho.com,ITOSB
RKS OTOMOTİV SAN. TİC. A.Ş.,,ITOSB
ŞAHİNOĞLU BRONZ PRES DÖKÜM TİC. SAN. A.Ş.,sahinoglu.com.tr,ITOSB
SENSE GIDA KATKI MADDELERİ SAN. VE TİC. LTD.ŞTİ,sensegida.com,ITOSB
SPEEDMET ALÜMİNYUM SAN. VE TİC. LTD.ŞTİ.,speedmet.com,ITOSB
STAUBLİ SANAYİ MAKİNE VE AKSESUARLARI TİCARET LTD. ŞTİ.,staubli.com.tr,ITOSB
TAB PHARMA AMBALAJ SANAYİ VE TİCARET A.Ş,tabambalaj.com.tr,ITOSB
TAMAM ELEKTRİK SANAYİ VE TİCARET A.Ş.,elkom.com.my,ITOSB
TECER METAL SAC SAN.TİC.LTD.ŞTİ.,tecermetal.com,ITOSB
TEKA PURO ÜRETİM VE TİC. A.Ş.,tekapuro.com.tr,ITOSB
TEKNİK SAÇ KAYNAK VE LEHİM İŞLERİ SAN. TİC. LTD. ŞTİ.,tekniksac.net,ITOSB
TEKNO ELEKTROMEKANİK MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,htl.com.tr,ITOSB
TEKNOLABOR ELK. SAN. VE TİC.LTD.ŞTİ,teknolabor.com,ITOSB
TOPKİM-TOPKAPI İLAÇ PREMİKS SANAYİİ VE TİCARET A.Ş. İTOSB ŞUBESİ,topkim.com.tr,ITOSB
TURCONN METAL SANAYİ VE TİCARET ANONİM ŞİRKETİ,turconn.com,ITOSB
TURKSEF İLAÇ A.Ş.,turksef.com.tr,ITOSB
ÜÇGEN PİGMENTLER VE POLİMER KATKILARI TİC.SAN.A.Ş.,ucgen.com.tr,ITOSB
ÜÇGEN PİGMENTLER VE POLİMER KATKILARI TİC.SAN.A.Ş. TUZLA OSB ŞUBESİ,ucgen.com.tr,ITOSB
UMUT TİCARET - MEHMET HATUN,umutticaret.net,ITOSB
VEKMAR ELEKTRİK SİSTEMLERİ YATIRIM VE TİC. A.Ş,vekmar.com.tr,ITOSB
VELDO İKLİMLENDİRME OTOMOTİV MAKİNE MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,veldo.com.tr,ITOSB
VIKING LIFE - SAVING EQUIPMENT İSTANBUL DENİZCİLİK TİC. AŞ.,viking-life.com,ITOSB
VİNES MAKİNA SAN. TİC. LTD. ŞTİ,vinesmakina.com,ITOSB
VSY BİYOTEKNOLOJİ ve İLAÇ SAN. A.Ş.,vsy.com.tr,ITOSB
YAPRAKSAN PLASTİK SANAYİ VE TİCARET A.Ş.,yapraksanmasterbatch.com,ITOSB
YİĞİTTAŞLAR ENDÜSTRİYEL FİLTRASYON VE BASINÇLI HAVA SİSTEMLERİ A.Ş.,yigittaslar.com,ITOSB
YILMAZ BARDAK MAKİNA LTD. ŞTİ.,ybmakina.com,ITOSB
YURTİÇİ KARGO,yurticikargo.com.tr,ITOSB
