Firma Adı;Web Sitesi;E-Posta;Detay URL
Adopen Plastik Ve Inş. San. A. Ş.;http://www.adopen.com;info@adopen.com.tr;https://www.antalyaosb.org.tr/tr/firma/adopen-plastik-ve-ins-san-a-s/7
ADVENT KİMYA TARIM SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/advent-kimya-tarim-sanayi-ve-ticaret-a-s/80
Aef Jeneratör Sanayi A. Ş.;http://www.aefjenerator.com.tr;"evrenakbag@aefjenerator.com.tr  ; info@aefmakina.com.tr";https://www.antalyaosb.org.tr/tr/firma/aef-jenerator-sanayi-a-s/8
Aft Pls. Izo. Mak. San. Tic. Ltd. Şti.;www.aftplastik.com;"info@aftplastik.com ; pazarlama@aftplastik.com - isimatik@hotmail.com";https://www.antalyaosb.org.tr/tr/firma/aft-pls-izo-mak-san-tic-ltd-sti/9
Agrikem Ziraat Ilaçları End. Ürünleri San. Ve Tic. Aş.;http://www.agrikem.com;agrikem@agrikem.com.tr;https://www.antalyaosb.org.tr/tr/firma/agrikem-ziraat-ilaclari-end-urunleri-san-ve-tic-as/10
Agronetica Gayrimenkul Ve Tarım Tic. Ltd. Şti.;http://www.semillasfito.com.tr;"gturkol@semillasfito.com ; destek@semillasfito.com;";https://www.antalyaosb.org.tr/tr/firma/agronetica-gayrimenkul-ve-tarim-tic-ltd-sti/11
Agt Ağaç Sanayi Ticaret A. Ş.;http://www.agt.com.tr;info@agt.com.tr;https://www.antalyaosb.org.tr/tr/firma/agt-agac-sanayi-ticaret-a-s/12
Agt Enerji A. Ş.;http://www.agt.com.tr;info@agt.com.tr;https://www.antalyaosb.org.tr/tr/firma/agt-enerji-a-s/13
AHMET FIRAT YAYLACI;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ahmet-firat-yaylaci/180
Ahmet Kasapoğlu Mobilya San. Tic. Ltd. Şti.;http://www.ahmetkasapoglu.com.tr;info@ahmetkasapoglu.com.tr;https://www.antalyaosb.org.tr/tr/firma/ahmet-kasapoglu-mobilya-san-tic-ltd-sti/15
AHMET KESTANE ORMAN ÜRÜNLERİ MOBİLYA İMALAT SANAYİ VE TİC. LTD.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ahmet-kestane-orman-urunleri-mobilya-imalat-sanayi-ve-tic-ltd/430
Akal Ant. Yapı Cephe Sist. Alüm. Demir. Met. Mad. Cam. Mak. I;http://www.akalant.com;info@akalant.com;https://www.antalyaosb.org.tr/tr/firma/akal-ant-yapi-cephe-sist-alum-demir-met-mad-cam-mak-i/17
Akatek Teknik Tekstil Sanayi Ve Ticaret A. Ş.;http://www.akateknik.com;"info@akateknik.com , yusufdaglarasar@akateknik.com;";https://www.antalyaosb.org.tr/tr/firma/akatek-teknik-tekstil-sanayi-ve-ticaret-a-s/18
AKB ELEKTRİK SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/akb-elektrik-sanayi-ve-ticaret-a-s/431
AKDEN KAHVE VE GIDA SANAYİ DIŞ TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/akden-kahve-ve-gida-sanayi-dis-ticaret-ltd-sti/432
Akdeniz Ahşap Endüstrisi Sanayi Ve Tic. A. Ş.;http://www.akdenizahsap.com.tr;akdeniz@akdenizahsap.com.tr;https://www.antalyaosb.org.tr/tr/firma/akdeniz-ahsap-endustrisi-sanayi-ve-tic-a-s/19
Ake Asansör Malzemeleri Pazarlama Ltd. Şti.;http://www.ake.com.tr;"info@ake.com.tr ; ckeskin@ake.com.tr";https://www.antalyaosb.org.tr/tr/firma/ake-asansor-malzemeleri-pazarlama-ltd-sti/22
Aker Kontraplak Ve Sunta San. Tic. Ltd. Şti.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/aker-kontraplak-ve-sunta-san-tic-ltd-sti/23
Akif Sarı - Sarı Demir Doğrama Konst. Raf. Vinç. Seracılık;http://www.saricelik.com.tr;koraysari87@hotmail.com - saridemircelik@gmail.com;https://www.antalyaosb.org.tr/tr/firma/akif-sari-sari-demir-dograma-konst-raf-vinc-seracilik/24
Akiş Hidrolik Asansör Ve Kaldırma Alet. San. Tic. Ltd. Şti.;http://www.akishidrolik.com.tr;"murat@akishidrolik.com.tr ; info@akishidrolik.com.tr";https://www.antalyaosb.org.tr/tr/firma/akis-hidrolik-asansor-ve-kaldirma-alet-san-tic-ltd-sti/25
Akkaya Cam Paz. Ltd. Şti.;http://www.akkayacam.com.tr;satis@akkayacam.com.tr;https://www.antalyaosb.org.tr/tr/firma/akkaya-cam-paz-ltd-sti/26
Akmetal Asansör San. Ve Tic. Ltd. Şti.;http://www.akmetalasansor.com;akmetal@akmetalasansor.com;https://www.antalyaosb.org.tr/tr/firma/akmetal-asansor-san-ve-tic-ltd-sti/27
Aksoylar Inş. Mak. Elek. Yapı. Malz. Zirai Donanım Taah. Tic.;http://www.aksoylar.com.tr;info@aksoylar.com.tr;https://www.antalyaosb.org.tr/tr/firma/aksoylar-ins-mak-elek-yapi-malz-zirai-donanim-taah-tic/29
Aksu Polimer Boya Sanayi Inşaat Ve Tic. Ltd. Şti.;http://www.aksuboya.com;info@aksuboya.com - uretim@aksuboya.com;https://www.antalyaosb.org.tr/tr/firma/aksu-polimer-boya-sanayi-insaat-ve-tic-ltd-sti/30
AKTAT TURİZM GIDA HAYVANCILIK İNŞAAT SAN.VE TİC.LTD.ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/aktat-turizm-gida-hayvancilik-insaat-san-ve-tic-ltd-sti/420
AL-SUN ALÜMİNYUM İMALAT SAN. VE TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/al-sun-aluminyum-imalat-san-ve-tic-ltd-sti/437
Alanyalı Entegre Ahşap Sanayii Inşaat Nakliyat Turizm Ithalat;http://www.alanyaliahsap.com.tr;alanyali@alanyaliahsap.com.tr;https://www.antalyaosb.org.tr/tr/firma/alanyali-entegre-ahsap-sanayii-insaat-nakliyat-turizm-ithalat/31
ALARA TURİZM VE TİC.A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/alara-turizm-ve-tic-a-s/433
Aldaş Altyapı Yönetim Danışmanlık Mühendislik Hizmetleri Elk.;http://www.aldas.com.tr;info@aldas.com.tr;https://www.antalyaosb.org.tr/tr/firma/aldas-altyapi-yonetim-danismanlik-muhendislik-hizmetleri-elk/32
ALESTA MARİNE TURİZM SANAYİ VE TİC. LTD. ŞTİ.;https://www.alestamarine.com/;"info@alestamarine.com ; muhasebe@alestamarine.com";https://www.antalyaosb.org.tr/tr/firma/alesta-marine-turizm-sanayi-ve-tic-ltd-sti/397
ALİ EROĞLU GAYRİMENKUL YATIRIM DANIŞMANLIK TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ali-eroglu-gayrimenkul-yatirim-danismanlik-ticaret-a-s/434
Alper YILMAZ;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/alper-yilmaz/401
Alternatif Inşaat Turizm Plastik Ambalaj Sanayi Ve Ticaret Lt;http://www.alternatifplastik.com;info@alternatifplastik.com;https://www.antalyaosb.org.tr/tr/firma/alternatif-insaat-turizm-plastik-ambalaj-sanayi-ve-ticaret-lt/34
ALTIN TARIM MAK. SAN.TİC.LTD.ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/altin-tarim-mak-san-tic-ltd-sti/438
Altıntar Tarım A. Ş.;http://www.altintar.com;altintar@altintar.com;https://www.antalyaosb.org.tr/tr/firma/altintar-tarim-a-s/35
Altundaş Pls. Geri Dön. Sis. Nak. Inş. Mlz. Tor. Eml. Tur. Sa;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/altundas-pls-geri-don-sis-nak-ins-mlz-tor-eml-tur-sa/36
ALUMEN MİMARİ CEPHE SİS. CAM ALÜMNYM METAL İNŞAT SAN. TİC. A.Ş;http://www.alumenyapi.com/;"tolga.celik@alumenyapi.com; funda.celik@alümenyapi.com; info@alümenyapi.com;";https://www.antalyaosb.org.tr/tr/firma/alumen-mimari-cephe-sis-cam-alumnym-metal-insat-san-tic-a-s/326
AMARİN TANOREEN GIDA UNLU MAMÜLLER TEKSTİL PAKETLEME İNŞAAT SAN.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/amarin-tanoreen-gida-unlu-mamuller-tekstil-paketleme-insaat-san/276
Ana Değirmen Sistemleri Ve Gıda San. Dış Tic. Ltd. Şti.;http://www.anamilling.com;info@anamilling.com;https://www.antalyaosb.org.tr/tr/firma/ana-degirmen-sistemleri-ve-gida-san-dis-tic-ltd-sti/38
Anadolu Reklam Matbaacılık Inşaat Turizm Nakliyat Ticaret San;http://www.anadolureklam.com.tr;info@anadolureklam.com.tr;https://www.antalyaosb.org.tr/tr/firma/anadolu-reklam-matbaacilik-insaat-turizm-nakliyat-ticaret-san/39
ANET ANTALYA İNŞAAT TURİZM SANAYİ VE TİCARET A.Ş.;https://www.antalyaanet.com/;anetet@superonline.com;https://www.antalyaosb.org.tr/tr/firma/anet-antalya-insaat-turizm-sanayi-ve-ticaret-a-s/402
Ankar Yalıtım Dekorasyon Ve Yapı Malz. San. Tic. A. Ş.;http://www.ankar.tc;info@an-kar.com - info@ankar.tc;https://www.antalyaosb.org.tr/tr/firma/ankar-yalitim-dekorasyon-ve-yapi-malz-san-tic-a-s/40
ANKOL ALKOLLÜ ALKOLSÜZ İÇECEK SANAYİ VE TİC. A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ankol-alkollu-alkolsuz-icecek-sanayi-ve-tic-a-s/360
Ankutsan Antalya Kutu Sanayi Oluklu Mukavva Kağıt Tic. A. Ş.;http://www.ankutsan.com/tr;info@ankutsan.com;https://www.antalyaosb.org.tr/tr/firma/ankutsan-antalya-kutu-sanayi-oluklu-mukavva-kagit-tic-a-s/41
ANMOSAŞ ANT.MOB.MAM.SAN.TİC.AŞ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/anmosas-ant-mob-mam-san-tic-as/439
Ant-Cam Pazarlama A. Ş.;http://www.antcam.com.tr;info@antcam.com.tr;https://www.antalyaosb.org.tr/tr/firma/ant-cam-pazarlama-a-s/42
ANT-LAS ANTALYA LASTİK VE PETROL ÜRÜNLERİ PAZ. SAN. VE TİC. LTD.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ant-las-antalya-lastik-ve-petrol-urunleri-paz-san-ve-tic-ltd/445
Antalya Akyıldız Hurda Plastik Inşaat Turizm Imalat San. Ve Tic.;http://www.akyildizplastik.com.tr;info@akyildizplastik.com.tr;https://www.antalyaosb.org.tr/tr/firma/antalya-akyildiz-hurda-plastik-insaat-turizm-imalat-san-ve-tic/43
Antalya Alkollü Içecek San. Ve Tic. A. Ş.;www.aai.com.tr;info@aai.com.tr;https://www.antalyaosb.org.tr/tr/firma/antalya-alkollu-icecek-san-ve-tic-a-s/44
Antalya Balık Turizm Gıda Taşımacılık Inş. San. Ve Tic. A. Ş.;http://www.antalyabalik.com.tr;"ab@antalyabalik.com.tr ;  satıs@sagun.com";https://www.antalyaosb.org.tr/tr/firma/antalya-balik-turizm-gida-tasimacilik-ins-san-ve-tic-a-s/45
Antalya Hasat Plastik San. Ve Tic. A.Ş;http://www.hasatplastik.com.tr;"mail@hasatplastik.com.tr ; hasatplastik@mynet.com";https://www.antalyaosb.org.tr/tr/firma/antalya-hasat-plastik-san-ve-tic-a-s/48
Antalya Karteknik Soğutma Endüstriyel Mutfak San. Tic. Ve Inş;http://www.karteknik.com;karteknik@karteknik.com;https://www.antalyaosb.org.tr/tr/firma/antalya-karteknik-sogutma-endustriyel-mutfak-san-tic-ve-ins/49
Antalya Mermer San. Tic. Ltd. Şti.;http://www.antalyamarble.com;info@antalyamarble.com;https://www.antalyaosb.org.tr/tr/firma/antalya-mermer-san-tic-ltd-sti/50
Antalya Raf Sanayi Tur. Tic. Lt. Şti.;http://www.antalyaraf.com;info@arge-metal.com;https://www.antalyaosb.org.tr/tr/firma/antalya-raf-sanayi-tur-tic-lt-sti/51
ANTALYA YAĞ SANAYİ A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/antalya-yag-sanayi-a-s/440
ANTALYA YAŞAM HASTANELERİ ÖZEL SAĞLIK HİZMETLERİ A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/antalya-yasam-hastaneleri-ozel-saglik-hizmetleri-a-s/124
Antalya Yenigün Gıda Sanayi Ve Ticaret A. Ş.;http://www.yenigungida.com.tr;info@yenigungida.com.tr;https://www.antalyaosb.org.tr/tr/firma/antalya-yenigun-gida-sanayi-ve-ticaret-a-s/52
ANTALYAPAK METAL ENDÜSTRİYEL MAKİNE MÜHENDİSLİK MİMARLIK İNŞAAT;https://www.pakmetal.com.tr/;pakmetal@pakmetal.com;https://www.antalyaosb.org.tr/tr/firma/antalyapak-metal-endustriyel-makine-muhendislik-mimarlik-insaat/387
ANTCAM CAM PAZARLAMA SANAYİ VE TİCARTE A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/antcam-cam-pazarlama-sanayi-ve-ticarte-a-s/441
ANTCAM GAYRİMENKUL EMLAK OTOMOTİV VE LOJİSTİK TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/antcam-gayrimenkul-emlak-otomotiv-ve-lojistik-ticaret-a-s/442
ANTEM GAYRİMENKUL TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/antem-gayrimenkul-ticaret-a-s/443
Antkem Gıda Turizm Makina Sanayi Ve Ticaret A. Ş.;https://antkem.com/;s.atalay@crystal.com.tr;https://www.antalyaosb.org.tr/tr/firma/antkem-gida-turizm-makina-sanayi-ve-ticaret-a-s/53
Antpor Inş. Malz. Plastik Inş. Taşımacılık Petrol Tarım End.;http://www.antpor.com;"ferdiapari@antpor.com  ;  tugut@gencergrooup.com.tr";https://www.antalyaosb.org.tr/tr/firma/antpor-ins-malz-plastik-ins-tasimacilik-petrol-tarim-end/55
Anzatsan Mühendislik Sanayi Ticaret A. Ş.;https://anzatsan.com/;info@anzatsan.com;https://www.antalyaosb.org.tr/tr/firma/anzatsan-muhendislik-sanayi-ticaret-a-s/57
ARDEM FOOD GIDA ÜRÜNLERİ PAZARLAMA DIŞ TİCARET A. Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ardem-food-gida-urunleri-pazarlama-dis-ticaret-a-s/446
Arman Teknik Tekstil Dokuma San. Tic. A. Ş.;http://www.armantekstil.com.tr;info@armantekstil.com.tr;https://www.antalyaosb.org.tr/tr/firma/arman-teknik-tekstil-dokuma-san-tic-a-s/59
ARMAS GLOBAL TURİZM YATIRIMLARI A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/armas-global-turizm-yatirimlari-a-s/459
ARSHAN İNŞAAT TAAHHÜT VE TARIM TİCARET SANAYİ LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/arshan-insaat-taahhut-ve-tarim-ticaret-sanayi-ltd-sti/447
Art-Mim Iç Mimari Tasarım Mobilya Ima. San. Ve Tic. Ltd. Şti.;http://www.artmim.com.tr;info@artmim.com.tr;https://www.antalyaosb.org.tr/tr/firma/art-mim-ic-mimari-tasarim-mobilya-ima-san-ve-tic-ltd-sti/60
ARTI DANIŞMANLIK ORGANİZASYON TURİZM EMLAK REKLAMCILIK İNŞAAT İT;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/arti-danismanlik-organizasyon-turizm-emlak-reklamcilik-insaat-it/449
ARWİN TARIM TİCARET SANAYİ LTD. ŞTİ.;https://www.arwintarim.com.tr;info@arwintarim.com.tr;https://www.antalyaosb.org.tr/tr/firma/arwin-tarim-ticaret-sanayi-ltd-sti/411
ASKAR KARTONPİYER İMALAT İZALASYON İNŞ. SAN. VE TİC. A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/askar-kartonpiyer-imalat-izalasyon-ins-san-ve-tic-a-s/451
ASL TURİZM YATIRIMLARI İNŞAAT METAL SANAYİ TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/asl-turizm-yatirimlari-insaat-metal-sanayi-ticaret-a-s/452
ATAKEDT GIDA SANAYİ VE TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/atakedt-gida-sanayi-ve-ticaret-ltd-sti/325
Atep Elektrik Pano Malzemeleri Sanayi Ticaret A.Ş;http://www.ateppano.com.tr;info@ateppano.com;https://www.antalyaosb.org.tr/tr/firma/atep-elektrik-pano-malzemeleri-sanayi-ticaret-a-s/62
ATILGAN TOPTAN TUHAFİYE TEKSTİL TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/atilgan-toptan-tuhafiye-tekstil-ticaret-ltd-sti/453
ATLAS GLOBAL EDT GIDA SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/atlas-global-edt-gida-sanayi-ve-ticaret-a-s/450
AVERY DENNISON TEKSTİL ÜRÜNLERİ SANAYİ VE TİCARET LTD. ŞTİ.;https://www.rietveld-serigrafie.nl/;muhasebe@trvprint.com;https://www.antalyaosb.org.tr/tr/firma/avery-dennison-tekstil-urunleri-sanayi-ve-ticaret-ltd-sti/388
AVN PLASTİK SANAYİ LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/avn-plastik-sanayi-ltd-sti/368
AY TURİZM OTELCİLİK İNŞAAT TİC. VE SAN. A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/ay-turizm-otelcilik-insaat-tic-ve-san-a-s/454
Ayan Inşaat Alüminyum Sistemleri Turizm Ticaret Ve Sanayi A.;http://www.ayangrup.com;info@ayangrup.com;https://www.antalyaosb.org.tr/tr/firma/ayan-insaat-aluminyum-sistemleri-turizm-ticaret-ve-sanayi-a/63
BABA İŞ  MAK. OTO KİR. VİNÇ İŞL. TAŞ. İNŞ. SAN.VE TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/baba-is-mak-oto-kir-vinc-isl-tas-ins-san-ve-tic-ltd-sti/65
BABA KURTARMA HARFİYAT NAKLİYAT TAAHHÜT VE TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/baba-kurtarma-harfiyat-nakliyat-taahhut-ve-tic-ltd-sti/455
Bahar Hindi Entegre San. ve Tic. A. Ş.;http://www.antbahar.com.tr;bilgi@antbahar.com.tr;https://www.antalyaosb.org.tr/tr/firma/bahar-hindi-entegre-san-ve-tic-a-s/66
BAKIRCILAR OTOMOTİV PETROL ÜRÜNLERİ SERVİS HİZMETLERİ VE TURİZM;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/bakircilar-otomotiv-petrol-urunleri-servis-hizmetleri-ve-turizm/456
BALCI AMBALAJ PAZ. GIDA TEKSTİL İNŞ. KUYUMCULUK TUR. TAŞ. TİC. S;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/balci-ambalaj-paz-gida-tekstil-ins-kuyumculuk-tur-tas-tic-s/319
BARDAKCI AMBALAJ OTEL EKİPMANLARI İNŞAAT SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/bardakci-ambalaj-otel-ekipmanlari-insaat-sanayi-ve-ticaret-a-s/457
Başergün Boya Ve Kimya Inş. San. Tic. A. Ş.;http://www.cubo.com.tr;info@cubo.com.tr;https://www.antalyaosb.org.tr/tr/firma/basergun-boya-ve-kimya-ins-san-tic-a-s/67
BAŞERGÜN İNŞAAT TURİZM TİC. LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/basergun-insaat-turizm-tic-ltd-sti/458
BC ENDÜSTRİYEL ÜRÜNLER İMALAT SANAYİ TİCARET LTD. ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/bc-endustriyel-urunler-imalat-sanayi-ticaret-ltd-sti/460
BCE ORMAN ÜRÜNLERİ İNŞAAT EMLAK GIDA TURİZM OTOMOTİV OTOPARK SAN;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/bce-orman-urunleri-insaat-emlak-gida-turizm-otomotiv-otopark-san/461
BELLE LAMİNE AHŞAP İNŞAAT REKLAM TİCARET VE SANAYİ LTD.ŞTİ.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/belle-lamine-ahsap-insaat-reklam-ticaret-ve-sanayi-ltd-sti/462
Bereket Plastik Sanayi Tic. A. Ş.;http://www.bereketplastik.com.tr;bereket@bereketplastik.com.tr;https://www.antalyaosb.org.tr/tr/firma/bereket-plastik-sanayi-tic-a-s/69
Bgs Burhanlar Gıda Turizm San. Ve Tic. A. Ş.;http://www.bgsfalez.com;"info@bgsfalez.com ; bgs@bgsfalez.com";https://www.antalyaosb.org.tr/tr/firma/bgs-burhanlar-gida-turizm-san-ve-tic-a-s/70
BHM OTELCİLİK A.Ş.;https://www.bhmotelcilik.com/;"ebirol@buket.com.tr ; nhalat@buket.com.tr-asistan@buket.com.tr";https://www.antalyaosb.org.tr/tr/firma/bhm-otelcilik-a-s/405
BHR SÜT VE SÜT ÜRÜNLERİ GIDA TURİZM CANLI HAYVAN TARIM SANAYİ VE;http://antbahar.com.tr/;bhrsut@antbahar.com.tr;https://www.antalyaosb.org.tr/tr/firma/bhr-sut-ve-sut-urunleri-gida-turizm-canli-hayvan-tarim-sanayi-ve/68
BİGWAY ALÜMİNYUM SANAYİ TİCARET A.Ş.;https://www.bigway.com.tr/;muhasebe@bigway.com.tr;https://www.antalyaosb.org.tr/tr/firma/bigway-aluminyum-sanayi-ticaret-a-s/425
BİLGİN STEEL GLOBAL İTHALAT İHRACAT İÇ VE DIŞ TİCARET A.Ş.;http://www.bilginsteel.com/;m.bilgin@bilginsteel.com;https://www.antalyaosb.org.tr/tr/firma/bilgin-steel-global-ithalat-ihracat-ic-ve-dis-ticaret-a-s/374
BİM BİRLEŞİK MAĞAZALAR A.Ş.;http://www.seraplastik.com.tr;yasemin.atay@bim.com.tr;https://www.antalyaosb.org.tr/tr/firma/bim-birlesik-magazalar-a-s/156
Birleşik Dağıtım Pazarlama Turizm Ticaret Ve Sanayi A. Ş.;http://www.birpa.net/;info@birpa-tr.com;https://www.antalyaosb.org.tr/tr/firma/birlesik-dagitim-pazarlama-turizm-ticaret-ve-sanayi-a-s/72
BKA TEKSTİL SANAYİ VE TİCARET A.Ş.;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/bka-tekstil-sanayi-ve-ticaret-a-s/463
BKS BİYOLOJİK KORUMA SİSTEMLERİ LABORATUVAR HİZMETLERİ TARIM MAK;;antalyaosb@antalyaosb.org.tr;https://www.antalyaosb.org.tr/tr/firma/bks-biyolojik-koruma-sistemleri-laboratuvar-hizmetleri-tarim-mak/464
Bml Gıda Tarım Inşaat Turizm Sanayi Ve Ticaret Ltd. Şti.;http://www.kitir.com.tr;murattotos@gmail.com, murat@kitir.com.tr;https://www.antalyaosb.org.tr/tr/firma/bml-gida-tarim-insaat-turizm-sanayi-ve-ticaret-ltd-sti/73
BONFES GIDA SANAYİ VE TİCARET A.Ş.;https://semercioglugida.com.tr/;yasar@semercioglugida.com;https://www.antalyaosb.org.tr/tr/firma/bonfes-gida-sanayi-ve-ticaret-a-s/424
Bora Makina Sanayi Ve Ticaret Ltd. Şti.;http://www.cmr.com.tr;bilgi@cmr.com.tr;https://www.antalyaosb.org.tr/tr/firma/bora-makina-sanayi-ve-ticaret-ltd-sti/74
Budak Kağıt Pazarlama Tic. San. Aş.;http://www.budak.com.tr;info@budak.com.tr;https://www.antalyaosb.org.tr/tr/firma/budak-kagit-pazarlama-tic-san-as/75
