Firma Adı;Sektör;Detay URL
ADANA BORU PROFİL SAC DEMİR ÇELİK HIRD. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/adana-boru-profil-sac-demir-celik-hird-san-ve-tic-ltd-sti/
ADANA BOYA TEKSTİL APRE SAN. TİC. A. Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/adana-boya-tekstil-apre-san-tic-a-s/
ADANA ÇELİK HASIR PAZ.SAN.VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/adana-celik-hasir-paz-san-ve-tic-a-s/
ADANA DÖKÜM SAN. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/adana-dokum-san-a-s/
ADANA MENSUCAT SAN.TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/adana-mensucat-san-tic-a-s/
ADANUS PLASTİK GERİ KAZANIM İTH. İHR. SAN. TİC. LTD. ŞTİ.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/adanus-plastik-geri-kazanim-ith-ihr-san-tic-ltd-sti/
ADM BESİN VE TARIM A. Ş.;Gıda Ürünleri İmalatı;https://adanaorganize.org.tr/firma/adm-besin-ve-tarim-a-s/
ADM WİLD GIDA SAN. VE TİC.LTD.ŞTİ.;İçeceklerin İmalatı;https://adanaorganize.org.tr/firma/adm-wild-gida-san-ve-tic-ltd-sti/
Adya Mühendislik San. ve Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/adya-muhendislik-san-ve-tic-ltd-sti/
AFM GIDA KİMYA İTH. İHR. TİC. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/afm-gida-kimya-ith-ihr-tic-ltd-sti/
AGROCAN TARIMSAL ÜRÜNLER SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/agrocan-tarimsal-urunler-sanayi-ve-ticaret-anonim-sirketi/
AGROTİME GÜBRE TARIM ÜRN. SAN. VE TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/agrotime-gubre-tarim-urn-san-ve-tic-ltd-sti/
AGROVA TARIMSAL ÜRETİM PAZARLAMA VE SANAYİ LİMİTED ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/agrova-tarimsal-uretim-pazarlama-ve-sanayi-limited-sirketi/
Ağaoğlu Metalürji Sanayi ve Ticaret Limited Şirketi;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/agaoglu-metalurji-sanayi-ve-ticaret-limited-sirketi/
AHSEN TÜTÜN VE TÜTÜN MAMÜLLERİ SİGARA ÇAY GIDA TARIM MAD. İNŞ. İTH. İHR. SAN. VE DIŞ TİC. LTD. ŞTİ.;Tütün Ürünleri İmalatı;https://adanaorganize.org.tr/firma/ahsen-tutun-ve-tutun-mamulleri-sigara-cay-gida-tarim-mad-ins-ith-ihr-san-ve-dis-tic-ltd-sti/
AKASYALI UN VE UNLU MAMÜLLER GIDA TARIM HAYVANCILIK İNŞ.TURİZM SAN. VE TİC.LTD.ŞTİ.;Gıda Ürünleri İmalatı;https://adanaorganize.org.tr/firma/akasyali-un-ve-unlu-mamuller-gida-tarim-hayvancilik-ins-turizm-san-ve-tic-ltd-sti/
AKBANK T.A.Ş. HACI SABANCI ORGANİZE SANAYİ BÖLGESİ ŞUBESİ;Diğer İmalatlar;https://adanaorganize.org.tr/firma/akbank-t-a-s-haci-sabanci-organize-sanayi-bolgesi-subesi/
Akdeniz Otomotiv Ticaret ve Sanayi Limited Şirketi;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/akdeniz-otomotiv-ticaret-ve-sanayi-limited-sirketi/
AKMETAL METAL VE İZL. TİC. VE TAAH. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/akmetal-metal-ve-izl-tic-ve-taah-ltd-sti/
AKO MERMER KABLO TAŞIMACILIK SAN. VE TİC. LTD. ŞTİ.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/ako-mermer-kablo-tasimacilik-san-ve-tic-ltd-sti/
AKUS AMBALAJ PLASTİK VE TEKSTİL A. Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/akus-ambalaj-plastik-ve-tekstil-a-s/
Al Jazıra Kimya İnş. İhr. İth. San. ve Tic. Ltd. Şti.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/al-jazira-kimya-ins-ihr-ith-san-ve-tic-ltd-sti/
ALBARAKA TÜRK KATILIM BANKASI A.Ş.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/albaraka-turk-katilim-bankasi-a-s/
ALC SİGARA SAN. VE TİC. LTD. ŞTİ.;Tütün Ürünleri İmalatı;https://adanaorganize.org.tr/firma/alc-sigara-san-ve-tic-ltd-sti/
ALÇA YAPI İNŞAAT SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/alca-yapi-insaat-san-tic-ltd-sti/
Aldanmaz İnşaat Taahhüt Tesisat Plastik Tar. Boya İth. İhr. San. Tic. Ltd. Şti.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/aldanmaz-insaat-taahhut-tesisat-plastik-tar-boya-ith-ihr-san-tic-ltd-sti/
ALKANATUR PRODUCTİON AMBALAJ PAZ. SAN. VE TİC. LTD. ŞTİ.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/alkanatur-production-ambalaj-paz-san-ve-tic-ltd-sti/
ALPA İNŞAAT MALZ. TAAH. SAN. VE TİC. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/alpa-insaat-malz-taah-san-ve-tic-a-s/
ALPASLAN YOL İNŞAAT TAAHHÜT METAL SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/alpaslan-yol-insaat-taahhut-metal-san-ve-tic-a-s/
ALPER MENSUCAT İPLİK BÜKÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/alper-mensucat-iplik-bukum-sanayi-ve-ticaret-limited-sirketi/
ALPHA DOKUMA SAN. VE TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/alpha-dokuma-san-ve-tic-ltd-sti/
ALPLA PLASTİK SAN.VE TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/alpla-plastik-san-ve-tic-ltd-sti/
Alset Plastik Ambalaj Sanayi Ticaret Limited Şirketi;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/alset-plastik-ambalaj-sanayi-ticaret-limited-sirketi/
ALSİS GALVANİZ METAL SAN. VE TİC. LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/alsis-galvaniz-metal-san-ve-tic-ltd-sti/
Altek Yapı Market San. Tic. Ltd. Şti.;Temel Eczacılık Ürünlerinin ve Eczacılığa İlişkin;https://adanaorganize.org.tr/firma/altek-yapi-market-san-tic-ltd-sti/
ALTIN BİLYA SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/altin-bilya-san-ve-tic-ltd-sti/
ALTIN NAR GIDA TARIM İNŞAAT PLASTİK AMB. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;Gıda Ürünleri İmalatı;https://adanaorganize.org.tr/firma/nar-nakliyat-gida-tarim-insaat-plastik-amb-ith-ihr-san-ve-tic-ltd-sti/
ANADOLU AKRİLİK ELYAF İPL.TEKS.SAN.TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/anadolu-akrilik-elyaf-ipl-teks-san-tic-ltd-sti/
ANADOLU ANTİMON MADEN SAN. VE TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/anadolu-antimon-maden-san-ve-tic-ltd-sti/
ANADOLU DÜNYA KAHVE SAN. VE TİC. LTD. ŞTİ.;Gıda Ürünleri İmalatı;https://adanaorganize.org.tr/firma/anadolu-dunya-kahve-san-ve-tic-ltd-sti/
ANKUTSAN ANTALYA KUTU SANAYİ OLUKLU MUKAVVA KAĞIT TİCARET ANONİM ŞİRKETİ;Kağıt ve Kağıt Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/ankutsan-antalya-kutu-sanayi-oluklu-mukavva-kagit-ticaret-anonim-sirketi/
APRO ALÜMİNYUM SANAYİ VE TİCARET A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/apro-aluminyum-sanayi-ve-ticaret-a-s/
ARES ISI TRANSFER SİSTEMLERİ SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/ares-isi-transfer-sistemleri-san-ve-tic-a-s/
ARES PLAKALI EŞANJÖR SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/ares-plakali-esanjor-san-ve-tic-ltd-sti/
Argema Endüstriyel Kimya A. Ş.;Kok Kömürü ve Rafine Edilmiş Petrol Ürünleri İmalatı;https://adanaorganize.org.tr/firma/argema-endustriyel-kimya-a-s/
ARİFOĞLU DOKUMA TEKSTİL İPLİK PAZARLAMA SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/arifoglu-dokuma-tekstil-iplik-pazarlama-san-ve-tic-a-s/
ARMA COTTON TEKSTİL TİC. VE SAN. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/arma-cotton-tekstil-tic-ve-san-ltd-sti/
ARSETEKS  TEKSTİL TARIM KİMYA SAN. VE PAZ. LTD .ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/arseteks-tekstil-tarim-kimya-san-ve-paz-ltd-sti/
ARSLAN YAPI KİMYASALLARI END.MAK.İNŞ.SAN.VE TİC.LTD.ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/arslan-yapi-kimyasallari-end-mak-ins-san-ve-tic-ltd-sti/
ARTEK İNŞAAT TAAHHÜT TURİZM TEKSTİL TARIM GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/artek-insaat-taahhut-turizm-tekstil-tarim-gida-sanayi-ve-ticaret-limited-sirketi/
ARTEK KİMYA TEKSTİL MAK. ÇEVRE SAN. VE TİC. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/artek-kimya-tekstil-mak-cevre-san-ve-tic-ltd-sti/
ASAT KİMYA GIDA TEKS. NAK. SAN. TİC. A.Ş.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/asat-kimya-gida-teks-nak-san-tic-a-s-2/
ASFA PLASTİK VE METAL SAN.PAZ.DIŞ.TİC.A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/asfa-plastik-ve-metal-san-paz-dis-tic-a-s/
ASFA ULUSLAR ARASI İNŞAAT SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/asfa-uluslar-arasi-insaat-san-ve-tic-a-s/
Asl Demir Metal Plastik San. ve Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/asl-demir-metal-plastik-san-ve-tic-ltd-sti/
Aslan Tel Tel Örgü İmalatı Panel Çit Sistemleri Abdulkadir Öztürk;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/aslan-tel-tel-orgu-imalati-panel-cit-sistemleri-abdulkadir-ozturk/
ASLANBAŞ ÇİVİ TEL ÇELİK HASIR GIDA TARIM İNŞ. VE TAAH. SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/aslanbas-civi-tel-celik-hasir-gida-tarim-ins-ve-taah-san-ve-tic-a-s/
ASLANKAYA MADENCİLİK VE ENERJİ SAN. TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/aslankaya-madencilik-ve-enerji-san-tic-ltd-sti/
ASLANLAR METAL ALÜMİNYUM ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/aslanlar-metal-aluminyum-anonim-sirketi/
Astronergy Solar Panel Üretim ve Tic. A. Ş.;Elektrikli Teçhizat İmalatı;https://adanaorganize.org.tr/firma/astronergy-solar-panel-uretim-ve-tic-a-s/
ATESA TEKS. İNŞ. SAN. VE TİC. A.Ş;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/atesa-teks-ins-san-ve-tic-a-s/
ATLANTİK MOBİLYA PLASTİK AMB. ÜRÜN. VE İTH. İHR. SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/atlantik-ambalaj-plastik-ahsap-metal-mobilyalari-san-ve-tic-ltd-sti/
ATLAS TOHUM ZİRAAT LTD.ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/atlas-tohum-ziraat-ltd-sti/
ATLASDENİM TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ;Giyim Eşyalarının İmalatı, Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/atlasdenim-tekstil-sanayi-ve-ticaret-anonim-sirketi/
AYDOS KİMYA SAN. VE TİC. A.Ş. ADANA ŞUBESİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/aydos-kimya-san-ve-tic-a-s-adana-subesi/
AYPAKS GIDA AMB.SAN.LTD.ŞTİ.;Kağıt ve Kağıt Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/aypaks-gida-amb-san-ltd-sti/
Aysan Tarım Ürünleri Lisanslı Depoculuk A. Ş.;Gıda Ürünleri İmalatı;https://adanaorganize.org.tr/firma/aysan-tarim-urunleri-lisansli-depoculuk-a-s/
Aytek Dokuma Tekstil İnşaat San. ve Tic. Ltd. Şti.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/aytek-dokuma-tekstil-insaat-san-ve-tic-ltd-sti/
BAKIRLAR TEKSTİL SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/bakirlar-tekstil-san-ve-tic-a-s/
BARIŞ ENDÜSTRİYEL ENERJİ SİSTEMLERİ A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/baris-teknolojik-tesisat-sis-ins-elektronik-muh-dogalgaz-enerji-ith-irh-san-ve-tic-ltd-sti/
BAŞAK SİLO SİSTEMLERİ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/basak-silo-sistemleri-insaat-sanayi-ve-ticaret-anonim-sirketi/
BAŞDOĞAN HALI TEKS.SAN.VE TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/basdogan-hali-teks-san-ve-tic-ltd-sti/
BAŞERGÜN BOYA VE KİMYA İNŞ. SAN. TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/basergun-boya-ve-kimya-ins-san-tic-a-s/
BCN TEKSTİL SAN. TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/bcn-tekstil-san-tic-ltd-sti/
BEDA GRUP ALÜMİNYUM DOĞRAMA SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/beda-grup-aluminyum-dograma-san-ve-tic-ltd-sti/
BEFİ TEKSTİL SAN. VE TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/befi-tekstil-san-ve-tic-ltd-sti/
BESEN PLASTİK VE AMB. SAN. VE TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/besen-plastik-ve-amb-san-ve-tic-ltd-sti/
BETA ENERJİ TEKNOLOJİ A.Ş.;Elektrikli Teçhizat İmalatı;https://adanaorganize.org.tr/firma/beta-enerji-ve-teknoloji-a-s/
BETA GIDA SAN.VE TİC. A.Ş.;İçeceklerin İmalatı;https://adanaorganize.org.tr/firma/beta-gida-san-ve-tic-a-s/
BEYAZ KAĞIT VE HİJ. ÜRN. TEM. İNŞ. SAN. TİC. A.Ş.;Kağıt ve Kağıt Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/beyaz-kagit-ve-hij-urn-tem-ins-san-tic-a-s/
BEYTEKS TİCARET PAZARLAMA LİMİTED ŞİRKETİ;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/beyteks-ticaret-pazarlama-limited-sirketi/
Bİ-PLAST PLASTİK MÜHENDİSLİK LOJ. TAŞ. TUR. İNŞ. İTH. İHR. SAN. LTD. ŞTİ;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/bi-plast-plastik-muhendislik-loj-tas-tur-ins-ith-ihr-san-ltd-sti/
Bilen Elektrik San.Ve Tic.Ltd.Şti.;Elektrikli Teçhizat İmalatı;https://adanaorganize.org.tr/firma/bilen-elektrik-san-ve-tic-ltd-sti/
BİLGÜN TEKSTİL SAN.VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/bilgun-tekstil-san-ve-tic-a-s/
BİLİCİ YATIRIM SAN.VE TİC. A. Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/bilici-yatirim-san-ve-tic-a-s/
BİLSEN KİMYA SAN.TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/bilsen-kimya-san-tic-ltd-sti/
BİM BİRLEŞİK MAĞAZALAR A.Ş.;Gıda Ürünleri İmalatı;https://adanaorganize.org.tr/firma/bim-birlesik-magazalar-a-s/
BİRAY KİMYA SAN. VE TİC. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/biray-kimya-san-ve-tic-a-s/
BİSMAK MEKANİK KUMLAMA BOYA İNŞ. İTH. İHR. SAN. TİC. A.Ş;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/bismak-mekanik-kumlama-boya-ins-ith-ihr-san-tic-a-s/
BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/bizim-toptan-satis-magazalari-a-s/
Boler Tekstil San. ve Tic. Ltd. Şti.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/boler-tekstil-san-ve-tic-ltd-sti/
BORŞEN BORU SANAYİ VE TİCARET ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/borsen-boru-sanayi-ve-ticaret-anonim-sirketi/
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş. DENİM İŞLETMELERİ ŞUBESİ;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/bossa-ticaret-ve-sanayi-isletmeleri-t-a-s-denim-isletmeleri-subesi/
BOSSKİM KİMYASAL MADDELER TEKS. İNŞ. OTOM. LOJ. SAN. VE TİC. PAZ. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/bosskim-kimyasal-maddeler-teks-ins-otom-loj-san-ve-tic-paz-ltd-sti/
BPS PETROL ÜRN. MAD. YAĞ  SAN. TİC. LTD. ŞTİ.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/bps-petrol-urn-mad-yag-san-tic-ltd-sti-2/
BTD TEKSTİL SAN.VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/btd-tekstil-san-ve-tic-a-s/
BTV KİMYA SAN.VE TİC. A.Ş.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/btv-kimya-san-ve-tic-a-s/
Bulem Mobilya Sanayi ve Ticaret Limited Şirketi;Mobilya İmalatı;https://adanaorganize.org.tr/firma/bulem-mobilya-sanayi-ve-ticaret-limited-sirketi/
BURAK INOX SOLAR ISI SİS.SAN.TİC.A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/burak-inox-solar-isi-sis-san-tic-a-s/
BVS TÜTÜN VE TÜTÜN MAM. SİGARA KAĞIDI MAKARON İNŞ. SAN. TİC. LTD. ŞTİ.;Tütün Ürünleri İmalatı;https://adanaorganize.org.tr/firma/bvs-tutun-ve-tutun-mam-sigara-kagidi-makaron-ins-san-tic-ltd-sti/
BYS KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/bys-kimya-sanayi-ve-ticaret-anonim-sirketi/
CAMSU PLASTİK TEKNOLOJİ SAN. TİC. A. Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/camsu-plastik-teknoloji-san-tic-a-s/
CAN KİMYEVİ MADDELER GERİ KAZANIM ARITMA BERTARAF NAK.SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/can-kimyevi-maddeler-geri-kazanim-aritma-bertaraf-nak-san-ve-tic-ltd-sti/
CANADA GREEN GATE KOZMETİK ÜRÜNLERİ SAN. VE TİC.A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/canada-green-gate-kozmetik-urunleri-san-ve-tic-a-s/
Cen Ak İş Makinaları ve Yedek Parça San. Tic. A.Ş.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;https://adanaorganize.org.tr/firma/cen-ak-is-makinalari-ve-yedek-parca-san-tic-a-s/
CEYTECH MAKİNA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Motorlu Kara Taşıtı, Treyler (Römork) ve Yarı Treylerin İmalatı;https://adanaorganize.org.tr/firma/ceytech-makina-sanayi-ve-ticaret-anonim-sirketi/
CHC MERMER İNŞ. MÜH. EML. PET. TURZ. GIDA TAR. TEKS. SAN. VE TİC. A.Ş.;Diğer İmalatlar;https://adanaorganize.org.tr/firma/chc-mermer-ins-muh-eml-pet-turz-gida-tar-teks-san-ve-tic-a-s/
CHRYSO-KAT KATKI MALZ.SAN.VE TİC.A.Ş. ADANA ŞUBESİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;https://adanaorganize.org.tr/firma/chryso-kat-katki-malz-san-ve-tic-a-s-adana-subesi/
CMA MAKİNA İMALAT İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;https://adanaorganize.org.tr/firma/cma-makina-imalat-ith-ihr-san-ve-tic-ltd-sti/
CON-IMEX PRE.İNŞ.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/con-imex-pre-ins-san-ve-tic-ltd-sti/
Coruk Hurdacılık ve Tekstil Ticareti;Kağıt ve Kağıt Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/coruk-hurdacilik-ve-tekstil-ticareti/
Ctn Makina Sanayi Ve Ticaret Anonim Şirket;Fabrikasyon Metal Ürünleri İmalatı;https://adanaorganize.org.tr/firma/ctn-makina-sanayi-ve-ticaret-anonim-sirket/
ÇALIŞKANLAR PAMUK SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;https://adanaorganize.org.tr/firma/caliskanlar-pamuk-san-ve-tic-a-s/
