OSB;FirmaAdi;WebSitesi;Domain;Email
"ASO 2.ve 3. Ankara OSB";"BİLNUR PLASTİK TEKSTİL SAN. VE TİC. A.Ş";"https://www.bilnur.com.tr/";"bilnur.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BİM BİRLEŞİK MAĞAZALAR A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"BİOGEN TOHUMCULUK TARIMSAL ÜRT. GÜBRE İTH. İHR. SAN. TİC. LTD. ŞTİ.";"http://www.biogentohum.com/";"biogentohum.com";""
"ASO 2.ve 3. Ankara OSB";"BLOK-MAR MADENCİLİK GIDA İNŞAAT ELEKTRONİK EŞYA VE TEKSTİL SAN. VE TİC. LTD. ŞTİ.";"http://www.blokmar.com";"blokmar.com";""
"ASO 2.ve 3. Ankara OSB";"BLT MÜHENDİSLİK MAK. İNŞ. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"BORDOTEK BİLGİSAYAR YAZILIM ELEKTRONİK TELEKOMÜNİKASYON DANIŞMANLIK VE SAVUNMA TEKNOLOJİLERİ SAN. VE TİC. LTD. ŞTİ.";"https://www.bordotek.com/tr/";"bordotek.com";""
"ASO 2.ve 3. Ankara OSB";"BOSAN BOYAMA SAN.VE TİC.LTD.ŞTİ .";"https://bosan.com.tr/";"bosan.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BOSAN SAVUNMA VE HAVACILIK A.Ş.";"https://bosan.com.tr/";"bosan.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BOSON ÇELİK MÜH. VE İNŞ. SAN. TİC. LTD. ŞTİ.";"https://boson.com.tr/";"boson.com.tr";""
"ASO 2.ve 3. Ankara OSB";"BROCOAT MÜH. A.Ş.";"https://www.brocoat.com/default.asp";"brocoat.com";""
"ASO 2.ve 3. Ankara OSB";"BSL TEKNİK TEKSTİL SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"BY FİRE SAVUNMA HAVACILIK MÜH. SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"CECELİ DEMİR SAN. VE TİC. A.Ş.";"https://cecelidemir.com/";"cecelidemir.com";""
"ASO 2.ve 3. Ankara OSB";"Ceceli Demir Sanayi ve Ticaret A.Ş. ÇSM Şubesi";"https://cecelidemir.com/";"cecelidemir.com";""
"ASO 2.ve 3. Ankara OSB";"Ceceli Demir Sanayi ve Ticaret A.Ş. Profil ÇSM şubesi";"https://cecelidemir.com/";"cecelidemir.com";""
"ASO 2.ve 3. Ankara OSB";"CEM WEB OFSET SANAYİ VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"Cİ-AY MÜH. MİM. İNŞ. ÖZ. SAĞ. HİZ. EML. TUR. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"CRN MAKİNA SAN VE TİC. LTD.ŞTİ.";"https://crnkalip.com/";"crnkalip.com";""
"ASO 2.ve 3. Ankara OSB";"ÇEK-YAPI MİMARLIK MÜHENDİSLİK SAN. VE TİC. LTD. ŞTİ.";"https://cekyapi.com/index.html";"cekyapi.com";""
"ASO 2.ve 3. Ankara OSB";"DDY GIDA İNŞ. TAAH. TUR. İTH. İHR. SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"DEMAS ASANSÖR ELEKTRONİK ELEKTRİK İNŞ. TEKS. PAZ. SAN. VE TİC. LTD. ŞTİ.";"https://www.demasasansor.com.tr/";"demasasansor.com.tr";""
"ASO 2.ve 3. Ankara OSB";"DERİNLER TEKNOLOJİ MAK. SAN. TİC. A.Ş.";"https://derinleras.com/";"derinleras.com";""
"ASO 2.ve 3. Ankara OSB";"DESOS DİZAYN DEKORASYON MOBİLYA İNŞAAT SANAYİ VE TİCARET A.Ş.";"https://www.desos.com/";"desos.com";""
"ASO 2.ve 3. Ankara OSB";"DİLEK YÜZEY İŞLEM TEKNOLOJİLERİ SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"DİSPOSET TIBBİ ÜRÜNLER SAN. VE TİC. A.Ş.";"https://www.disposet.com/tr";"disposet.com";""
"ASO 2.ve 3. Ankara OSB";"DODİ MATBAACILIK PROMOSYON VE KIRTASİYE ÜRÜNLERİ İMALAT VE PAZARLAMA LİMİTED ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"DOST GALVANİZ MÜH. SAN. VE TİC. A.Ş.";"https://www.dostgalvaniz.com/tr";"dostgalvaniz.com";""
"ASO 2.ve 3. Ankara OSB";"E-BERK MAKİNA MET. İNŞ. TUR. DAN. İTH. İHR. SAN. VE TİC. A.Ş.";"https://www.e-berk.com/";"e-berk.com";""
"ASO 2.ve 3. Ankara OSB";"EDORA OTOMATİK KAPI SİSTEMLERİ SAN. VE TİC. A.Ş.";"https://www.edora.com.tr/";"edora.com.tr";""
"ASO 2.ve 3. Ankara OSB";"EDRA GEOTEKNİK ALTYAPI TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"EKNA SPOR SALONU İŞLETMECİLİĞİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"ELBİ ALÜMİNYUM SAN. VE TİC. LTİ. ŞTİ";"https://www.elbialuminyum.com.tr/";"elbialuminyum.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ELBİ MED MEDİKAL TEKSTİL SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ELİMKO ELEKTRONİK İMALAT VE KONTROL TİCARET LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ELİXİR İLAÇ ARAŞTIRMA VE GELİŞTİRME A.Ş";"";"";""
"ASO 2.ve 3. Ankara OSB";"ELKO ELEKTROMEKANİK MAKİNE ELEKTRİK PANO SAN. VE TİC. A.Ş.";"https://elkoelektrik.com.tr";"elkoelektrik.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ELTES ELEKTRİK MAK. İNŞ. SAN. VE TİC. LTD.ŞTİ.";"https://elteselektrik.com.tr/";"elteselektrik.com.tr";""
"ASO 2.ve 3. Ankara OSB";"EMRE GÖKDEMİR İNŞAAT MİM. TAAH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ENES GAZ SAN. VE TİC. LTD. ŞTİ.";"https://enesgaz.com.tr/";"enesgaz.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ENNE MÜH. ARAÇ ÜSTÜ EKİPMANLARI SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ERHAN MAK. SİS. TAAH.İNŞ.TAŞ.A. SAN. ve DIŞ TİC.LTD.ŞTİ.";"https://emsmakina.com/";"emsmakina.com";""
"ASO 2.ve 3. Ankara OSB";"ERKAYA LAB. CİHAZLARI KALİTE KONTROL GIDA KATKI MADDELERİ İML. İTH. İHR. SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ERL TEKNİK ENERJİ A.Ş.";"https://erl.com.tr/";"erl.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ERMAK İNŞAAT MAKİNE SANAYİ İLETİŞİM TİCARET VE TURİZM LTD. ŞTİ.";"https://ermak.com.tr";"ermak.com.tr";""
"ASO 2.ve 3. Ankara OSB";"ERTECH ALÜMİNYUM SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ERTONGA KATAFOREZ İNŞ. METAL VE AHŞAP MOB. İMAL. SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"ERTUNÇ ÖZCAN SAĞLIK TES. VE TIBBİ CİH. İNŞ. SAN. TİC. A.Ş.";"https://ertuncozcan.com/";"ertuncozcan.com";""
"ASO 2.ve 3. Ankara OSB";"ESSA GRUP MAK. İNŞ. TURZ. SAN. TİC. LTD. ŞTİ";"https://www.essagrup.com/";"essagrup.com";""
"ASO 2.ve 3. Ankara OSB";"ESSAV TEKNOLOJİ";"http://essavteknoloji.com/";"essavteknoloji.com";""
"ASO 2.ve 3. Ankara OSB";"EUROMEK ELEKTRİK SAN. TAAH. TİC. A.Ş.";"https://www.euromek.com.tr/";"euromek.com.tr";""
"ASO 2.ve 3. Ankara OSB";"FENCE COMPANY METAL İML. SAN. A.Ş.";"https://www.fenceas.com/";"fenceas.com";""
"ASO 2.ve 3. Ankara OSB";"FİN ÇELİK METAL DIŞ İTH. İHR. SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"FİNAL END. KUMLAMA BOYA A.Ş.";"https://www.finalkumlamaboya.com.tr/";"finalkumlamaboya.com.tr";""
"ASO 2.ve 3. Ankara OSB";"FLIQA İŞ EKİPMANLARI SAN. TİC. A.Ş";"https://fliqa.com.tr/";"fliqa.com.tr";""
"ASO 2.ve 3. Ankara OSB";"FMT ELEKTRİKLİ KAMYON OTOMOTİV SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"FORETEK İNŞAAT. TAAH. SAN. VE TİC. LTD. ŞTİ.";"https://foretek.com.tr/";"foretek.com.tr";""
"ASO 2.ve 3. Ankara OSB";"FTS FİLTRASYON ARITMA SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ";"https://timex.com.tr/";"timex.com.tr";""
"ASO 2.ve 3. Ankara OSB";"FUNTENT BİLİŞİM HİZMETLERİ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GEMAK GIDA ENDÜSTRİ MAKİNALARI VE TİCARET A.Ş";"";"";""
"ASO 2.ve 3. Ankara OSB";"GEMAK GIDA ENDÜSTRİ MAKİNALARI VE TİCARET A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GENÇ IŞIK NAKLİYAT İNŞ. VE GIDA SAN. TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GENJECT SAĞLIK ÜRÜN. VE KİM. SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GENPOWER JENERATÖR SANAYİ VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GEOCLAY MADENCİLİK İTH. İHR. SAN. VE TİC. LTD. ŞTİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"GEOTEK MEDİKAL VE SAĞLIK HİZ. TİC. SAN. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GGN MÜHENDİSLİK DAN. ÇELİK İML. MONTAJ SAN. VE TİC. A.Ş.";"https://www.ggn.com.tr/";"ggn.com.tr";""
"ASO 2.ve 3. Ankara OSB";"GİAFAB MAKİNA TEKNOLOJİ VE İNŞAAT TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GLOBAL ALÜMİNYUM EKSTRÜSYON LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GMS MEDİKAL EĞİTİM VE İNŞAAT A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GNR ELEKTRONİK DIŞ TİCARET LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GORDİON MAKİNE ENDÜSTRİ LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GÖÇMEN MAKİNA SANAYİ LTD. ŞTİ";"";"";""
"ASO 2.ve 3. Ankara OSB";"GREBO OTOMOTİV SANAYİ A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GST MEDİKAL SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GÜNEŞFİX MÜHENDİSLİK A.Ş.";"https://gunesfix.com.tr";"gunesfix.com.tr";""
"ASO 2.ve 3. Ankara OSB";"GÜNO PAZARLAMA REK . TUR. SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GÜRGENLER METAL ŞEKİLLENDİRME İŞLEME SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GÜRGENLER METAL ŞEKİLLENDİRME İŞLEME SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GÜRLEŞENYIL TREYLER MAK. İML. İTH. İHR. NAK. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"GÜVENLİ YAŞAM SAVUNMA HAVACILIK SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"HAGAT SAVUNMA TEKN. BİLİŞİM İÇ VE DIŞ TİC. A.Ş.";"https://www.hagat.com.tr/";"hagat.com.tr";""
"ASO 2.ve 3. Ankara OSB";"HARUNLU SÜT ÜRÜNLERİ SAN. TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"HEKTAŞ TİCARET TÜRK T.A.Ş.";"https://hektas.com.tr/";"hektas.com.tr";""
"ASO 2.ve 3. Ankara OSB";"HERMETAL MAKİNE YEDEK PARÇA SAN. VE TİC. LTD. ŞTİ";"https://www.hermetal.com/";"hermetal.com";""
"ASO 2.ve 3. Ankara OSB";"HEXEL ENDÜSTRİYEL A.Ş.";"https://www.hexel.com.tr/";"hexel.com.tr";""
"ASO 2.ve 3. Ankara OSB";"HYDROPOWER MÜH. MAK. SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"HYPER İLERİ TEKNOLOJİLER A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"HYPER OTOMASYON MÜH. A.Ş.";"https://hyperquantum.eu/index.html";"hyperquantum.eu";""
"ASO 2.ve 3. Ankara OSB";"ISOLAND METAL VE MAKİNE İLETKEN TEL SAN. TİC. LTD. ŞTİ.";"https://www.isolandmetal.com/";"isolandmetal.com";""
"ASO 2.ve 3. Ankara OSB";"IŞILDAK İNŞAAT TAAHHÜT VE TİCARET A.Ş.";"https://www.albertgenau.com/";"albertgenau.com";""
"ASO 2.ve 3. Ankara OSB";"İİT İNTERNET VE İLETİŞİM TEK. BİLİŞ. HİZ. DIŞ. TİC. LTD. ŞTİ.";"https://iitsystems.com/";"iitsystems.com";""
"ASO 2.ve 3. Ankara OSB";"İMAT MODERN YAPI AKSESUAR SAN. VE İNŞ. TİC. A.Ş.";"https://imataks.com.tr/";"imataks.com.tr";""
"ASO 2.ve 3. Ankara OSB";"İNVAMED SAĞLIK İLAÇ SAN. TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"İSB BAĞLANTI ELEMANLARI SAN. TİC. LTD. ŞTİ.";"https://www.isbfasteners.com/";"isbfasteners.com";""
"ASO 2.ve 3. Ankara OSB";"JALPERSAN PERDE SİSTEMLERİ TEKS. VE MOB. AKS. İNŞ. SAN. VE TİC. LTD. ŞTİ.";"https://www.jalpersan.com/";"jalpersan.com";""
"ASO 2.ve 3. Ankara OSB";"KARBA OTO. A.Ş.";"https://www.karba.com.tr/";"karba.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KARDELEN BOYA VE KİMYA SAN. TİC. LTD. ŞTİ.";"https://kardelenboya.com.tr/";"kardelenboya.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KARE MEDİKAL ANALİTİK CİHAZLAR SAN. VE TİC. LTD. Ş";"https://karemedikal.com.tr/content/";"karemedikal.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KEMİPAZ KİMYEVİ END. MALZ. İML.. VE BOYA PAZ.. LTD. ŞTİ.";"https://www.kemipaz.com.tr/";"kemipaz.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KEPİ ASANSÖR MARKET İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ";"https://kepi.com.tr/";"kepi.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KERİMLER KLİMA ISITMA SOĞUTMA TAAH. İNŞ. SAN. TİC. A.Ş.";"https://viaclimate.com/";"viaclimate.com";""
"ASO 2.ve 3. Ankara OSB";"KEYVAC BİYOLOJİK ÜRÜNLER SAN. VE TİC. A.Ş.";"https://keyvac.com.tr/index.php";"keyvac.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KGM AĞIR MAKİNA SAN. VE TİC. A.Ş.";"http://www.kgmas.com.tr/";"kgmas.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KLAS KABLO SAN. VE TİC. A.Ş.";"https://klasenerji.com.tr/";"klasenerji.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KOÇ İLAÇ KİŞİSEL BAKIM VE BİTKİSEL ÜRÜNLER SAĞ. PAZ. İTH. İHR. SAN. TİC. LTD. ŞTİ.";"https://www.kocilac.com/";"kocilac.com";""
"ASO 2.ve 3. Ankara OSB";"KOLARC MAK. İML. SAN. VE TİC. A.Ş.";"https://kolarc.com/";"kolarc.com";""
"ASO 2.ve 3. Ankara OSB";"KORU KATAFOREZ KAPLAMA BOYA SAN. A.Ş.";"https://korukataforez.com/";"korukataforez.com";""
"ASO 2.ve 3. Ankara OSB";"KRİS CAM DEK. İNŞ. TAAH. TURİZM SAN. VE TİC. LTD. ŞTİ";"https://www.kriscam.com.tr/";"kriscam.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KUANTUM CAM SANAYİ TİCARET ANONİM ŞİRKETİ";"https://www.kuantumglass.com/";"kuantumglass.com";""
"ASO 2.ve 3. Ankara OSB";"KÜÇÜK PAZARLI KARDEŞLER KALIP VE MAK. SAN. LTD. ŞTİ.";"https://kpa.com.tr/";"kpa.com.tr";""
"ASO 2.ve 3. Ankara OSB";"KÜLTÜR ZİRAAT MÜH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ASO 2.ve 3. Ankara OSB";"LAZER SOLAR ENERJİ ALÜMİNYUM SİSTEMLERİ A.Ş.";"https://www.lazersolarenerji.com/";"lazersolarenerji.com";""
"ASO 2.ve 3. Ankara OSB";"LENA TARIM ÜRÜNLERİ ÜRETİM PAZ. VE DIŞ TİC. A.Ş.";"https://www.lenatarim.com.tr/tr";"lenatarim.com.tr";""
"ASO 2.ve 3. Ankara OSB";"LİDER TÜNEL İNŞAAT ZEMİN SİSTEMLERİ SAN. VE TİC. A.Ş.";"";"";""
"ASO 2.ve 3. Ankara OSB";"LİNDE GAZ A.Ş.";"https://lindegazmarket.com/";"lindegazmarket.com";""
