"Kaynak";"FirmaAdi";"WebSitesi";"Domain"
"Softtr";"cncrouterparca.com e-ticaret sitesi";"https://www.cncrouterparca.com";"cncrouterparca.com"
"Softtr";"yildizdigital.com e-ticaret sitesi";"https://www.yildizdigital.com";"yildizdigital.com"
"Softtr";"polismarketi.com e-ticaret sitesi";"https://www.polismarketi.com";"polismarketi.com"
"Softtr";"evperest.com e-ticaret sitesi";"https://www.evperest.com";"evperest.com"
"Softtr";"felinefellows.com e-ticaret sitesi";"https://www.felinefellows.com";"felinefellows.com"
"Softtr";"tenaprint.com e-ticaret sitesi";"https://www.tenaprint.com";"tenaprint.com"
"Softtr";"lrfdukkani.com e-ticaret sitesi";"https://www.lrfdukkani.com";"lrfdukkani.com"
"Softtr";"sahinnotebook.com.tr e-ticaret sitesi";"https://www.sahinnotebook.com.tr";"sahinnotebook.com.tr"
"Softtr";"hazellica.com e-ticaret sitesi";"https://www.hazellica.com";"hazellica.com"
"Softtr";"doorspack.com e-ticaret sitesi";"https://www.doorspack.com";"doorspack.com"
"Softtr";"gurmebalkan.com.tr e-ticaret sitesi";"https://www.gurmebalkan.com.tr";"gurmebalkan.com.tr"
"Softtr";"cayshop.com.tr e-ticaret sitesi";"https://www.cayshop.com.tr";"cayshop.com.tr"
"Softtr";"vmobilya.com.tr e-ticaret sitesi";"https://www.vmobilya.com.tr";"vmobilya.com.tr"
"Softtr";"patibuton.com e-ticaret web sitesi";"https://www.patibuton.com";"patibuton.com"
"Softtr";"ayrem.com e-ticaret sitesi";"https://www.ayrem.com";"ayrem.com"
"Softtr";"cajuart.com e-ticaret sitesi";"https://www.cajuart.com";"cajuart.com"
"Softtr";"https://www.ebamed.com.tr e-ticaret sitesi";"https://www.ebamed.com.tr";"ebamed.com.tr"
"Softtr";"zeytinseli.com e-ticaret web sitesi";"https://www.zeytinseli.com";"zeytinseli.com"
"Softtr";"ignedeniplige.com.tr E-Ticaret Sitesi";"https://www.ignedeniplige.com.tr";"ignedeniplige.com.tr"
"Softtr";"balonmagnet.com e-ticaret web sitesi";"https://www.balonmagnet.com";"balonmagnet.com"
"Softtr";"Bayilik Başvurusu";"https://bayi.softtr.net/register.php";"bayi.softtr.net"
"Softtr";"Yardım Dökümanları";"https://destek.softtr.com";"destek.softtr.com"
