Okul Adı;Şehir;Kategori;Telefon;Web Sitesi;Domain;Adres
AKDENİZ YÜKSELİŞ EĞİTİM KURUMLARI FEN LİSESİ;Antalya;Lise;02427226401;http://akdenizyukseliskoleji.k12.tr;akdenizyukseliskoleji.k12.tr;ORTA MAH. 1245 SK. NO: 2-2 İÇ KAPI NO: 1 SERİK / ANTALYA
AKDENİZ YÜKSELİŞ EĞİTİM KURUMLARI İLKOKULU;Antalya;İlköğretim;02427226400;http://akdenizyukseliskoleji.k12.tr;akdenizyukseliskoleji.k12.tr;ORTA MAH. 1245 SK. NO: 2-2 İÇ KAPI NO: 1 SERİK / ANTALYA
AKDENİZ YÜKSELİŞ EĞİTİM KURUMLARI ORTAOKULU;Antalya;Ortaokul;2427226400;http://akdenizyukseliskoleji.k12.tr;akdenizyukseliskoleji.k12.tr;ORTA MAH. 1245 SK. NO: 2-2 İÇ KAPI NO: 1 SERİK / ANTALYA
AKEV KOLEJİ LİSESİ;Antalya;Lise;02422277013;http://www.akevkoleji.k12.tr;akevkoleji.k12.tr;KÜLTÜR MAH. 3829 SK.  NO: 3 KEPEZ / ANTALYA
AKHİSAR  ANADOLU LİSESİ;Manisa;Lise;02364272527;http://akhisarkoleji.com;akhisarkoleji.com;KAYALIOĞLU MAH. SÜSLÜ SOK. NO:17 AKHİSAR/MANİSA
AKHİSAR ANAOKULU;Manisa;Okul Öncesi;05325446106;http://akhisarkoleji.com;akhisarkoleji.com;KAYALIOĞLU MAH. SÜSLÜ SOK. NO:17 AKHİSAR/MANİSA
AKHİSAR FEN LİSESİ;Manisa;Lise;02364272527;http://akhisarkoleji.com;akhisarkoleji.com;KAYALIOĞLU MAH. SÜSLÜ SOK. NO:17 AKHİSAR/MANİSA
AKHİSAR İLKOKULU;Manisa;İlköğretim;05325446106;http://akhisarkoleji.com;akhisarkoleji.com;KAYALIOĞLU MAH. SÜSLÜ SOK. NO:17 AKHİSAR/MANİSA
AKHİSAR ORTAOKULU;Manisa;Ortaokul;05325446106;http://akhisarkoleji.com;akhisarkoleji.com;KAYALIOĞLU MAH. SÜSLÜ SOK. NO:17 AKHİSAR/MANİSA
ALANYA CUMHURİYET EĞİTİM VAKFI  ÖZEL HAMDULLAH EMİNPAŞA İLKOKULU;Antalya;İlköğretim;02425132180;http://www.ohepokullari.k12.tr;ohepokullari.k12.tr;ÇARŞI MAH.HAMDULLAH EMİN PAŞA SOKAK NO:14 ALANYA/ANTALYA
ALANYA CUMHURİYET EĞİTİM VAKFI ÖZEL HAMDULLAH EMİNPAŞA ANADOLU LİSESİ;Antalya;Lise;02425132180;http://www.ohepokullari.k12.tr;ohepokullari.k12.tr;ÇARŞI MAH.HAMDULLAH EMİN PAŞA SOKAK NO:14 ALANYA/ANTALYA
ALANYA CUMHURİYET EĞİTİM VAKFIÖZEL HAMDULLAH EMİNPAŞA ORTAOKULU;Antalya;Ortaokul;02425132180;http://www.ohepokullari.k12.tr;ohepokullari.k12.tr;ÇARŞI MAH.HAMDULLAH EMİN PAŞA SOKAK NO:14 ALANYA/ANTALYA
ALEV ANAOKULU;İstanbul;Okul Öncesi;02164358350;https://alev.k12.tr;alev.k12.tr;ÖMERLİ MAHALLESİ KADİROVA CADDESİ NO:56 ÇEKMEKÖY / İSTANBUL
ALEV İLKOKULU;İstanbul;İlköğretim;02164358350;https://alev.k12.tr;alev.k12.tr;ÖMERLİ MAHALLESİ KADİROVA CADDESİ NO:56 ÇEKMEKÖY / İSTANBUL
ALEV LİSESİ;İstanbul;Lise;02164358350;https://alev.k12.tr;alev.k12.tr;ÖMERLİ MAHALLESİ KADİROVA CADDESİ NO:56 ÇEKMEKÖY / İSTANBUL
ALEV ORTAOKULU;İstanbul;Ortaokul;02164358350;https://alev.k12.tr;alev.k12.tr;ÖMERLİ MAHALLESİ KADİROVA CADDESİ NO:56 ÇEKMEKÖY / İSTANBUL
ALKENT İLK KARAR ANAOKULU (AİKA);İstanbul;Okul Öncesi;02128890294;;;ALKENT 2000 MAH. SARDUNYA SOK. NO: 2, 34500
ALKEV (ALMAN LİSELİLER KÜLTÜR VE EĞİTİM VAKFI ) ANAOKULU;İstanbul;Okul Öncesi;0 212 886 88 40;http://www.alkev.k12.tr;alkev.k12.tr;ALKENT 2000 MH. MEHMET YEŞİLGÜL CD. NO: 7 BÜYÜKÇEKMECE / İSTANBUL
ALKEV (ALMAN LİSELİLER KÜLTÜR VE EĞİTİM VAKFI ) İLKOKULU;İstanbul;İlköğretim;02128868840;http://www.alkev.k12.tr;alkev.k12.tr;ALKENT 2000 MH. MEHMET YEŞİLGÜL CD. NO: 7 BÜYÜKÇEKMECE / İSTANBUL
ALKEV (ALMAN LİSELİLER KÜLTÜR VE EĞİTİM VAKFI ) ORTAOKULU;İstanbul;Ortaokul;02128868840;http://www.alkev.k12.tr;alkev.k12.tr;ALKENT 2000 MH. MEHMET YEŞİLGÜL CD. NO: 7 BÜYÜKÇEKMECE / İSTANBUL
ALKEV ÖZEL ANADOLU LİSESİ;İstanbul;Lise;02128868840;http://www.alkev.k12.tr;alkev.k12.tr;ALKENT 2000 MH. MEHMET YEŞİLGÜL CD. NO: 7 BÜYÜKÇEKMECE / İSTANBUL
ALKEV ÖZEL FEN LİSESİ;İstanbul;Lise;02128868840;http://www.alkev.k12.tr;alkev.k12.tr;ALKENT 2000 MH. MEHMET YEŞİLGÜL CD. NO: 7 BÜYÜKÇEKMECE / İSTANBUL
ALMAN LİSESİ;İstanbul;Lise;0 212 245 13 90;https://www.ds-istanbul.net/;ds-istanbul.net;Şahkulu Bostan Sok. No. 10 Beyoğlu / İstanbul
ALTIN EĞİTİM ANADOLU GÜZEL SANATLAR LİSESİ;Ankara;Lise;0 312 282 65 65;https://www.altinegitim.k12.tr;altinegitim.k12.tr;ERYAMAN MAH. 305. SOKAK NO:19
ALTIN EĞİTİM ANADOLU LİSESİ;Ankara;Lise;0 312 282 65 65;https://www.altinegitim.k12.tr;altinegitim.k12.tr;ERYAMAN MAH.309. SOKAK NO:19
ALTIN EĞİTİM İLKOKULU;Ankara;İlköğretim;0 312 282 08 08;https://www.altinegitim.k12.tr;altinegitim.k12.tr;1. MEŞRUTİYET CAD. DOĞAKENT KONUTLARI NO:28 ERYAMAN
ALTIN EĞİTİM ORTAOKULU;Ankara;Ortaokul;0 312 282 65 65;https://www.altinegitim.k12.tr;altinegitim.k12.tr;ERYAMAN MAH. 305. SOK.NO:19 ETİMESGUT
AMERİKAN ROBERT LİSESİ;İstanbul;Lise;02123592222;http://rcwww.robcol.k12.tr;rcwww.robcol.k12.tr;KURUÇESME CAD. NO.87 34345 ARNAVUTKÖY/BEŞİKTAŞ
ANAKENT ANAOKULU;İstanbul;Okul Öncesi;05323478050;https://anakentkoleji.k12.tr/;anakentkoleji.k12.tr;ŞAİR ARŞİ CAD. NO:59 GÖZTEPE / KADIKÖY / İSTANBUL
ANAKENT İLKOKULU;İstanbul;İlköğretim;02165668190;https://anakentkoleji.k12.tr/;anakentkoleji.k12.tr;ŞAİR ARŞİ CAD. NO:59 GÖZTEPE / KADIKÖY / İSTANBUL
ANAKENT KOLEJİ;İstanbul;Lise;0 216 566 81 91;https://anakentkoleji.k12.tr/;anakentkoleji.k12.tr;ŞAİR ARŞİ CAD. NO:59 GÖZTEPE / KADIKÖY / İSTANBUL
ANAKENT ORTAOKULU;İstanbul;Ortaokul;02165668191;https://anakentkoleji.k12.tr/;anakentkoleji.k12.tr;ŞAİR ARŞİ CAD. NO:59 GÖZTEPE / KADIKÖY / İSTANBUL
ANKA BİLİM KOLEJİ ANADOLU LİSESİ;Ankara;Lise;0 530 604 54 72;https://www.ankabilim.k12.tr/;ankabilim.k12.tr;KIZILCAŞAR MAH. 4200. CAD. NO:39/G İNCEK/GÖLBAŞI
ANKA BİLİM KOLEJİ ANAOKULU;Ankara;Okul Öncesi;0 538 852 54 72;https://www.ankabilim.k12.tr/;ankabilim.k12.tr;KIZILCAŞAR MAH. 4200. CAD. NO:39/G İNCEK/GÖLBAŞI
ANKA BİLİM KOLEJİ İLKOKULU;Ankara;İlköğretim;0 538 852 54 72;https://www.ankabilim.k12.tr/;ankabilim.k12.tr;KIZILCAŞAR MAH. 4200. CAD. NO:39/G İNCEK/GÖLBAŞI
ANKA BİLİM KOLEJİ ORTAOKULU;Ankara;Ortaokul;0 538 728 54 72;https://www.ankabilim.k12.tr/;ankabilim.k12.tr;KIZILCAŞAR MAH. 4200. CAD. NO:39/G İNCEK/GÖLBAŞI
ANKARA ABC ANADOLU LİSESİ;Ankara;Lise;0 312 279 42 22;https://abc.k12.tr/;abc.k12.tr;GÖKSU MAH. 93 CAD. A BLOK NO: 6/1A ETİMESGUT
ANKARA ABC ANAOKULU;Ankara;Okul Öncesi;03122820707;https://abc.k12.tr/;abc.k12.tr;GÖKSU MAH. 93 CAD. A BLOK NO: 6/1A ETİMESGUT / ANKARA
ANKARA ABC BATIKENT ANAOKULU;Ankara;Okul Öncesi;0 312 256 12 22;https://abc.k12.tr/;abc.k12.tr;YENİ BATI MAH. 2398 CAD. NO: 15
ANKARA ABC FEN LİSESİ;Ankara;Lise;0 312 279 42 22;https://abc.k12.tr/;abc.k12.tr;GÖKSU MAH. 93 CAD. A BLOK NO: 6/1A ETİMESGUT
ANKARA ABC İLKOKULU;Ankara;İlköğretim;03122820707;https://abc.k12.tr/;abc.k12.tr;GÖKSU MAH. 93 CAD. B BLOK NO: 6/1B ETİMESGUT
ANKARA ABC ORTAOKULU;Ankara;Ortaokul;03124442221;https://abc.k12.tr/;abc.k12.tr;GÖKSU MAH. 93 CAD. A BLOK NO: 6/1A
ANKARA EĞİTİM KURUMLARI DOKTORLAR ANADOLU LİSESİ;Ankara;Lise;0 312 235 80 81;;;PROF. DR. AHMET TANER KIŞLALI MAH. ALACAATLI CAD. NO:32/2 ÇANKAYA/ANKARA
ANKARA EĞİTİM KURUMLARI DOKTORLAR FEN LİSESİ;Ankara;Lise;0 553 909 08 10;http://ankaraek.k12.tr/;ankaraek.k12.tr;ALTAY MAH. SÖĞÜT CAD. NO: 14A İÇ KAPI NO: 3 ETİMESGUT / ANKARA (DİĞER İÇ KAPILAR: 4)
ANKARA EĞİTİM KURUMLARI DOKTORLAR İLKOKULU;Ankara;İlköğretim;0 532 260 98 43;http://ankaraek.k12.tr/;ankaraek.k12.tr;29 EKİM MAH. 803 SK. DEMİRTAŞ APT. BLOK NO: 18 İÇ KAPI NO: 1 SİNCAN / ANKARA
ANKARA EĞİTİM KURUMLARI DOKTORLAR ORTAOKULU;Ankara;Ortaokul;0 532 260 98 43;http://ankaraek.k12.tr/;ankaraek.k12.tr;29 EKİM MAH. 803 SK. DEMİRTAŞ APT. BLOK NO: 18 İÇ KAPI NO: 1 SİNCAN / ANKARA
ANKARA ZAFER  KOLEJİ ANADOLU LİSESİ;Ankara;Lise;0 549 549 06 18;http://www.zaferkoleji.com.tr;zaferkoleji.com.tr;ERLER MAH. DUMLUPINAR BULVARI NO:461 PK:06790
ANKARA ZAFER FEN LİSESİ;Ankara;Lise;05495490618;http://www.zaferkoleji.com.tr;zaferkoleji.com.tr;ERLER MAH. DUMLUPINAR BULVARI KÜME EVLERİ NO: 461A
ANKARA ZAFER KOLEJİ ANAOKULU;Ankara;Okul Öncesi;0 549 549 06 16;http://www.zaferkoleji.com.tr;zaferkoleji.com.tr;ERLER MAH. DUMLUPINAR BULVARI KÜME EVLERİ NO: 461A
ANKARA ZAFER KOLEJİ İLKOKULU;Ankara;İlköğretim;0 549 549 06 16;http://www.zaferkoleji.com.tr;zaferkoleji.com.tr;ERLER MAH. DUMLUPINAR BULVARI KÜME EVLERİ NO: 461A
ANKARA ZAFER KOLEJİ ORTAOKULU;Ankara;Ortaokul;0 549 311 07 07;http://www.zaferkoleji.com.tr;zaferkoleji.com.tr;ERLER MAH. DUMLUPINAR BULVARI KÜME EVLERİ NO: 461A
ANTALYA KOLEJİ KONYAALTI KAMPÜSÜ ANADOLU LİSESİ;Antalya;Lise;02424442440;;;LİMAN MAH. AKDENİZ BULV. NO:227/A
ARAMYAN UNCUYAN ERMENİ İLKOKULU;İstanbul;İlköğretim;02163361598;http://www.aramyanuncuyan.k12.tr/;aramyanuncuyan.k12.tr;CAFERAĞA MAH. LEYLEK SK. OZEL ARENYAN UNCUYAN E BLOK NO: 5
ARAMYAN UNCUYAN ERMENİ ORTAOKULU;İstanbul;Ortaokul;02163361598;http://www.aramyanuncuyan.k12.tr/;aramyanuncuyan.k12.tr;CAFERAĞA MAH. LEYLEK SK. OZEL ARENYAN UNCUYAN E BLOK NO: 5
AREL EĞİTİM KURUMU ANAOKULU;İstanbul;Okul Öncesi;02125504930;http://www.arel.k12.tr;arel.k12.tr;MERKEZ MAH. SELAHATTİN PINAR SK. NO. 3 34197
AREL EĞİTİM KURUMU İLKOKULU;İstanbul;İlköğretim;02125504930;http://www.arel.k12.tr;arel.k12.tr;MERKEZ MAH. SELAHATTİN PINAR SK. NO. 3 34197
AREL EĞİTİM KURUMU ORTAOKULU;İstanbul;Ortaokul;02125504930;http://www.arel.k12.tr;arel.k12.tr;MERKEZ MAH. SELAHATTİN PINAR SK. NO. 3 34197
AREL KOLEJİ ANADOLU LİSESİ;İstanbul;Lise;0 212 550 49 30;http://www.arel.k12.tr;arel.k12.tr;MERKEZ MAH. SELAHATTİN PINAR SK. NO. 3 34197
AREL KOLEJİ FEN LİSESİ;İstanbul;Lise;0 212 550 49 30;http://www.arel.k12.tr;arel.k12.tr;MERKEZ MAH. SELAHATTİN PINAR SK. NO. 3 34197
ARI ANADOLU LİSESİ;Ankara;Lise;0 312 286 85 85;http://www.ariokullari.k12.tr;ariokullari.k12.tr;ÇUKURAMBAR MAHALLESİ ÖĞRETMENLER CADDESİ NO: 16/A 06530
ARI FEN LİSESİ;Ankara;Lise;0 312 286 85 85;http://www.ariokullari.k12.tr;ariokullari.k12.tr;ÇUKURAMBAR MAHALLESİ ÖĞRETMENLER CADDESİ NO: 16/A 06530
ARI İLKOKULU;Ankara;İlköğretim;0 312 286 85 85;http://www.ariokullari.k12.tr;ariokullari.k12.tr;ÇUKURAMBAR MAHALLESİ ÖĞRETMENLER CADDESİ NO: 16/A 06530
ARI ORTAOKULU;Ankara;Ortaokul;0 312 286 85 85;http://www.ariokullari.k12.tr;ariokullari.k12.tr;ÇUKURAMBAR MAHALLESİ ÖĞRETMENLER CADDESİ NO: 16/A 06530
ARTI DESTEK ANADOLU LİSESİ;Ankara;Lise;03124446174;artidestek.com.tr;artidestek.com.tr;MUTLUKENT  MAHALLESİ 1943 CAD. NO:24
ARTI DESTEK İLKOKULU;Ankara;Okul Öncesi;03124446174;artidestek.com.tr;artidestek.com.tr;MUTLUKENT MAHALLESİ 1943 CAD. NO:24
ARTI DESTEK ORTAOKULU;Ankara;Ortaokul;03124446174;artidestek.com.tr;artidestek.com.tr;MUTLUKENT  MAHALLESİ 1943 CAD. NO:30/A
ARZU ANNE ANAOKULU;İstanbul;Okul Öncesi;02164428489;https://arzuanne.com.tr/;arzuanne.com.tr;CEVİZLİ MAH. OLAY ÇIKMAZI SK. NO:1 MALTEPE/ İST
ASRIN ANAOKULU;Samsun;Okul Öncesi;5052224455;http://asrinanaokul.com;asrinanaokul.com;MEVLANA MAH. ALPARSLAN BLV. NO:61-63 ATAKUM / SAMSUN
ATACAN EĞİTİM KURUMLARI ANADOLU LİSESİ;İstanbul;Lise;0 505 276 08 32;http://www.atacan.k12.tr;atacan.k12.tr;BAYAR CAD. CEMİL AKDOĞAN SOK. NO.3-5 KOZYATAĞI
ATACAN EĞİTİM KURUMLARI ANAOKULU;İstanbul;Okul Öncesi;2164107780;http://www.atacan.k12.tr;atacan.k12.tr;BAYAR CAD. CEMİL AKDOĞAN SOK. NO.3-5 KOZYATAĞI
ATACAN EĞİTİM KURUMLARI İLKOKULU;İstanbul;İlköğretim;02164107780;http://www.atacan.k12.tr;atacan.k12.tr;BAYAR CAD. CEMİL AKDOĞAN SOK. NO.3-5 KOZYATAĞI
ATACAN EĞİTİM KURUMLARI ORTAOKUL;İstanbul;Ortaokul;02164107780;http://www.atacan.k12.tr;atacan.k12.tr;BAYAR CAD. CEMİL AKDOĞAN SOK. NO.3-5 KOZYATAĞI
ATAEL KOLEJİ ANADOLU LİSESİ;Ankara;Lise;0 312 250 28 28;https://www.ataelkoleji.com/;ataelkoleji.com;İnönü Mahallesi 1748. Cadde No:4 Batıkent - Yenimahalle / ANKARA
ATAEL KOLEJİ ANAOKULU;Ankara;Okul Öncesi;0 312 566 05 66;https://www.ataelkoleji.com/;ataelkoleji.com;Batı Sitesi Mahallesi 1819. Sokak No: 7/B Batıkent - Yenimahalle / ANKARA
ATAEL KOLEJİ İLKÖĞRETİM OKULU;Ankara;İlköğretim;0 312 566 05 66;https://www.ataelkoleji.com/;ataelkoleji.com;Batı Sitesi Mahallesi 1819. Sokak No: 7/B Batıkent - Yenimahalle / ANKARA
ATAEL KOLEJİ ORTAOKULU;Ankara;Ortaokul;0 312 250 28 28;https://www.ataelkoleji.com/;ataelkoleji.com;İnönü Mahallesi 1748. Cadde No:4 Batıkent - Yenimahalle / ANKARA
ATAKENT ÇAM AĞACI ANAOKULU;Samsun;Okul Öncesi;0 555 160 55 54;www.camagacianaokulu.k12.tr;camagacianaokulu.k12.tr;Güzelyalı Mahallesi 3016. Sok. No:17 Atakum/Samsun
ATAKÖY VATAN ANAOKULU;İstanbul;Okul Öncesi;02126616687;www.vatanokullari.com;vatanokullari.com;ATAKÖY 11. KISIM MAH. ADNAN KAHVECİ BUL. MESA VİLLALARI SİTESİ NO: 2F7 BAKIRKÖY / İSTANBUL
ATAŞEHİR ANKA ANAOKULU;İstanbul;Okul Öncesi;0 216 548 29 12;;;ATATÜRK MAH. ÖLMEZ SOK. NO:9 ATAŞEHİR İSTANBUL
ATAŞEHİR MUTLU İLK ADIMLAR ANAOKULU;İstanbul;Okul Öncesi;05324048697;http://www.mutluadimlar.com.tr/;mutluadimlar.com.tr;KÜÇÜKBAKKALKÖY MAHALLESİ, ŞERİF ALİ YOLU CADDESİ, KILIÇ REİS SOKAK, NO:8, 34750 ATAŞEHİR/İSTANBUL
ATAŞEHİR OKYANUS KOLEJİ ANADOLU LİSESİ;İstanbul;Lise;02162911125;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;BARBAROS MAH.EVREN CAD. HASGÜL SOK. NO:26 ATAŞEHİR | İSTANBUL
ATAŞEHİR OKYANUS KOLEJİ ANAOKULU;İstanbul;Okul Öncesi;02162911125;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;BARBAROS MAH.EVREN CAD. HASGÜL SOK. NO:26 ATAŞEHİR | İSTANBUL
ATAŞEHİR OKYANUS KOLEJİ FEN LİSESİ;İstanbul;Lise;02162911125;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;BARBAROS MAH.EVREN CAD. HASGÜL SOK. NO:26 ATAŞEHİR | İSTANBUL
ATAŞEHİR OKYANUS KOLEJİ İLKOKULU;İstanbul;İlköğretim;02162911125;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;BARBAROS MAH.EVREN CAD. HASGÜL SOK. NO:26 ATAŞEHİR | İSTANBUL
ATAŞEHİR OKYANUS KOLEJİ ORTAOKULU;İstanbul;Ortaokul;02162911125;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;BARBAROS MAH.EVREN CAD. HASGÜL SOK. NO:26 ATAŞEHİR | İSTANBUL
ATAŞEHİR VATAN ANAOKULU;İstanbul;Okul Öncesi;02165751879;www.vatanokullari.com;vatanokullari.com;KÜÇÜKBAKKALKÖY MAH. ŞERİFALİYOLU CAD. ÇİMENTEPE SOK. NO: 1
ATAŞEHİR VATAN İLKOKULU;İstanbul;İlköğretim;02165748585;www.vatanokullari.com;vatanokullari.com;KÜÇÜKBAKKALKÖY MAH. ÇİMENTEPE SK. VATAN OKULLARI BLOK NO: 1 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL
ATAŞEHİR VATAN ORTAOKULU;İstanbul;Ortaokul;02165748585;www.vatanokullari.com;vatanokullari.com;KÜÇÜKBAKKALKÖY MAH. ÇİMENTEPE SK. VATAN OKULLARI BLOK NO: 1 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL
ATAŞEHİR YAŞAM PAYLAŞIM (YA-PA) ANAOKULU;İstanbul;Okul Öncesi;02163609272;http://atasehir.yapaanaokulu.com/;atasehir.yapaanaokulu.com;KÜÇÜKBAKKALKÖY MAH. GÜL AĞACI SOK. NO:24 ATAŞEHİR /İSTANBUL
ATAYURT  ANADOLU LİSESİ;Eskişehir;Lise;02223150360;http://www.atayurt.com/;atayurt.com;YUKARI SÖĞÜTÖNÜ MAH. 951. SOK. NO:148
ATAYURT  FEN LİSESİ;Eskişehir;Lise;02223150360;http://www.atayurt.com/;atayurt.com;YUKARI SÖĞÜTÖNÜ MAH. 951. SOK. NO:148
ATAYURT  İLKOKULU;Eskişehir;İlköğretim;02223150360;http://www.atayurt.com/;atayurt.com;YUKARI SÖĞÜTÖNÜ MAH. 951. SOK. NO:148
ATAYURT  ORTAOKUL;Eskişehir;Ortaokul;02223150360;http://www.atayurt.com/;atayurt.com;YUKARI SÖĞÜTÖNÜ MAH. 951. SOK. NO:148
ATAYURT ANAOKULU;Eskişehir;İlköğretim;02223150360;http://www.atayurt.com/;atayurt.com;YUKARI SÖĞÜTÖNÜ MAH. 951. SOK. NO:148
AVCILAR OKYANUS KOLEJİ ANADOLU LİSESİ;İstanbul;Lise;02124228083;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;CİHANGİR MAH. MEŞRUTİYET CAD. NO : 70 AMBARLI | AVCILAR | İSTANBUL
AVCILAR OKYANUS KOLEJİ ANAOKULU;İstanbul;Okul Öncesi;02124228083;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;CİHANGİR MAH. MEŞRUTİYET CAD. NO : 70 AMBARLI | AVCILAR | İSTANBUL
AVCILAR OKYANUS KOLEJİ FEN VE PROJE LİSESİ AVCILAR;İstanbul;Lise;02124228083;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;CİHANGİR MAH. MEŞRUTİYET CAD. NO : 70 AMBARLI | AVCILAR | İSTANBUL
AVCILAR OKYANUS KOLEJİ İLKOKULU;İstanbul;İlköğretim;02124228083;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;CİHANGİR MAH. MEŞRUTİYET CAD. NO : 70 AMBARLI | AVCILAR | İSTANBUL
AVCILAR OKYANUS KOLEJİ ORTAOKULU;İstanbul;Ortaokul;02124228083;https://www.okyanuskoleji.k12.tr;okyanuskoleji.k12.tr;CİHANGİR MAH. MEŞRUTİYET CAD. NO : 70 AMBARLI | AVCILAR | İSTANBUL
AZRA ANAOKULU ATAŞEHİR KAMPÜSÜ;İstanbul;Okul Öncesi;05053941965;http://www.azra.com.tr/;azra.com.tr;ATATÜRK MAH. VATAN CAD. NO:30-32  ATAŞEHİR
AZRA ANAOKULU ERENKÖY KAMPÜSÜ;İstanbul;Okul Öncesi;02163024834;http://www.azra.com.tr/;azra.com.tr;19 MAYIS MAHALLESİ, KÖŞK, TÜCCARBAŞI, 23 NİSSAN SOKAGİ NO: 5/C, 34736 KADIKÖY/İSTANBUL
AZRA ANAOKULU PENDİK KAMPÜSÜ;İstanbul;Okul Öncesi;05324751390;http://www.azra.com.tr/;azra.com.tr;EROL KAYA CAD. ,PALMİYE DURAK NO: 34  PENDİK
BAĞCILAR VATAN ANADOLU LİSESİ;İstanbul;Lise;02124622886;www.vatanokullari.com;vatanokullari.com;İNÖNÜ MAH. 428. SK. NO: 4  BAĞCILAR / İSTANBUL
BAHÇELİEVLER GÖKKUŞAĞI KOLEJİ ANAOKULU;İstanbul;Okul Öncesi;02126445900;gokkusagi.k12.tr;gokkusagi.k12.tr;ESKİ LONDRA ASFALTI NO: 15 HAZNEDAR BAHÇELİEVLER – İSTANBUL
