Firma Adı;Bölge;Sektör;Detay URL
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4572.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4571.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4596.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4603.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4601.html
ACAR DAYANIKLI EV ALETLERİ. SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1586.html
ACAR DAYANIKLI EV ALETLERİ. SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1587.html
ACARSAN MAKARNA UN GIDA SAN.TİC. A.Ş.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3071.html
ACARSAN MAKARNA UN GIDA SAN.TİC. A.Ş.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3075.html
ACEMOĞLU GIDA SAN. VE TİC. A.Ş.;2.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5051.html
ACEMOĞLU PLASTİK-KADİR TOPRAK;5.Bölge-Dülük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3778.html
ACIOĞLU PİZA YEMEK VE İKRAM ORGANİZASYONU SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Dülük;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/49.html
ACIOĞLU YEMEK İKRAM ORGANİZASYON SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5890.html
ACIOĞLU YEMEK İKRAM ORGANİZASYON SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5894.html
ACORPACK AMBALAJ SAN. VE TİC. A.Ş.;5.Bölge-Dülük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3777.html
ADALI HALI DAY.TÜK.MAL.TARIM GIDA HAYV.İNŞ.SAN.TİC.LTD.ŞTİ.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2602.html
ADAM DIŞ TİCARET LTD.ŞTİ.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3091.html
ADEM KAHRAMAN - GAZİ KAHRAMAN PLASTİK;5.Bölge-Göksüncük;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3853.html
ADİL TEKSTİL PLASTİK AMBALAJ SAN. VE TİC. A.Ş.;4.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/833.html
AFT YERLİ MAHSULLERİ İTH. İHR. TİC. VE SAN. LTD. ŞTİ.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4087.html
AHCAN TEKSTİL VE DIŞ TİC. A.Ş.;5.Bölge-Dülük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3870.html
AHD POLİTEKS GERİ DÖNÜŞÜM SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Dülük;GERİ DÖNÜŞÜM;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4804.html
AHMET ACUN ACUNLAR ATIK GERİ DÖNÜŞÜM;5.Bölge-Göksüncük;GERİ DÖNÜŞÜM;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3372.html
AHMET ASLANSOY PAMUK TEKSTİL SANAYİ VE TİCARET A.Ş.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3573.html
AHMET ASLANSOY PAMUK TEKSTİL SANAYİ VE TİCARET A.Ş.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2091.html
AHMET BEYHAN AKAR;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5826.html
AHMET BOZGEYİK;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5797.html
AHMET ÇAPKUR;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2205.html
AHMET FARUK ARSLAN;4.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5106.html
AHMET REMZİ KILINÇ;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5488.html
AHMET- HÜSEYİN ÖZDEMİR;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4687.html
AHMET-ABDULLAH UZER;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4100.html
AHS HALI TEKSTİL SAN.VE TİC.LTD.ŞTİ.;4.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/563.html
AHV KİMYA DIŞ TİCARET A.Ş.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4579.html
AK DEĞİRMEN MAKİNA SANAYİ VE TİCARET LTD.ŞTİ.;1.Bölge;MAKİNE-METAL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1165.html
AK OTOMASYON SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;MAKİNE-METAL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4837.html
AK-EL TEKSTİL SAN. VE TİC. LTD.ŞTİ.;2.Bölge;GERİ DÖNÜŞÜM;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2059.html
AKAN HALI GIDA TAŞ.SANAYİ VE TİCARET LTD. ŞTİ.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2317.html
AKANLAR ÇİKOLATA İÇECEK GIDA SANAYİ VE NAK. TİC.LTD.ŞTİ.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2272.html
AKANLAR ÇİKOLATA İÇECEK GIDA SANAYİ VE NAK. TİC.LTD.ŞTİ.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4332.html
AKANSAN SAĞLIK VE TEM. ÜR. SAN VE TİC. LTD. ŞTİ.;3.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2521.html
AKANSAN SAĞLIK VE TEM. ÜR. SAN VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/147.html
AKANSAN SAĞLIK VE TEM. ÜR. SAN VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3581.html
AKAY ÇİKOLATA BİSKÜVİ GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4135.html
AKBAL HUBUBAT TARIM ÜRÜN.LİSANSLI DEPOCULUK A.Ş.;5.Bölge-Göksüncük;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4391.html
AKCANLAR TEKSTİL SAN. VE TİC. A.Ş.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1912.html
AKCANLAR TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3065.html
AKDOĞAN FISTIK PETROL SAN. VE TİC. LTD. ŞTİ.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4580.html
AKDOORPLAST PVC SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4294.html
AKDOORPLAST PVC SAN. VE TİC. A.Ş.;1.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1229.html
AKIN POLİP TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1595.html
AKIN POLİP TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1599.html
AKINAL AYAKKABICILIK SAN. VE TİC.A.Ş.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2154.html
AKINAL AYAKKABICILIK SAN. VE TİC.A.Ş.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2165.html
AKINAL SENTETİK TEKSTİL SAN.VE TİC.A.Ş.;4.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/674.html
AKINAL SENTETİK TEKSTİL SAN.VE TİC.A.Ş.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1947.html
AKINAL TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Dülük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/14.html
AKINCI BULGUR VE GIDA MADDELERİ SAN. VE TİC. LTD. ŞTİ.;3.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2525.html
AKİF EKİCİ;4.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/603.html
AKNET KİMYA İTH.VE  İHR. LTD. ŞTİ.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5967.html
AKO ÖRME VE BOYA SAN.TİC.LTD.ŞTİ.;2.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1959.html
AKSA TEKSTİL SAN. VE TİC. A.Ş.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1675.html
AKSA TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/467.html
AKTÜRK SAĞLIK GIDA ELEKTRONİK NAKLİYAT SAN.VE TİC.LTD.ŞTİ.;4.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/811.html
AKYEL TREYLER VE MAKİNE SAN. VE TİC. LTD.ŞTİ.;3.Bölge;MAKİNE-METAL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2437.html
AKYUZ GROUP GIDA SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3617.html
AKZ MAKİNA TEKSTİL SAN. VE TİC. LTD. ŞTİ.;2.Bölge;MAKİNE-METAL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4529.html
ALABO COMPANY PLASTİK SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3715.html
ALESTA GIDA SAN. VE DIŞ TİC. A.Ş.;1.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1057.html
ALEYNAPEN İNŞAAT TEKSTİL GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3697.html
ALİ ÇİÇEK;1.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4054.html
ALİ ÇİÇEK;1.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4055.html
ALİ ÇULCU;2.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4811.html
ALİ ÇULCU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/6029.html
ALİ ÇULCU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2753.html
ALİ İHSAN GEYİK;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5405.html
ALİ NACAKGEDİĞİ;2.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5700.html
ALİ RIZA CAN;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5356.html
ALİ SEZGİN;1.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1205.html
ALİ YAŞAR;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5661.html
ALİ YILMAZ;2.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5755.html
ALİCAN ŞAHİN YAPI EV YAŞAM GEREÇLERİ SAN. VE TİC. LTD. ŞTİ.;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5483.html
ALİSSA AMBALAJ TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4333.html
ALİŞAN KEKEÇ;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5285.html
ALİYE KÖKÇÜ-EVREN DİLEK KÖKÇÜ;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5642.html
ALKA HALI TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3721.html
ALP YATIRIM GIDA SAN. TİC. A.Ş.;2.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2207.html
ALPİN HALI SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4274.html
ALPİN HALI SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4275.html
ALPİTEKS TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/80.html
ALPKAN İRMİK UN GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5025.html
ALPSOY ORMAN ÜRÜNLERİ SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4115.html
ALTINBAŞ HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1758.html
ALTINDAĞ KİMYA İNŞ. SAN. VE TİC. LTD. ŞTİ.;3.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4818.html
ALTİS PLASTİK SAN. VE TİC. A.Ş.;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/6095.html
ALTUNSA GIDA SAN. VE TİC. A.Ş.;2.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2202.html
AN PA PANEL VE ENERJİ SAN. TİC. A.Ş.;5.Bölge-Aktoprak;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4668.html
AN-EL ELEKTRO TEKNİK SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3628.html
ANAHTAR KURUMSAL DANIŞMANLIK BİLİŞİM SAN.VE DIŞ TİC. LTD.ŞTİ.;2.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5096.html
ANGEL HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;4.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/749.html
ANGEL HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;4.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/753.html
ANGEL HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;4.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/813.html
ANKAS MÜH. MAK.İNŞ.İTH.İHR.SAN. VE TİC. LTD.ŞTİ.;5.Bölge-Dülük;MAKİNE-METAL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/271.html
ANLATICI MAKİNA SAN.VE TİC.LTD.ŞTİ.;5.Bölge-Göksüncük;MAKİNE-METAL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/366.html
ANTAŞ MENSUCAT SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2902.html
ANTAŞ MENSUCAT SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5146.html
ANTAŞ MENSUCAT SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4265.html
ANTE PLASTİK AMB. SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4894.html
ANTEPSAN KURUYEMİŞ GIDA  SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/68.html
ANTEPSAN KURUYEMİŞ GIDA  SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4203.html
APİKOĞLU İNŞAAT TAAH. YAPI MALZEMELERİ SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/468.html
ARAS CARPET TEKSTİL SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4928.html
ARAS KARGO YURT İÇİ VE YURT DIŞI TAŞ. A.Ş.;1.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1289.html
ARDEN HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5550.html
ARESA KİMYA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4223.html
ARF İPLİK BOYA SAN. VE TİC. A.Ş.;5.Bölge-Dülük;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4898.html
ARF İPLİK BOYA SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4897.html
ARGE-PAK OFSET AMBALAJ İMALAT İNŞAAT SAN. VE TİC. LTD. ŞTİ.;2.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1739.html
ARGE-PAK OFSET AMBALAJ İMALAT İNŞAAT SAN. VE TİC. LTD. ŞTİ.;2.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4493.html
ARGETEKS AMBALAJ KİMYA TEKSTİL TİC.LTD.ŞTİ.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3914.html
ARICILAR MENSUCAT İNŞAAT GIDA SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3576.html
ARICILAR MENSUCAT İNŞAAT GIDA SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4201.html
ARICILAR TEKSTİL TAŞ. İNŞ. SAN. VE TİC. A.Ş.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1743.html
ARKA HALI VE İPLİK SAN. A.Ş.;5.Bölge-Dülük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4422.html
ARKİM BOYA - KİMYA GERİ DÖNÜŞÜM SAN. VE TİC. LTD.ŞTİ.;3.Bölge;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2559.html
ARMA GLOBAL LOJİSTİK SAN. VE TİC. LTD. ŞTİ.;4.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5854.html
ARMAĞAN TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;2.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1627.html
ARPACIOĞLU TARIMSAL ÜRÜNLER SAN.VE TİC. LTD.ŞTİ.;4.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/819.html
ARSAN KİMYA SAN. VE TİC. A.Ş.;5.Bölge-Dülük;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/289.html
ART CARPET SAN.VE TİC.A.Ş.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2906.html
ART CARPET SAN.VE TİC.A.Ş.;3.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2919.html
ARTPACK KAĞIT AMBALAJ A.Ş.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3337.html
ARYA HALI SAN. VE TİC.LTD.ŞTİ.;4.Bölge;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/773.html
ARZUM HALI TEKSTİL ELEKT. VE TELEKOMINIKASYON PETROL GIDA TURIZM SAN. VE TİC. LTD. ŞTİ.;3.Bölge;;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5026.html
AS BESİN GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;GIDA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2118.html
AS ÇATI CEPHE SİSTEMLERİ İNŞ. SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4857.html
ASEF SELÇUK MELEKOĞLU;2.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5003.html
ASEF SELÇUK MELEKOĞLU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2494.html
ASEF SELÇUK MELEKOĞLU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2500.html
ASEF SELÇUK MELEKOĞLU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2686.html
ASEF SELÇUK MELEKOĞLU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2689.html
ASEF SELÇUK MELEKOĞLU;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5485.html
ASEF SELÇUK MELEKOĞLU-SERPİL MELEKOĞLU;4.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/593.html
ASEF TAN;3.Bölge;DİĞER;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2503.html
ASELPLAST AMBALAJ VE TEKSTİL ÜRÜNLERİ SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5044.html
ASER AMBALAJ SAN. VE TİC. LTD. ŞTİ.;3.Bölge;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3818.html
ASIM PLASTİK SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4752.html
ASLANKAYA KİMYA VE SAĞLIK ÜRÜNLERİ SAN. A.Ş.;5.Bölge-Göksüncük;KİMYA;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3881.html
ASLANSOY PAMUK SAN. VE TİC. A.Ş.;5.Bölge-Dülük;TEKSTİL;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4334.html
