firma_adi;adres;telefon;website;domain
AHZEL TEKSTİL SANAYİ VE TİC. LTD. ŞTİ.;VATAN MH. VİŞNE CD. 39 A/Z1 YILDIRIM BURSA;+90 (224) 363-3130;;
AJANS ADS TANITIM BİLİŞİM TEKSTİL SAN.VE TİC.LTD.ŞTİ.;ANADOLU BULV.ATB İŞ MERKEZİ C BLOK NO:82 MACUNKÖY YENİMAHALLE ANKARA;+90 (312) 397-4669;;
AKAR İTHALAT İHRACAT TURİZM TİCARET VE SANAYİ A.Ş.;YENİDOĞANOSB MAH. CENGİZ TOPEL CAD. NO:4 GÜRSU BURSA;+90 (224) 371-3060;http://www.akargroup.com.tr;akargroup.com.tr
AKARCA DIŞ TİCARET A.Ş.;DEMİRTAŞ DUMLUPINAROSB MAH. ALİ OSMAN SÖNMEZ CAD. NO:27 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-2800;http://www.akarcatekstil.com;akarcatekstil.com
AKARCA TEKSTİL KONFEKSİYON SANAYİ VE TİCARET A.Ş.;DEMIRTAŞ ORG.SAN.BÖL. MUSTAFA KARAER C.GÜL S. NO:13 OSMANGAZİ BURSA;+90 (224) 261-2800;http://www.akarcatekstil.com;akarcatekstil.com
AKARSU İPLİK HAVLU TEKSTİL KONFEKSİYON İNŞAAT SANAYİ VE TİCARET A.Ş.;DUAÇINARI MAH. DSİ ALTI DURMAZ SK. NO.9 YILDIRIM BURSA;+90 (224) 361-0660;;
AKASIA E-TİCARET MÜZAYEDE DANIŞMANLIK İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;İLK BAHAR MAH. GÜNEYPARK KÜME EVLER NO:3/198 ÇANKAYA ANKARA;+90 (312) 000-0000;;
AK-AY TEKS.INŞ.GID.PET.ÜRÜN. TEM.TIC.VE SAN.LTD.ŞTI.;BUTTIM B.1 BL.NO.125 OSMANGAZİ BURSA;+90 (224) 211-3572;;
AKBAŞ BRODE İPLİK TEKSTİL GIDA TURİZM EĞİTİM SAN. VE TİC. LTD. ŞTİ.;ANADOLU MAH. KARLIDAĞ CAD. NO:7/A YILDIRIM BURSA;+90 (224) 360-8000;;
AKBAŞLAR MEDİKAL TURİZM İTHALAT İHRACAT SAN VE TİC LTD ŞTİ;SANAYİ DİĞER 34.SOK NO.42/47 MERKEZ YALOVA;+90 (226) 504-1877;;
AKBAŞLAR MENSUCAT TEKSTİL İMALAT MAKİNA SANAYİ VE TİCARET LTD.ŞTİ.;ALTINOVA MAH. YENİ YALOVA YOLU CAD. NO.424/5 OFİS NO.1247 OSMANGAZİ BURSA;+90 (224) 225-3735;http://www.akbaslarmensucat.com.tr;akbaslarmensucat.com.tr
AKBAŞLAR TEKSTİL ENERJİ SAN. VE TİC. AŞ;KURTULUŞOSB MAH. ATATÜRK CAD. NO:197 GÜRSU BURSA;+90 (224) 280-2500;http://www.akbaslar.com;akbaslar.com
AKBEY SPOT TEKSTİL SAN. VE TİC LTD.ŞTİ.;ALTINOVA MH.İSTANBUL CD.NO:424/5/1124 OSMANGAZİ BURSA;+90 (224) 000-0000;;
AKBEY TEKSTİL KONFEKSİYON GIDA TURİZM TAŞIMACILIK SANAYİ VE TİCARET LTD.ŞTİ.;VEYSEL KARANİ MAH. VERİM SOKAK NO.18 OSMANGAZİ BURSA;+90 (224) 215-5205;;
AKBEYAZ TEKS.KONF.SAN.TIC.LTD. ŞTI.;DUAÇINARI MAH. VİŞNE CAD. KAYABAŞI SK. NO:8 YILDIRIM BURSA;+90 (224) 360-3001;http://www.akbeyaztekstil.com;akbeyaztekstil.com
AKBEZ TEKSTIL KONFEKSIYON SAN VE TIC.LTD.ŞTI.;İRFANİYE MAH.GÖKÇEKÖY YOLU SK. NO:46 YUMURTALIK BURSA;+90 (224) 495-1320;http://www.halleytekstil.com;halleytekstil.com
AKÇAY AR-GE DERİ TEKSTİL MÜHENDİSLİK MAKİNE SAN. VE TİC. LTD. ŞTİ.;GÖRÜKLE MAH. ÜNİVERSİTE-1 CAD. ULUTEK TEKNO YAZLIM GEL. MER. ABCDEFH BLOK NO:933/119 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.akcayarge.com.tr;akcayarge.com.tr
AKÇEYIZ BRODE NAKIŞ KONF. SAN.VE TIC.LTD.ŞTI;DEĞIRMEN YOLU CAD. SANAYI BÖLGESI NO 10 P.K.10 KESTEL BURSA;+22 (437) 219-8586;http://www.akceyiz.com;akceyiz.com
AKDEM TEKSTİL SAN. VE TİC.LTD.ŞTİ.;KALE MAH. KARASUOSB CAD. NO:1 KESTEL BURSA;+90 (224) 372-3690;http://www.akdemtekstil.com.tr;akdemtekstil.com.tr
AKEL GRUP TEKSTİL GIDA İNŞAAT SANAYİ TİCARET A.Ş.;KOSAB HERSEK CAD.NO.2 KESTEL BURSA;+90 (224) 331-7505;http://www.akeltekstil.com.tr;akeltekstil.com.tr
AKGÜL DEPOLAMA OTOMOTİV İNŞ.NAK.SAN. VE TİC.A.Ş.;KAYIHAN MAH.AKMANARALIK SK.NO:15 OSMANGAZİ BURSA;+90 (224) 220-4313;;
AKGÜL DOKUMA APRE BOYA İPLİK VE TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;ÇALIK HALİL MAH. 25.SK. NO.9 ÇALI YUMURTALIK BURSA;+90 (224) 482-5231;http://www.akgultekstil.com;akgultekstil.com
AKHİRA TEKSTİL MOB.İN.OTO.GID.DAY.TÜK.MAD.SAN.VE TİC.LTD.ŞTİ.;DEMİRTAŞ DUMLUPINAR OSB MH. LALE SK. NO:6/1 OSMANGAZİ BURSA;+90 (224) 363-2534;;
AKILLI ALETLER MOTOR YEDEK PARÇA PAZARLAMA İÇ VE DIŞ TİC. A.Ş.;HİLAL MAH. HOLZMEİSTER CAD. YEŞİLKENT APT. NO:20/5 ÇANKAYA ANKARA;+90 (312) 511-7864;;
