firma_adi;adres;telefon;website;domain
4A İTHALAT İHRACAT OTOMOTİV SANAYİ TİCARET LİMİTED ŞİRKETİ;SULTAN ORHAN MAH.1129.SK.NO:15/1 GEBZE KOCAELI;+90 (850) 840-1421;;
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
4F TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ;DEMİRTAŞ CUMHURİYET MAHALLESİ KÜÇÜK SANAYİ 3. CAD. OSMANGAZİ BURSA;;http://www.4f.com.tr;4f.com.tr
4K METAL MAKİNA İML.İNŞ.NAK.MÜH.ENDÜSKONT.SAN.TİC.LTD.ŞTİ.;E-5 KARAYOLU ALTI KUMYIĞINI MEVKİİ DÖRTYOL HATAY;+90 (326) 734-2022;;
4K PERDE VE TEKSTİL SAN. VE TİC. LTD. ŞTİ.;KAZIM KARABEKİR MAH. 4. ASMA SOK. NO:3/1 YILDIRIM BURSA;+90 (224) 368-3754;;
4K1E OTOMOTİV SAN TİC.LTD.ŞTİ;ORUÇREİS MAH. GİYİMKENT 11. SOK GİYİMKENT B-12 NO:38 A1 ESENLER İSTANBUL;+90 (212) 000-0000;;
4LASTİK OTOMOTİV SANAYİ TİCARET İTHALAT İHRACAT A.Ş.;SARAY MAH. 37 CAD. NO:1A KAZAN KAHRAMANKAZAN ANKARA;+90 (312) 278-7370;;
4M TEKSTİL SAN. TİC. LTD. ŞTİ.;YİĞİTLER MAH. OTOSANSİT SANAYİ SİTESİ 9.BLOK NO.91-93-95 YILDIRIM BURSA;+90 (224) 342-6462;;
4U AUTOMOTIVE INTERNATIONAL YEDEK PARÇA SANAYİ VE TICARET A.Ş.;İvedik Organize Sanayi Bölgesi 1465 Sokak No:57 YENİMAHALLE ANKARA;+90 (312) 394-5027;;
5 G CAR OTOMOTİV DIŞ TİC. LTD. ŞTİ.;CUMHURİYET MAH. D-100 KARAYOLU CAD. ADM KONAKLAMA OUTLET PARK AVM NO:374/63 BÜYÜKÇEKMECE İSTANBUL;+90 (212) 000-0000;;
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M GRUP MEDİKAL EKİPMAN SANAYİ VE TİC. LTD. ŞTİ.;HOSAB 5. CAD. NO:5 YUMURTALIK BURSA;+90 (224) 484-2920;;
5 M MÜHENDISLIK MÜMESSILLIK DANIŞMANLIK LTD.ŞTI.;HOSAB HASANAĞA ORGANİZE SANAYİ BÖLGESİ 5.CADDE NO.5 YUMURTALIK BURSA;+90 (224) 484-2920;http://www.5m-muhendislik.com.tr;5m-muhendislik.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
5 S ENDÜSTRİYEL YAĞLAR VE KESİCİ TAKIMLAR SAN. VE TİC. LTD. ŞTİ.;75. YIL MAH.(SULTANDERE) 11253.SK. OTO ESNAFLAR SİT. E BLOK 4 ODUNPAZARI ESKIŞEHIR;+90 (222) 243-0130;;
5 STAR METAL OTOMOTİV SANAYİ TİCARET LTD.ŞTİ.;NİLÜFER ORGANİZE SANAYİ BÖLGESİ MİNARELİ ÇAVUŞ MAH. DÖKÜMCÜLER SİTESİ 105.SOK. NO.26 YUMURTALIK BURSA;+90 (224) 411-1661;;
5EM ASLAN AUTO OTOMOTİV YEDEK PARÇA SAN.VE.TİC.LTD.ŞTİ;ALİPAŞA MAH.FATİH SULTAN MEHMET CAD.NO.4 AL SİLİVRİ İSTANBUL;+90 (212) 000-0000;;
5K IÇ VE DIŞ TICARET LTD.ŞTI.;KÜÇÜK SANAYI SITESI 50. BLOK NO:2 YUMURTALIK BURSA;+90 (224) 441-2244;;
5K KARAVAN ÜRETİM TASARIM SANAYİ TİCARET LİMİTED ŞİRKETİ;BAHÇELİEVLER MAH 100.SOK NO 72 GEREDE BOLU;+90 (374) 320-5555;;
5M DIŞ TİCARET SAN.LTD.ŞTİ.;NİLÜFERKÖY MAH. NİLÜFER CAD. NO:154 OSMANGAZİ BURSA;+90 (224) 000-0000;;
5S OTOMOTİV İMALAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;MALIKÖY BAŞKENT OSB MAH. 55.CAD NO:4 SİNCAN ANKARA;+90 (000) 444-5289;;
68 SEKA OTOMOTİV SANAYİ TİCARET ANONİM ŞİRKETİ;ERENLER OSB MAH.3 CAD.NO:17 MERKEZ AKSARAY;+90 (382) 215-3443;;
696 OTOMOTİV DIŞ.TİC.LTD.ŞTİ;YEŞİLOVA MAH.KAHRAMANLAR CAD.NO.14/4 KÜÇÜKÇEKMECE İSTANBUL;+90 (212) 548-4190;;
707 MOTORS OTOMOTİV SAN. TİC. LTD. ŞTİ.;YUNUSEMRE MAH. MUHSİN YAZICIOĞLU BLV. NO:143/A YILDIRIM BURSA;+90 (224) 000-0000;;
7BROS TEKSTİL KONFEKSİYON SAN. VE TİC. A.Ş.;DEMİRTAŞ DUMLUPINAR ORGANİZE SANAYİ MAH. ÇİĞDEM 1 SOKAK NO:5 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-1525;http://sykgroup.com.tr;sykgroup.com.tr
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A BAHARI OTOMOTİV İÇ VE DIŞ TİCARET LTD. ŞTİ.;İSKENDERPAŞA MAH. YEŞİL TEKKE KUYULU SOK. BURAK APT. NO:8/A FATİH İSTANBUL;+90 (212) 000-0000;;
A BLOK TEKSTIL SANAYI VE TICARET LIMITED SIRKETI;FEVZIPASA MAH. ÇIMENLIK SK. NO: 25/3 MERKEZ ÇANAKKALE;+90 (286) 000-0000;;
A BRAND İNŞ TEKS TURZ GID İTH İHR SAN VE TİC LTD ŞTİ.;CUMHURİYET MAH GÜVEN 150 SK BOZBEY APT NO2/1B YUMURTALIK BURSA;+90 (224) 000-0000;;
A E K TEKSTİL SAN. VE TİC. LTD. ŞTİ.;ETİ MAH. GAZİ MUSTAFA KEMAL BLV. NO:112/A-B ÇANKAYA ANKARA;+90 (312) 232-3295;;
A G MENSUCAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;DEMİRTAŞ DUMLUPINAR ORGANİZE SANAYİ BÖLGESİ MAHALLESİ 1. NİLÜFER SOK. NO:9/7 OSMANGAZİ BURSA;+90 (224) 211-0070;http://www.agmensucat.com.tr;agmensucat.com.tr
A INDUSTRY METAL ENDÜSTRİ ÜRÜNLERİ İHR.İTH.LTD.ŞTİ.;FUAT PAŞA MAH. 18. SOK. NO:19 MERKEZ KÜTAHYA;+90 (274) 000-0000;;
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
A OTOMASYON GÜVENLİK SİSTEMLERİ VE TİC.LTD.ŞTİ.;BEŞEVLER MAH.GÜNEŞ CAD. NO:68/Z1 YUMURTALIK BURSA;+90 (224) 000-0000;;
A OTOMOTİV CAM SANAYİ VE TİCARET ANONİM ŞİRKETİ;MACUN MAH. KM EVL 147/3 YENİMAHALLE ANKARA ANKARA YENİMAHALLE ANKARA;+90 (312) 397-2970;;
A RAYMOND BAĞLANTI ELEMANLARI SANAYİ VE TİCARET LTD. ŞTİ.;TOSB OSB 1.CAD 14.SOK NO:9 ÇAYIROVA ÇAYIROVA KOCAELI;+90 (262) 658-1058;http://www.araymond.com.tr;araymond.com.tr
A REA OTOMOTİV KAUÇUK MET. SAN. VE TİC.LTD.ŞTİ.;YAYLACIK MAH.TAHTALI YOLU 39.SK.NO:3/1 YUMURTALIK BURSA;+90 (224) 254-9380;http://www.areaotomotiv.com;areaotomotiv.com
A YÜZER OTOMOTİV DIŞ TİC.İTHİHR.LTD.ŞTİ;YENİBOSNA MERKEZ MAH. DEGİRMENBAHÇE CAD. İSWEST B 10 BAHÇELİEVLER İSTANBUL;+90 (212) 000-0000;;
A.B.C. TRAKTÖR TIC.LTD.ŞTI;Ferhay Paşa Cad. G.19 No:18 MALTEPE İSTANBUL;+90 (216) 466-6720;http://abcturkey.com;abcturkey.com
A.B.H. TEKSTİL SANAYİ VE TİCARET LTD. ŞTİ.;DEMİRTAŞ ORG.SAN.BÖL. LEYLAK SOK. NO:3 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-2838;http://www.fioretta.com;fioretta.com
A.C.S. TEKSTİL SAN. VE TİC. A.Ş.;MİNARELİÇAVUŞOSB MAH. MEŞE CAD. NO:1/B YUMURTALIK BURSA;+90 (224) 411-0322;http://www.acstekstil.com.tr;acstekstil.com.tr
A.C.T. OTOMOTİV MÜHENDİSLİK DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MİNARELİÇAVUŞOSB MAH. N.208 SOKAK NO:4 YUMURTALIK BURSA;+90 (224) 241-2631;http://www.actautomotive.com;actautomotive.com
A.D.D.A. MİMARLIK MÜH. İNŞ. TAAH. P.U.T. SAN. TİC. LTD. ŞTİ.;KÜLTÜR MH. BİLGİNLER CD NO 95 / A YUMURTALIK BURSA;+90 (224) 443-1318;http://www.addamimarlik.com;addamimarlik.com
A.D.R.ILKER OTOM.TURIZM SAN.VE TIC.LTD.STI.;Buyukbakkalkoy Mah.Kaşıf Sk.No:15 SK.NO:15 MALTEPE İSTANBUL;+90 (216) 311-7668;http://www.adrgroup.com;adrgroup.com
A.DÖKSAN DÖKÜM SANAYİ VE TİCARET A.Ş.;İSTANBUL DERİ OR.SAN.BÖL. V5 PARSEL TUZLA İSTANBUL;+9 (216) 364-3126;;
A.E.R. OTO YEDEK PARÇA MAKİNA TASARIM SANAYİ TİCARET LTD. ŞTİ.;MİNARELİÇAVUŞ OSB MAH N321.SOK NO:1 NİLÜFER/BURSA YUMURTALIK BURSA;+90 (224) 482-4285;http://www.aeroto.com.tr;aeroto.com.tr
A.F.S. ANADOLU FORKLİFT SANAYİ VE TİCARET LTD.ŞTİ.;BEŞEVLER KÜÇÜK SANAYİ SİTESİ 18.BLOK NO.9 YUMURTALIK BURSA;+90 (224) 441-8661;http://www.anadoluforklift.com;anadoluforklift.com
A.GLOBAL ELEKTRONİK TİC.HED.EŞY.REK.GI.YA.İT.İH. VE TİC.LTD.ŞTİ.;KORU MH.2643.SK.GÜZELTAN SİT.11/11 ÇAYYOLU ÇANKAYA ANKARA;+90 (312) 240-0717;http://www.peshtow.com;peshtow.com
A.H. ATALAY KONF.TEKS. TIC.VE SAN.LTD.ŞTI.;YUNUSEMRE MAH. KAPLIKAYA SK. NO:26 YILDIRIM / BURSA YILDIRIM BURSA;+90 (224) 362-9191;http://www.lilax.com.tr;lilax.com.tr
A.H.E. GIDA VE TARIM ÜRÜNLERİ İNŞAAT VE AMBALAJ MALZEMELERİ SANAYİ VE TİCARET LTD.ŞTİ.;KENT HALİ NO:34 YUMURTALIK BURSA;+90 (224) 497-4011;;
A.I.R. SÜSPANSİYON SİSTEMLERİ SAN. VE TİC. A.Ş;NİLÜFER O.S.B. ERGUVAN CAD. 72. SOKAK NO:8 YUMURTALIK BURSA;+90 (224) 411-0911;http://www.airkraft.com.tr;airkraft.com.tr
A.I.T. BİGİSAYAR SİSTEMLERİ MAKİNE SAN. VE TİC.LTD.ŞTİ.;Alaattin Bey Mh. 639. Sk. No:2/A YUMURTALIK BURSA;+90 (224) 211-4360;;
A.J.T TEKSTİL TURİZM İNŞAAT SANAYİ TİCARET LTD.ŞTİ.;AHMET VEFİK PAŞA MAH. HASAN KESTELLİ CAD. NO.10 KESTEL BURSA;+90 (224) 373-1865;;
A.K.E.SPOR MALZ.SAN. VE TİC. LTD. ŞTİ.;DEMIRTAŞ ORGANIZE SAN.BÖLGESI YONCA SOK. NO:3 OSMANGAZİ BURSA;+90 (224) 261-0800;http://www.akespor.com;akespor.com
A.K.M TEKS.KONF.SAN VE TIC.LTD .ŞTI.;DUAÇINARI MAH. VİŞNE CADDE NO.178/1 NO.19 YILDIRIM BURSA;+90 (224) 364-9596;http://www.akmtekstil.com;akmtekstil.com
A.K.R. ARAÇ KİRALAMA TEKSTİL TASARIM TİC. SAN. LTD. ŞTİ.;PANAYIR MAH. İSTANBUL CD. NO: 399 P.K. 16250 OSMANGAZİ BURSA;+90 (224) 211-3650;;
A.N.L REKLAMCILIK MATBAA TEKSTİL GIDA PLASTİK KİMYA İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.;KÜKÜRTLÜ MAH.ZÜBEYDE HANIM CAD.TAYAN APT. NO:10 D:2 OSMANGAZİ BURSA;+90 (224) 234-0944;http://www.anlcreative.com;anlcreative.com
A.N.Y. TEKSTİL SANAYİ TİCARET VE PAZARLAMA ANONİM ŞİRKETİ;DEMİRTAŞ DUMLUPINAR OSB MAH. MUSTAFA KARAER CAD. NO:40 DEMİRTAŞ OSMANGAZİ BURSA;+90 (224) 261-0906;http://www.any.com.tr;any.com.tr
A.P.S. KALIP APARAT OTOMOTİV MAKİNA MEDİKAL SAN VE TİC.LTD.ŞTİ;ÇALI SAN.BÖL.ADABAĞLAR CAD.NO:25 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.apsotomotiv.com;apsotomotiv.com
A.R. ALTINLILAR TEKSTİL SAN VE TİC LTD.ŞTİ.;DOSAB GÜL SOK NO:6/B OSMANGAZİ BURSA;+90 (224) 261-1265;http://www.altinlitekstil.com;altinlitekstil.com
A.R.G.OTOMOTIV SAN VE TIC.LTD. ŞTI.;MERSİNLİ MAH. 2830 SOK.NO:49 I.SANAYI BÖLGES BORNOVA ÇAY İZMİR;+90 (232) 459-6606;http://www.argotomotiv.com.tr;argotomotiv.com.tr
A.R.M OTOMOTİV DIŞ TİC. PAZARLAMA A.Ş.;DEMİRTAŞ DUMLUPINAROSB MAH. ALİ OSMAN SÖNMEZ CAD.NO:17 OSMANGAZİ BURSA;+90 (224) 261-2727;http://www.kapimsan.com;kapimsan.com
A.R.N. TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ALTINOVA MAH.KIRAN SK.NO:17 OSMANGAZİ BURSA;+90 (224) 215-4083;;
A.S.B.KUMAŞ GIYIM TEKS.OTOM. SAN.VE TIC.LTD.ŞTI;BAĞLARBAŞI MAH.BEKLER SK.NO:1 Tayin edilmedi BURSA;+90 (224) 249-9252;;
A.S.C TURİZM İNTERNASYONEL TİC LTD.ŞTİ.;HACI EMIN EFENDI SOKAK NO:41/2 ŞİŞLİ İSTANBUL;+90 (212) 291-5271;;
A.S.C. MOTOR ELEKTRIK MOTOR SANAYİ VE TİCARET A.Ş.;ALAADDİN BEY MAH 618.SK.NO:9 NİLÜFER/BURSA YUMURTALIK BURSA;+90 (224) 443-3570;http://www.ascmotor.com;ascmotor.com
A.S.M. OTO YAN SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İKİTELLİ ORG. SANAYİ BÖLGESİ 14. CAD. MUTFAKÇILAR SANAYİ SİTESİ 9. BLOK NO:11 BAŞAKŞEHİR İSTANBUL;+90 (212) 549-0555;;
A.S.T. TOPDAĞI TEKSTL PETROL İNŞAAT SANAYİ VE TİCARET LTD.ŞTİ.;ANADOLU MAH. TÜTÜNCÜOĞLU SK. NO:2/2 YILDIRIM BURSA;+90 (224) 211-3455;;
A.S.Y. EV TEKS. ÜRÜN. SAN. TİC. LTD. ŞTİ.;ALTINOVA MAH. YENİ YALOVA YOLU BUTTİM İŞ MERKEZİ D:2 NO:2292 OSMANGAZİ BURSA;+90 (224) 212-0024;;
A.Ş.GRUP LOJİSTİK VE DIŞ TİCARET A.Ş.;ALTINOVA MH.İSTANBUL CD. BUTTİM İŞM.N:424/5 4313 OSMANGAZİ BURSA;+90 (224) 000-0000;;
