firma_adi;adres;telefon;website;domain
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
A OTOMASYON GÜVENLİK SİSTEMLERİ VE TİC.LTD.ŞTİ.;BEŞEVLER MAH.GÜNEŞ CAD. NO:68/Z1 YUMURTALIK BURSA;+90 (224) 000-0000;;
A OTOMOTİV CAM SANAYİ VE TİCARET ANONİM ŞİRKETİ;MACUN MAH. KM EVL 147/3 YENİMAHALLE ANKARA ANKARA YENİMAHALLE ANKARA;+90 (312) 397-2970;;
A RAYMOND BAĞLANTI ELEMANLARI SANAYİ VE TİCARET LTD. ŞTİ.;TOSB OSB 1.CAD 14.SOK NO:9 ÇAYIROVA ÇAYIROVA KOCAELI;+90 (262) 658-1058;http://www.araymond.com.tr;araymond.com.tr
A REA OTOMOTİV KAUÇUK MET. SAN. VE TİC.LTD.ŞTİ.;YAYLACIK MAH.TAHTALI YOLU 39.SK.NO:3/1 YUMURTALIK BURSA;+90 (224) 254-9380;http://www.areaotomotiv.com;areaotomotiv.com
A YÜZER OTOMOTİV DIŞ TİC.İTHİHR.LTD.ŞTİ;YENİBOSNA MERKEZ MAH. DEGİRMENBAHÇE CAD. İSWEST B 10 BAHÇELİEVLER İSTANBUL;+90 (212) 000-0000;;
A.B.C. TRAKTÖR TIC.LTD.ŞTI;Ferhay Paşa Cad. G.19 No:18 MALTEPE İSTANBUL;+90 (216) 466-6720;http://abcturkey.com;abcturkey.com
A.C.T. OTOMOTİV MÜHENDİSLİK DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MİNARELİÇAVUŞOSB MAH. N.208 SOKAK NO:4 YUMURTALIK BURSA;+90 (224) 241-2631;http://www.actautomotive.com;actautomotive.com
A.D.D.A. MİMARLIK MÜH. İNŞ. TAAH. P.U.T. SAN. TİC. LTD. ŞTİ.;KÜLTÜR MH. BİLGİNLER CD NO 95 / A YUMURTALIK BURSA;+90 (224) 443-1318;http://www.addamimarlik.com;addamimarlik.com
A.D.R.ILKER OTOM.TURIZM SAN.VE TIC.LTD.STI.;Buyukbakkalkoy Mah.Kaşıf Sk.No:15 SK.NO:15 MALTEPE İSTANBUL;+90 (216) 311-7668;http://www.adrgroup.com;adrgroup.com
A.DÖKSAN DÖKÜM SANAYİ VE TİCARET A.Ş.;İSTANBUL DERİ OR.SAN.BÖL. V5 PARSEL TUZLA İSTANBUL;+9 (216) 364-3126;;
A.E.R. OTO YEDEK PARÇA MAKİNA TASARIM SANAYİ TİCARET LTD. ŞTİ.;MİNARELİÇAVUŞ OSB MAH N321.SOK NO:1 NİLÜFER/BURSA YUMURTALIK BURSA;+90 (224) 482-4285;http://www.aeroto.com.tr;aeroto.com.tr
A.F.S. ANADOLU FORKLİFT SANAYİ VE TİCARET LTD.ŞTİ.;BEŞEVLER KÜÇÜK SANAYİ SİTESİ 18.BLOK NO.9 YUMURTALIK BURSA;+90 (224) 441-8661;http://www.anadoluforklift.com;anadoluforklift.com
A.I.R. SÜSPANSİYON SİSTEMLERİ SAN. VE TİC. A.Ş;NİLÜFER O.S.B. ERGUVAN CAD. 72. SOKAK NO:8 YUMURTALIK BURSA;+90 (224) 411-0911;http://www.airkraft.com.tr;airkraft.com.tr
A.I.T. BİGİSAYAR SİSTEMLERİ MAKİNE SAN. VE TİC.LTD.ŞTİ.;Alaattin Bey Mh. 639. Sk. No:2/A YUMURTALIK BURSA;+90 (224) 211-4360;;
A.P.S. KALIP APARAT OTOMOTİV MAKİNA MEDİKAL SAN VE TİC.LTD.ŞTİ;ÇALI SAN.BÖL.ADABAĞLAR CAD.NO:25 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.apsotomotiv.com;apsotomotiv.com
A.R.G.OTOMOTIV SAN VE TIC.LTD. ŞTI.;MERSİNLİ MAH. 2830 SOK.NO:49 I.SANAYI BÖLGES BORNOVA ÇAY İZMİR;+90 (232) 459-6606;http://www.argotomotiv.com.tr;argotomotiv.com.tr
A.R.M OTOMOTİV DIŞ TİC. PAZARLAMA A.Ş.;DEMİRTAŞ DUMLUPINAROSB MAH. ALİ OSMAN SÖNMEZ CAD.NO:17 OSMANGAZİ BURSA;+90 (224) 261-2727;http://www.kapimsan.com;kapimsan.com
A.S.C TURİZM İNTERNASYONEL TİC LTD.ŞTİ.;HACI EMIN EFENDI SOKAK NO:41/2 ŞİŞLİ İSTANBUL;+90 (212) 291-5271;;
A.S.C. MOTOR ELEKTRIK MOTOR SANAYİ VE TİCARET A.Ş.;ALAADDİN BEY MAH 618.SK.NO:9 NİLÜFER/BURSA YUMURTALIK BURSA;+90 (224) 443-3570;http://www.ascmotor.com;ascmotor.com
A.S.M. OTO YAN SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İKİTELLİ ORG. SANAYİ BÖLGESİ 14. CAD. MUTFAKÇILAR SANAYİ SİTESİ 9. BLOK NO:11 BAŞAKŞEHİR İSTANBUL;+90 (212) 549-0555;;
A.Ş.GRUP LOJİSTİK VE DIŞ TİCARET A.Ş.;ALTINOVA MH.İSTANBUL CD. BUTTİM İŞM.N:424/5 4313 OSMANGAZİ BURSA;+90 (224) 000-0000;;
A.T.M.MAKINA TIC. VE SAN. LTD. ŞTI.;HACILARKIRI MAH.4 SAN.SIT.129 SOK.NO:5 D:B/3 ÇAY İZMİR;+90 (232) 342-4343;;
"A.T.N. İNŞAAT TEMİZLİK ELEKTRİK KAPLAMA VE İZALASYON GIDA SANAYİ VE TİCARET LTD.,ŞTİ.";KÜÇÜK SANAYİ SİTESİ 70.BLOK NO.20/22 YUMURTALIK BURSA;+90 (224) 441-2828;http://www.atninsaat.com;atninsaat.com
A.T.S. OTO YEDEK PARÇA SAN. TİC.LTD.ŞTİ;KÜÇÜKBALIKLI MAH. MURAT HÜDAVENDİGAR BULVARI NO:90 OSMANGAZİ / BURSA OSMANGAZİ BURSA;+90 (224) 215-6519;http://www.atskilit.com;atskilit.com
A.Z.M.OTOMOTİV SAN.TİC.LTD.ŞTİ.;FEVZİ ÇAKMAK MH.BÜSAN SAN.SİT. 10664. SK. NO:31/H ŞEMS KARATAY KONYA;+90 (332) 345-1855;http://www.azimtup.com;azimtup.com
A.Z.Z. İÇ VE DIŞ TİCARET LTD.ŞTİ.;BEŞEVLER MH. ACAR SK KAPI NO.17 D.1-2 YUMURTALIK BURSA;+90 (224) 453-5234;http://www.azz.com.tr;azz.com.tr
A2D OTOMASYON GÜVENLİK SİSTEMLERİ İNŞAAT TAAHHÜT OTOMOTİV SAN. VE DIŞ TİC. LTD. ŞTİ.;ÜÇEVLER MAH. ÜÇGÜL (220).SOK. NO:5A/A YUMURTALIK BURSA;+90 (224) 000-0000;;
AA GLOBAL GIDA TURIZM TEKS.DIŞ TIC.VE SAN.LTD.ŞTI.;SAADET DERE MAH.116.SOK.NO:34 ESENYURT İSTANBUL;+90 (212) 428-7337;;
AAD MARMARA DIŞ TİCARET LİMİTED ŞİRKETİ;ÜÇEVLER MH. KÜÇÜK SANAYİ SİT. 27. (220) SK. NO:25 /1 PK: 16000 YUMURTALIK BURSA;+90 (224) 000-0000;;
AAG GRUP MİMARLIK İNŞ.SAN VE TİC.LTD.ŞTİ;MERKEZ MAH. SIRACEVİZLER CAD. NUR APT NO:79 ŞİŞLİ İSTANBUL;+90 (212) 000-0000;;
AAP AUTO OTO YEDEK PARÇA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MİMAR SİNAN MAH. ÜSKÜDAR CAD. YEDPA NO:1-H/150 ATAŞEHİR İSTANBUL;+90 (216) 000-0000;;
AAU ORGANİZASYONHİZM VE DIŞ TİC.LTD.ŞTİ;ATATÜRK MAH. ATAŞEHİR BULV. ATA 3-1 NO:20 ATAŞEHİR İSTANBUL;+90 (216) 456-2828;;
AB TEKNOLOJİ SAVUNMA SANAYİ TİC. LTD. ŞTİ.;İSTASYON MAH. MİLLET CAD. NO:25 KÜÇÜKÇEKMECE İSTANBUL;+90 (212) 000-0000;;
ABA OTOMOTİV KALIP MAKİNA SAN. VE TİC. LTD. ŞTİ.;FEVZİ ÇAKMAK MAH. SILA CAD. C BLOK NO:51/1H KARATAY KONYA;+90 (332) 501-0668;;
ABB MAKİNA OTO YEDEK PARÇA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MİMAR SİNAN MAH. ÜSKÜDAR CAD. YEDPA NO:1/F -300 ATAŞEHİR İSTANBUL;+90 (212) 653-5301;;
ABBASOĞLU ORMAN ÜRÜNLERİ ZİRAİ İLAÇ İNŞAAT GIDA SANAYİ VE TİCARET LTD.ŞTİ.;KARACABEY SANAYİ SİTESİ 19.KISIM NO.19 KARACABEY BURSA;+90 (224) 671-8207;;
ABC FİLTRASYON OTOMOTİV SANAYİ VE TİC.LTD.ŞTİ.;FEVZİÇAKMAK MAH. 10758 SOK. H APT. NO:7B KARATAY KONYA;+90 (332) 237-1390;;
ABC MOTORLU ARAÇLAR SAN. VE TİC.A.Ş;MERKEZ MAH. CENDEREYOLU NO:18 KAĞITHANE İSTANBUL;+90 (212) 321-9191;;
ABC OFSET AMBALAJ SAN. VE TİC. A.Ş.;TEVFİKBEY MAH.TAHSİN TEKOĞLU CAD. N:5/2 KÜÇÜKÇEKMECE İSTANBUL;+90 (212) 541-1574;;
ABC OTOMOBİLCİLİK VE TUR. TİC. A.Ş.;FATİH SULTAN MEHMET BULVARI NO:414 YENİMAHALLE ANKARA;+90 (312) 278-3838;;
ABDT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ;LEVENT MAH.EBULULA MARDİN CAD.NO:21 BEŞİKTAŞ İSTANBUL;+90 (212) 268-4756;http://www.galleriatr.com;galleriatr.com
ABDULAZİZ KIRK TIR OTO YEDEK PARÇA SAN.VE TİC.LTD.ŞTİ.;İKİTELLİ OSB MAH. DOLAPDERE 12.ADA SOK.DOLAPDERE SANAYİ B13 BLOK NO:45/45 BAŞAKŞEHİR İSTANBUL;+90 (212) 671-2977;;
ABDULGANİ HAMED;AKÇALAR ORG.SAN.BÖLG. KARSAN OTOMOTİV FABRİKASI ARKASI YUMURTALIK BURSA;+90 (224) 484-2638;http://www.aghgroup.com;aghgroup.com
ABDULKADIR ERDEM;IKITELLI ORG.SAN.BÖLG. DOLAPDERE SAN.SIT.8 ADA NO.1 İKİTELLİ BAŞAKŞEHİR İSTANBUL;+90 (212) 671-2879;;
ABDULKADIR YILMAZ-UZAY İLETİŞİM;HASIRCILAR C.HASIRCILAR IŞM. NO:415 FATİH İSTANBUL;+90 (212) 528-3945;;
ABDULKADİR KIŞKAN - ŞEMSİ PLASTİK OTOMOTİV VE KALIP;ALTINOVA MAH. KIRAN SOKAK NO.20 OSMANGAZİ BURSA;+90 (224) 215-1272;;
ABDULKADİR ÖZCAN OTOMOTİV LASTİK SAN.TİC.A.Ş.;KAZIM KARABEKIR CAD. ÖZCAN CENTER NO:124 MERKEZ ANKARA;+90 (312) 309-3030;http://www.abdulkadirozcan.com.tr;abdulkadirozcan.com.tr
ABDULKADİR SOLMAZ - ENKA ATLAS;ÇANKAYA MH. SİNOP SK. NO:5B D1 ODUNPAZARI ESKIŞEHIR;+90 (222) 000-0000;;
ABDULLAH BAYKUL;SANAYI CARSISI 1.DOKUMCULER SK.NO:57 ODUNPAZARI ESKIŞEHIR;+90 (222) 217-7821;;
ABDULLAH DOKUMACI;AKSARAY MAH. TİRYAKİ HASAN PAŞA SOK. NO:30/A FATİH İSTANBUL;+90 (212) 589-7625;;
ABDULLAH EKİCİ - LOEM YEDEK PARÇA;KOSOVA MAH.TEZCANLAR SOK.NO:18/4 SELÇUKLU KONYA;+90 (332) 225-4550;http://www.loem.com.tr;loem.com.tr
ABDULLAH KUŞARSLAN;BALAT MAH. CABİ ALİ SOK NO:1/C FATİH İSTANBUL;+90 (212) 621-5585;;
ABDULLAH ÖKSÜZ DIŞ TİCARET;HOROZLUHAN MAH. KAHRAMAN SOK. NO:8 SELÇUKLU KONYA;+90 (332) 000-0000;;
ABDULLAH PAŞALI;BEYAZIT MAH.1SUNGUR SK. NO : 4 İÇ KAPI NO : 2 YILDIRIM BURSA;+90 (224) 712-3322;;
ABDULLAH SARAY;Org.San.Blg.Dolapdere Kop. 17.Ada No.27 BAŞAKŞEHİR İSTANBUL;+90 (212) 671-6922;;
ABDULNASIR HAVARİ;FEVZİ ÇAKMAK MAH. 10569 SOK. NO:42/1 KARATAY KONYA;+90 (332) 000-0000;;
ABDULSAMET BÜYÜKERTAŞ;FEVZİ ÇAKMAK MAH.10656 SK. NO:16 ŞEMS KARATAY KONYA;+90 (332) 000-0000;http://www.ducasauto.com;ducasauto.com
ABDULVAHIT KAYALAR;Cumhurıyet Mah.Saıt Pakın Cad. No:81/A REYHANLI HATAY;+90 (326) 285-5868;;
ABDURRAHİM KALINCA ÖZTÜRK KİLİT VE OTO SANAYİ;SÜTÇÜLER MAH. ANKARA CAD.NO:194/H KÖYLER KEMALPAŞA İZMİR;+90 (232) 478-1885;;
ABDURRAHMAN SEVER;FEVZİÇAKMAK MAH. KILINÇBEY SOK. NO:13 KARATAY KONYA;+90 (332) 000-0000;;
ABDÜLKADİR BASIK;ORHANBEY MAH. ATATÜRK CAD. NO:39/627 OSMANGAZİ BURSA;+90 (224) 225-0113;http://www.projenyapi.com;projenyapi.com
ABEM GLOBAL İTHALAT İHRACAT A.Ş.;İKİTELLİ OSB MAH. ÇORAPÇILAR H BLOK SK. H BLOK NO: 20 BAŞAKŞEHİR İSTANBUL;+90 (212) 486-3636;http://www.abemglobal.com;abemglobal.com
ABL OTOMOTİV SAN. VE TİC. A..Ş.;F.ÇAKMAK MH. ASLIM CD. 1.ATİKER SAN. NO:38/O ŞEMS KARATAY KONYA;+90 (332) 503-0001;;
ABM MOTORLU ARAÇLAR SANAYİ VE TİCARET ANONİM ŞİRKETİ;ZİYA GÖKALP MAH.HÜRRİYET BULV. NO:23C BAŞAKŞEHİR İSTANBUL;+90 (212) 670-3033;http://www.abmmotorluaraclar.com;abmmotorluaraclar.com
ABM TEDARİK HİZMETLERİ OTOMOTİV İNŞAAT İTHALAT İHRACAT SAN VE TİC.LTD.ŞTİ;KIBRIS ŞEHİTLERİ CAD.NO:20/502 ALSANCAK KONAK İZMİR;+90 (232) 000-0000;;
ABMS DANIŞMANLIK SAN VE TİC LTD.ŞTİ;MASLAK MAH.TAŞYONCASI SOK.MASLAK 1453 C6 BLOK NO:11/Z1 SARIYER İSTANBUL;+90 (212) 268-4756;;
ABN MAKİNA ENDÜSTRİ İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;ACIBADEM MAH. ÇEÇEN SOK. A2 BLOK NO:21-A2/3 ÜSKÜDAR İSTANBUL;+90 (216) 000-0000;;
ABRA VİNÇ MAKİNA KONSTRÜKSİYON SANAYİ DIŞ TİCARET ANONİM ŞİRKETİ;ÇAPAK MAH.2594 SOK.NO:7 TORBALI TORBALI İZMİR;+90 (232) 853-2858;http://www.abravinc.com.tr;abravinc.com.tr
ABRAMET OTOMOTİV MAKİNA METAL SANAYİ VE TİCARET ANONİM ŞİRKETİ;HALİLBEYLİ OSB MAH. SANAYİ CAD. NO:10 KEMALPAŞA İZMİR;+90 (232) 504-4460;http://www.abramet.com.tr;abramet.com.tr
ABS PLAST VACUM OTOMOTİV SAN.TİC.LTD.ŞTİ.;ÖMERLİ MAH.EFEKAN CD.SİTESİ BLOK NO:12/5 ARNAVUTKÖY İSTANBUL;+90 (212) 515-4929;;
ABSEL OTOMOTİV SAN. VE TİC. LTD. ŞTİ.;MAHMUTBEY MAH. TAŞOCAĞI YOLU CAD. BALANCE GÜNEŞLİ BLOK NO: NO:19/6 İÇ KAPI NO:52 MAHMUTBEY BAĞCILAR İSTANBUL;+90 (212) 924-4050;http://www.abselparts.com;abselparts.com
ABSHER İÇ VE DIŞ TİCARET LTD.ŞTİ;ŞEHREMİNİ MAH.VELET ÇELEBİ SOK.ŞEKEROĞLU APT NO:9 FATİH İSTANBUL;+90 (212) 000-0000;http://www.absher.sa;absher.sa
ABV KALIP VE PLAS. İML. SAÇ İŞL. MET. MAK. İML. TUR. İNŞ. İTH. İHR. SAN. VE TİC. LİMİTED ŞİRKETİ;YENİDOĞANOSB MAH. GAZİOSMANPAŞA CADDESİ NO:4/2 YENİDOĞANOSB GÜRSU BURSA;+90 (224) 342-5145;http://www.abvkalip.com.tr;abvkalip.com.tr
AC ARGE ENDÜSTRİYEL ÜRETİM SAN. VE TİC. A. Ş.;MUTLUKENT MAH. 1921.CAD. NO:19 ÇAYYOLU ÇANKAYA ANKARA;+90 (312) 410-4040;;
