FirmaAdi;WebSitesi;Domain;Email
"ÇUKUROVA METAL TEL VE ORMAN ÜRÜNLERİ LTD.ŞTİ.";"";"cukurovametal.com.tr";"info@cukurovametal.com.tr"
"DANIŞTI İNŞAAT METALURJİ SAN. VE TİC. A.Ş.";"";"danistigroup.com.tr";"iletisim@danistigroup.com.tr"
"DETAŞ SAC PROFİL DEMİR ÇELİK SAN. VE TİC. A.Ş.";"";"detasgrup.com.tr";"huseyinnohutluoglu@detasgrup.com.tr"
"DİLA GERİ DÖNÜŞÜM ENERJİ VE ÇEVRE TEKNOLOJİLERİ. SAN. VE TİC. LTD.ŞTİ";"";"dilaenerji.com.tr";"info@dilaenerji.com.tr"
"DPS DOOR METAL MAK.SAN. VE TİC. LTD.ŞTİ.";"";"dpsdoor.com.tr";"muhasebe@dpsdoor.com.tr"
"EBRAR DEMİR ÇELİK PLASTİK TEKS.OTO GIDA SAN.VE TİC.LTD.ŞTİ.";"";"dogruplastik.com";"iletisim@dogruplastik.com"
"EDİP DEMİRÇELİK DIŞ TİCARET ANONİM ŞİRKETİ";"";"edipdemircelik.com";"muhasebe@edipdemircelik.com"
"EGE TOROS BORU PROFİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ";"";"egetoros.com";"muhasebe@egetoros.com"
"ELİT İPLİK TEKSTİL SAN.VE TİC.A.Ş.";"";"elitiplik.com.tr";"mehmet@elitiplik.com.tr"
"EMSE TEKSTİL TİC.VE SAN.LTD.ŞTİ.";"";"";"emse@hotmail.com"
"ERCAN DEMİR PROFİL İNŞAAT TAAHHÜT TİC.LTD.ŞTİ.";"";"ercanprofil.com.tr";"info@ercanprofil.com.tr"
"EROL DIŞ TİCARET LTD.ŞTİ.";"";"eroldisticaret.com";"erol@eroldisticaret.com"
"ERSOYLAR DEMİR ÇELİK SAN.VE TİC.A.Ş.";"";"ersoylarmetal.com";"info@ersoylarmetal.com"
"ESSEL SELÜLOZ VE KAĞIT SAN.TİC.A.Ş.";"";"";"esselkagitsanayi@hs06.kep.tr"
"FERRA FİLTRE SANAYİ VE TİCARET A.Ş.";"";"ferrafilter.com";"info@ferrafilter.com"
"FİŞEKÇİOĞLU METAL SAN. VE TİC. A.Ş.";"";"fisekcioglu.com.tr";"info@fisekcioglu.com.tr"
"GAZBİM YAPI MALZ.SAN.VE TİC.LTD.ŞTİ.";"";"";"gazbimyapi@gmail.com"
"GÖYMEN DEMİR ÇELİK İNŞAAT SANAYİ VE TİC.LTD.ŞTİ.";"";"goymendemir.com.tr";"info@goymendemir.com.tr"
"GÖZDE MÜHENDİSLİK İNŞ. TİC. TAAH.PAZ.NAK.LTD. ŞTİ.";"";"gozdemakina.com";"info@gozdemakina.com"
"GÜNEY STAR DIŞ TİCARET A.Ş.";"";"guneystar.com";"fercan@guneystar.com"
"HASIL DEMİR ÇELİK SAN VE TİC.A.Ş.";"";"hasildemircelik.com";"muhasebe@hasildemircelik.com"
"HATKO DOKUMA TEKS.İNŞ. TAAH.VE TİC.LTD.ŞTİ.";"";"hatkosport.com";"info@hatkosport.com"
"HATKO KAUÇUK A.Ş.";"";"hatkokaucuk.com";"info@hatkokaucuk.com"
"HİCRİ ERCİLİ DENİZ NAKLİYAT KİMYEVİ MADDELER SANAYİ VE TİCARET LTD.ŞTİ.";"";"";"tolgaata_19@hotmail.com"
"İES GALVANİZ SAN. VETİC.A.Ş.";"";"iesgalvaniz.com.tr";"zeki@iesgalvaniz.com.tr"
"İL-TEKS TEKSTİL SAN.VE TİC.A.Ş.";"";"";"ilteks.tekstil@gmail.com"
"İLBEYLİ TEKSTİL İMALAT SANAYİ VE TİC.LTD.ŞTİ.";"";"beytekstekstil.com";"beyteks@beytekstekstil.com"
"İMC GALVANİZ TEL SAN.TİC.A.Ş.";"";"imcgalvaniz.com.tr";"info@imcgalvaniz.com.tr"
"İMTAŞ İÇ VE DIŞ TİC. A.Ş.";"";"imtasdemir.com";"mdemirbasci@imtasdemir.com"
"KADİR GÜNDÜZ İNŞAAT TİC. SAN. LTD. ŞTİ.";"";"";"kadirgunduzinsaat@hotmail.com"
"KANAT BOYACILIK TİC.VE SAN.A.Ş.";"";"kanatboya.com.tr";"info@kanatboya.com.tr"
"KETENLER DÖVME VE KALIPÇILIK SAN.TİC.LTD.ŞTİ";"";"ketdov.com";"info@ketdov.com"
"KOÇ METALURJİ A.Ş.";"";"koccelikas.com.tr";"info@koccelikas.com.tr"
"KONFİDA AMBALAJ TEKSTİL SANAYİ VETİC.AŞ.";"";"konfida.com";"nurettin.yigit@konfida.com"
"KRON FİLTRE SAN.VE TİC.LTD.ŞTİ.";"";"kronfilter.com.tr";"hcalis@kronfilter.com.tr"
"M.M.Tiftik Kardeşler Nakliye, İnşaat, Petrol ve Tarım Ürünleri Pazarlama Sanayi ve Ticaret Ltd. Şti";"";"tiftikbeton.com.tr";"info@tiftikbeton.com.tr"
"MEHMET BOZDOĞAN";"";"";"bozdogansales@gmail.com"
"MERTSE SAC METAL LTD. ŞTİ.";"";"mertse.com";"muhasebe@mertse.com"
"MESKAR YEM TARIM HAYV.İTHALAT İHRACAT SAN.VE TİC.LTD.ŞTİ.";"";"";"meskaryem@hotmail.com"
"METKOM METALURJİ MALZ.MÜT.NAK.SAN.VE TİC.LTD. ŞTİ.";"";"metkom.com.tr";"info@metkom.com.tr"
"METSAN DEMİR ÇELİK ÜRN.KÖM.GÜBRE NAK.MÜT. PAZ.SAN.TİC.LTD.ŞTİ";"";"metsandc.com.tr";"metsandc@metsandc.com.tr"
"MEVLÜT AYDIN İNŞ. TAAH. ÇELİK MAK.İMLT.MONT. SAN.VE TİC.LTD.ŞTİ.";"";"mevlutaydinltdsti.com";"info@mevlutaydinltdsti.com"
"MİM-MAK MAKİNA İMALAT MONT.SAN.TİC.LTD.ŞTİ";"";"";"mimmak0680@gmail.com"
"MÜRAT METALURJİ SAN. VE TİC. A.Ş.";"";"platinumdemir.com.tr";"huseyin.basol@platinumdemir.com.tr"
"NİPAŞ TEKSTİL SANAYİ VE TİC.A.Ş.";"";"nipastextile.com";"info@nipastextile.com"
"NİRMAN DEMİR ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ";"";"";"nirmandemircelik@gmail.com"
"NOKSEL ÇELİK BORU SANAYİ A.Ş.";"";"noksel.com.tr";"isk-fab@noksel.com.tr"
"NOVA STEEL METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ OSMANİYE ŞUBESİ";"";"novasteelmetal.com";"info@novasteelmetal.com"
"OZ METAL SANAYİ TİCARET AŞ";"";"ozmetalurji.com.tr";"info@ozmetalurji.com.tr"
"ÖZ YEKSEK TOPRAK MAHSULLERİ VE NAK.TİC.LTD. ŞTİ.";"";"ozyeksekfistik.com";"info@ozyeksekfistik.com"
"ÖZ-TRANS ULUSL. NAK. İNŞ. İTH. İHR. SAN. TİC. LTD. ŞTİ.";"";"oztrans.net";"oztrans@oztrans.net"
"ÖZDEMİR SEMT TARIM ÜR.PAK.İTH.İHR.GID.SAN.VE TİC.LTD.ŞTİ.";"";"semttarim.com";"info@semttarim.com"
"POLİTEKS SUNİ DERİ KİM.İNŞ. TEKS. SAN.VE TİC.LTD. ŞTİ.";"";"politekssunideri.com.tr";"info@politekssunideri.com.tr"
"PROTÜRK GERİ DÖNÜŞÜM ENERJİ PETROL ÜRÜN SAN. VE TİC. LTD. ŞTİ";"";"";""
"PÜRSAN –PİGMENT ÜRÜNLERİ SAN. VE TİC. A. Ş.";"";"nippon.com.tr";"info@nippon.com.tr"
"RABANİ PLASTİK LİMİTED ŞİRKETİ";"";"rabaniplastik.com";"rahul@rabaniplastik.com"
"RAL GERİ DÖNÜŞÜM ÇELİK SAN. VE TİC.A. Ş.";"";"ralgeridonusum.com.tr";"ral@ralgeridonusum.com.tr"
"RAM ÇELİK TEL VE TEL ÜRÜN.SAN. VE TİC.LTD.ŞTİ.";"";"ramcelik.com";"info@ramcelik.com"
"ROYAL İSKELE KALIP SİSTEMLİ SAN. VE TİC.LTD.ŞTİ";"";"royeliskele.com.tr";"info@royeliskele.com.tr"
"SAMSUN ÇİVİ METAL SANAYİ VE TİC.AŞ.";"";"samsuncivimetal.com";"info@samsuncivimetal.com"
"SETA İNŞAAT TAAH.TİC.VE SAN.LTD.ŞTİ.";"";"setainsaat.com";"info@setainsaat.com"
"SİMAK AĞIR MAKİNA SANAYİ A.Ş..";"";"si-mak.com.tr";"simak@si-mak.com.tr"
"SİRER MADENCİLİK PETROL TURİZM NAKLİYAT KERESTECİLİK İNŞ.TAAH. İTH.İHR. PAZ.VE TİC.LTD. ŞTİ.";"";"";"ertugerol4@gmail.com"
"SUNTEK MAKİNA ENERJİ SAN.TİC. VE LTD. ŞTİ.";"";"suntekmak.com";"muhasebe@suntekmak.com"
"ŞENPINAR ÇELİK SAN. A.Ş.";"";"senpinarcelik.org";"muhasebe@senpinarcelik.org"
"TEKMONT ENDÜSTRİ TESİSLERİ İMALAT VE MONTAJ SAN.TİC.A.Ş.";"";"tekmont.com";"info@tekmont.com"
"TOBAGRO INTERNATIONAL TÜTÜNCÜLÜK SANAYİ VE TİCARET A.Ş.";"";"tobagroint.com";"info@tobagroint.com"
"TOPRAKKALE KAĞIT VE AMBALAJ SAN.TİC.LTD.ŞTİ.";"";"kalekagit.com";"info@kalekagit.com"
"TOPRAKKALE SAC SANAYİ LİMİTED ŞİRKETİ";"";"crtmetal.com";"muhasebe@crtmetal.com"
"TOSÇELİK PROFİL SAC ENDÜSTRİSİ A.Ş.";"";"tosyaliholding.com.tr";"info@tosyaliholding.com.tr"
"TOSÇELİK SPİRAL BORU ÜRETİM A.Ş.";"";"tosyaliholding.com.tr";"info@tosyaliholding.com.tr"
"TOSYALI ENERJİ SANAYİ VE TİCARET A.Ş.";"";"tosyali.com.tr";"enerjimutabakat@tosyali.com.tr"
"TOSYALI FİLMAŞİN VE İNŞAAT DEMİR ÜRETİM SAN. A.Ş.";"";"tosyaliholding.com.tr";"info@tosyaliholding.com.tr"
"TOSYALI HARSCO GERİ KAZANIM TEKNOLOJİLERİ A.Ş.";"";"tosyaliholding.com.tr";"info@tosyaliholding.com.tr"
"TOSYALI METALURJİ SANAYİ A.Ş";"";"tosyalimetalurji.com.tr";"info@tosyalimetalurji.com.tr"
"TOSYALI TOYO ÇELİK A.Ş.";"";"tosyalitoyo.com.tr";"info@tosyalitoyo.com.tr"
"TURKUA KARBON DENİZCİLİK SAN VE TİC. LTD.ŞTİ.";"";"turkua.com.tr";"turkua@turkua.com.tr"
"TÜRKER TORNA BORVEKS OTOMOTİV VE YEDEK PARÇA İNŞ. VE MALZ. DEMİR ÇELİK MAM.İ NAK. MAK. VE YEDEK PARÇA TAAH. SAN.VE TİC.LTD.ŞTİ.";"";"";"turker-torna@hotmail.com"
"UFUK SAC İTH. İHR. DIŞ TİC. LTD. ŞTİ.";"";"ufukdemircelik.com.tr";"muhasebe@ufukdemircelik.com.tr"
"UĞUR METAL TİCARET NAKLİYAT LTD.ŞTİ.";"";"ugurmetaldemir.com";"info@ugurmetaldemir.com"
"USLU ÇSM DEMİRÇELİK AŞ.";"";"usludemircelik.com";"info@usludemircelik.com"
"VARİO MÜHENDİSLİK VE ÜRETİM TEKNLOJİLERİ AŞ.";"";"variogrease.com";"muhasebe@variogrease.com"
"VİTAMİN GÜBRE GÜBRE A.Ş.";"";"vitamingubre.com.tr";"vitamin@vitamingubre.com.tr"
"YAHŞİOĞLU GIDA SAN.VE TİC.LTD.ŞTİ.";"";"";"huseyin-yahsi@hotmail.com"
"YAVUZHAN TARIM ÜRÜNLERİ SAN. TİC. LTD. ŞTİ.";"";"";"yavuzhan.80.81@gmail.com"
"YEŞİL BAŞAK TARIM SANAYİ VE TİC.LTD.ŞTİ.";"";"yesilbasak.com";"info@yesilbasak.com"
"YILGENCİ SANAYİ VE TİCARET ANONİM ŞİRKETİ-ORHAN YILGENCİ";"";"yilgenci.com";"serkan.cinar@yilgenci.com"
"YILMAZ GLOBAL METAL ÜRÜNLERİ SAN. TİC. A.Ş.";"";"yakupyilmazboru.com";"yilmazboru@yakupyilmazboru.com"
"YUNUS KENDİR DEMİR ÇELİK A.Ş.";"";"kendirliler.com";"yunuskendir@kendirliler.com"
"YÜCEL BORU VE PROFİL ENDÜSTRİSİ A.Ş.";"";"yucelboru.com.tr";"dilaver.gunduz@yucelboru.com.tr"
"ZNR YAPI KİMYASALLARI SAN.TİC. LTD.ŞTİ";"";"znr.com.tr";"info@znr.com.tr"
