Sıra No;İl;OSB Adı;Durum;Telefon;E-Posta;Web Sitesi;Adres;Firma Listesi
34;Amasya;Suluova;İŞLETMEDE (FAALİYETTE);(358) 417-2066;suluovaosb@hotmail.com;www.suluovaosb.org.tr;Suluova Osb, Kazanlı Mevkii, 2. Cadde, No:2, Suluova - Amasya;
35;Amasya;Suluova Besi;İŞLETMEDE (FAALİYETTE);(358) 417-4885;suluovatdibosb@hotmail.com;www.suluovabesiosb.org.tr;Suluova Tdiosb, Salucu Köyü Yolu, Çardaklı Mevkii - Cadde 1, No:1 - Suluova - Amasya;
36;Ankara;Anadolu;İŞLETMEDE (FAALİYETTE);(312) 553-8181;bilgi@anadoluosb.org.tr;www.anadoluosb.org.tr;Malıköy Anadolu Osb Mahallesi, (Eskişehir Yolu 40 Km) 29 Ekim Cad. No:6, 06909 Sincan - Ankara;
37;Ankara;Ankara Anadolu Geri Dönüşümcüleri İhtisas;KAMULAŞTIRMA YAPILIYOR;(312) 315-2222;agdihtisasosb@hotmail.com;;İvedikköy Mah. 1499. Sokak , Bulvar Anatolia İş Merkezi Kat:2 No:8/66-95 Yenimahalle - Ankara;
38;Ankara;Ankara Dökümcüler İhtisas;İŞLETMEDE (FAALİYETTE);(312) 267-3466;info@dokumculerosb.org.tr;www.dokumculerosb.org.tr;Malıköy Dökümcüler Osb Mah. Atatürk Bulvarı No:7 Sincan - Ankara;
39;Ankara;Ankara Sanayi Odası 2.ve 3.;İŞLETMEDE (FAALİYETTE);(312) 641-4141;bilgi@aso2osb.org.tr;www.aso2osb.org.tr;Aso 2. Ve 3.Osb Eskişehir Yolu 42. Km. Alcı Osb Mahallesi 2010 Cadde No:7 Sincan - Ankara;
40;Ankara;Ankara Sanayi Odası I.;İŞLETMEDE (FAALİYETTE);(312) 267-0000;aosb@aosb.org.tr;www.aosb.org.tr;Ayaş Yolu 25. Km. Asora Tic.Merkezi 1 Kat - 06935 Sincan - Ankara;
41;Ankara;Ankara Uzay ve Havacılık İhtisas;İŞLETMEDE (FAALİYETTE);(312) 811-2110;hab@hab.org.tr;www.hab.org.tr;Saray OSB Mahallesi, Hazerfen Ahmet Çelebi Blv. No:13 Kahramankazan 06980 Ankara;
42;Ankara;Ankara-Çubuk TDİ (Besi);İŞLETMEDE (FAALİYETTE);3128378810;cubukosb@gmail.com;www.cubuktdiosb.org;Çubuk Kaymakamlığı, Hükümet Cad. No:25 Kat:2/3 Çubuk - Ankara;
43;Ankara;Ankara-İvedik;İŞLETMEDE (FAALİYETTE);(312) 395-6262;ivedik@ivedikosb.org.tr;www.ivedikosb.org.tr;Melih Gökçek Bulvarı (1368 Cadde) No:61 06370 Yenimahalle - Ankara;
44;Ankara;Başkent;İŞLETMEDE (FAALİYETTE);(312) 640-1100;info@baskentosb.org;www.baskentosb.org;Şadi Türk Bulvarı 20 Cadde No:27 Malıköy - Sincan - Ankara;
45;Ankara;Beypazarı;KAMULAŞTIRMA YAPILIYOR;(312) 763-1004;info@beyosb.org.tr;www.beyosb.org.tr;Beypazarı Kaymakamlığı, Hacıkara Mah. Anafartalar Sokak, No:!, Kat:3, Beypazarı - Ankara;
46;Ankara;Elmadağ Mobilyacılar İhtisas;İŞLETMEDE (FAALİYETTE);(312) 349-3535;mobilyacilarosb@gmail.com;www.mobilyacilarosb.com;Diriliş Mah. Destegül Cad. No:13/68 (NEK TOWER) Mamak - Ankara;
47;Ankara;Ostim;İŞLETMEDE (FAALİYETTE);(312) 385-4043;ostim@ostim.org.tr;www.ostim.org.tr;Ostim Organize Sanayi Bölge Müdürlüğü 100. Yıl Bulvarı No: 101-A ( 06370) Ostim - Ankara;
48;Ankara;Polatlı;İŞLETMEDE (FAALİYETTE);(312) 626-5002;polatliosb@gmail.com;www.posb.org.tr;Polatlı Osb Bölgesi, 201.Cad. No:2 Pk:24 06900 Polatlı - Ankara;
49;Ankara;Polatlı Ticaret Odası;İŞLETMEDE (FAALİYETTE);(535) 248-6626;ptoosb@gmail.com;www.ptoosb.org.tr;Çekirdeksiz Mah. Polatlı Ticaret Odası OSB 2.Cadde No:7 Polatlı-Ankara;
50;Ankara;Şereflikoçhisar;İŞLETMEDE (FAALİYETTE);(312) 687-1771;bilgi@sereflikochisarosb.org.tr;www.sereflikochisarosb.org.tr;İstiklal Mah. Metin Şanal Bulvarı, Hükümet Konağı, Kat:1 06950 Şereflikoçhisar - Ankara;
51;Antalya;Antalya;İŞLETMEDE (FAALİYETTE);(242) 258-1100;antalyaosb@antalyaosb.org.tr;www.antalyaosb.org.tr;Antalya Osb Müdürlüğü, 1.Kısım Mah. 5.Cad. No:5 Döşemealtı - Antalya;YAPILDI
52;Antalya;Kaş Gıda İhtisas;PLANLAMA AŞAMASINDA;(242) 836-4403;kasgidaosb@gmail.com;www.kasgidaosb.org.tr;Kas Gıda OSB, Kalkan Mah. Şehitler Cad. No:5/10 Kaş - Antalya;
53;Antalya;Korkuteli;ALTYAPI HAZIRLANIYOR;02422581100;info@kormer.org.tr;info@korkuteliosb.org.tr;Korkuteli OSB, AOSB 1. Kısım Mah. 5.Cad. No:5 Döşemealtı - Antalya;
54;Antalya;Manavgat;PLANLAMA AŞAMASINDA;(242) 742-8380;manavgatosb@gmail.com;www.manavgatosb.org.tr;Manavgat OSB Aydınevler Mah. 5578 Sokak No:6 07600 Manavgat - Antalya;
55;Ardahan;Ardahan;ALTYAPI HAZIRLANIYOR;(478) 211-4444;ardahanosb@gmail.com;www.ardahanosb.org.tr;İl Özel İdaresi, Kaptanpaşa, Cumhuriyet Cd. No:21 Kat :5 75000 Merkez - Ardahan;
56;Artvin;Artvin Arhavi;KAMULAŞTIRMA YAPILIYOR;(466) 312-3535;arosb@outlook.com;www.arosb.com.tr;Arhavi OSB, Musazade Mahallesi Eyüp Çarmıklı Caddesi Tapu Blokları No:5 Arhavi - Artvin;
57;Aydın;Aydın;İŞLETMEDE (FAALİYETTE);(256) 259-1100;aosb@aydinosb.org.tr;www.aydinosb.org.tr;Umurlu Mahallesi Organize Sanayi Bölgesi No:63 Efeler - Aydın;
58;Aydın;Aydın ASTİM;İŞLETMEDE (FAALİYETTE);(256) 231-0010;info@astimosb.org.tr;www.astimosborg.tr;Ata OSB Mahallesi, Astim 2.Cadde No:2 09010 Efeler - Aydın;
59;Aydın;Aydın Efeler TDİ (Jeo.Isıtmalı.Sera);İŞLETMEDE (FAALİYETTE);(256) 213-4501;aydintdiosb@gmail.com;www.aydintdiosb.org;Efeler Kaymakamlığı üst katı, Efeler Mahallesi Hürriyet Bulvarı 2275 Sokak No:17 Efeler - Aydın;
60;Aydın;Aydın-Nazilli;İŞLETMEDE (FAALİYETTE);(256) 312-6969;info@nazilliosb.org.tr;www.nazilliosb.org.tr;Organize Sanayi Bölgesi, Osb 6. Cadde No.10 Nazilli - Aydın;
61;Aydın;Buharkent;İŞLETMEDE (FAALİYETTE);(256) 391-3005;buharkentosb@hotmail.com;;Buharkent Bld. Kamilpaşa Mahallesi - Atatürk Caddesi - No:73 - 09670 Buharkent - Aydın;
62;Aydın;Çine;İŞLETMEDE (FAALİYETTE);(256) 711-9293;cineosb@cineosb.org.tr;www.cineosb.org.tr;Çine Osb, Gökyaka Mah.,Selahaddin Gökozan Bul. No:9 Çine - Aydın;
63;Aydın;Ortaklar;İŞLETMEDE (FAALİYETTE);(256) 577-2101;info@ortaklarosb.org.tr;www.ortaklarosb.org.tr;Gümüşyeniköy Mah. Atatürk Bulv. No:10 Germencik - Aydın;
64;Aydın;Söke;İŞLETMEDE (FAALİYETTE);(256) 518-9844;info@sokeosb.org.tr;www.sokeosb.org.tr;Söke Osb Mah. Atatürk Bulvarı, No:2 (Novada Avm Arkası) Söke - Aydın;
65;Balıkesir;Balıkesir;İŞLETMEDE (FAALİYETTE);(266) 281-1010;balosb@balosb.org.tr;www.balosb.org.tr;Balıkesir OSB, Gaziosmanpaşa OSB Mahallesi 11. Cadde No: 2B ALTIEYLÜL - BALIKESİR;
66;Balıkesir;Balıkesir Ayvalık Gıda ve Gıda İşleme İhtisas;PLANLAMA AŞAMASINDA;(266) 312-1040;info@ayvalikosb.org;www.ayvalikosb.org.tr;Ayvalık Kaymakamlığı, Sakarya Mah. Gümrük Cad. 2. Sok. No:44 Ayvalık - Balıkesir;
67;Balıkesir;Balıkesir Bigadiç Jeotermal Kaynaklı TDI (Sera) OSB;KAMULAŞTIRMA YAPILIYOR;(266) 614-1001;bigadictdiosb@gmail.com;www.bigadictdiosb.org.tr;Bigadiç İlçe Tarım ve Orman Müdürlüğü Servi Mah., Atatürk Cd. No:203, 10440 Bigadiç/Balıkesir;
68;Balıkesir;Balıkesir Edremit TDİ(Jeo.Kayn.Sera);ALTYAPI HAZIRLANIYOR;(266) 374-3500;edremittdiosb@gmail.com;www.edremittdiosb.org.tr;Soğanyemez Mah. Yılmaz Akpınar Bulvarı No:14 Kat:5 Edremit - Balıkesir;
69;Balıkesir;Balıkesir Gönen TDİ (jeo.Kayn.Sera);ALTYAPI HAZIRLANIYOR;(266) 243-5800;gonentdiosb@gmail.com;www.gonentdiosb.org.tr;Karesi Mah. Dokumacılar Sok. No:7 Karesi - Balıkesir;
70;Balıkesir;Bandırma;İŞLETMEDE (FAALİYETTE);(266) 781-1100;bilgi@banosb.org;www.banosb.org;Bandırma-Gönen Karayolu - Buğdaylı Köyü, Taştepe Mevkii - Balıkesir;
71;Balıkesir;Burhaniye Zeytin ve Zeytin Ürünleri İşleme İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);(266) 412-0766;burhaniyeosb@gmail.com;www.burhosb.org.tr;Kocacami Mah. Mithatpaşa Cad. No:5, Pk 10700 Burhaniye - Balıkesir;
72;Balıkesir;Dursunbey;İŞLETMEDE (FAALİYETTE);2666621010;dursunbeyosb@gmail.com;www.dursunbeyosb.org.tr;Dursunbey OSB, Mollaoğlu Mah. Kösten Sk. No:2 Dursunbey - Balıkesir;
73;Balıkesir;Gönen Deri ihtisas Ve Karma;İŞLETMEDE (FAALİYETTE);(266) 762-7537;info@gonenosb.org.tr;www.gonenosb.org.tr;Bostancı Mah, Taştepe Mevki, 10900 Gönen - Balıkesir;
74;Balıkesir;Marmara Yüksek Teknoloji ve Makine İhtisas;ALTYAPI HAZIRLANIYOR;(216) 527-1010;info@marmaraosb.org;marmaraosb.org;Beyköy Mah. Beyköy Sokak No:87 Bandırma - Balıkesir;
75;Bartın;Bartın Merkez I;İŞLETMEDE (FAALİYETTE);(378) 266-1010;bartinorganize@gmail.com;www.bartinosb.org.tr;Bartın Merkez I. Organize Sanayi Bölge Müdürlüğü, Kurtköy Mevkii, Pk.50 Merkez - Bartın;
76;Batman;Batman İli;İŞLETMEDE (FAALİYETTE);(488) 214-6425;bilgi@batmanosb.org.tr;www.batmanosb.org.tr;Bartın Merkez I. OSB Müdürlüğü, Kurt köy Mevkii, Pk.50 Merkez - Bartın;
77;Batman;Batman TDI(SERA) OSB;PLANLAMA AŞAMASINDA;(488) 218-0813;ciftciresat@gmail.com;;Batman İl Özel İdaresi, Gültepe Mahallesi, Demokrasi Blv. No:89/A Merkez - Batman;
78;Bayburt;Bayburt;İŞLETMEDE (FAALİYETTE);(458) 210-1100;bayburtosb@gmail.com;www.bayburtosb.org.tr;Bayburt Osb, Bayburt Doğaltaş Fabrikası, Doğaltaş Binası Kat:2 - Bayburt;
79;Bilecik;Bilecik 3.;KAMULAŞTIRMA YAPILIYOR;(228) 213-0403;bilecik3.osb@hotmail.com;www.bilecik3osb.org.tr;Hürriyet Mahallesi Dumlupınar 5. Sokak No:2-6 (Valilik Ek Hizmet Binası) Merkez - Bilecik;
80;Bilecik;Bilecik Bozüyük;İŞLETMEDE (FAALİYETTE);(228) 313-0178;bozuyukosb@hotmail.com;www.bozuyukosb.org.tr;Poyra Osb Mah. 12.Cadde No:3 Pk11300, Müdürlük İdari Binası, Bozüyük - Bilecik;
81;Bilecik;Bilecik I.;İŞLETMEDE (FAALİYETTE);(228) 216-0000;bilosb@bilosb.org;www.bilosb.org;Bilecik I. Osb Bölgesi, 2. Cadde, No:6 - Merkez - Bilecik;
82;Bilecik;Bilecik Kayı;İŞLETMEDE (FAALİYETTE);(228) 213-0403;bilorsa@hotmail.com;www.bilecik2osb.org.tr;Bilecik 2 OSB, Bahçelievler Mah. Atakent Cad. No:96/C Merkez - Bilecik;
83;Bilecik;Gölpazarı Gıda İhtisas;KAMULAŞTIRMA YAPILIYOR;2282130403;info@golpazariosb.org.tr;www.golpazariosb.org.tr;İstiklal Mah. Cumhuriyet Cad. No:89 Hükümet Konağı Kat:1 Gölpazarı - Bilecik;
84;Bilecik;Osmaneli;İŞLETMEDE (FAALİYETTE);(228) 462-0046;osmaneliosb@gmail.com;www.osmaneliosb.org.tr;Osmaneli Osb, Prof.Dr. Yunus Söylet Cad. Camikebir Mah. Hükümet Konağı No:26 Kat:1 Osmaneli - Bilecik;
85;Bilecik;Pazaryeri;İŞLETMEDE (FAALİYETTE);(228) 381-2020;bilgi@porsab.org.tr;www.porsab.org.tr;Çarı Mah. Zübeyde Hanım Cad. No:40 Pazaryeri - Bilecik;
86;Bilecik;Söğüt;İŞLETMEDE (FAALİYETTE);(228) 361-3005;hasim_11@hotmail.com;www.sogutosb.org.tr;Hükümet Konağı, Kayhan Mahallesi Ertuğrulgazi Caddesi No:2, Kat:3 Söğüt - Bilecik;
87;Bingöl;Bingöl;İŞLETMEDE (FAALİYETTE);(426) 214-5252;bilgi@bingolosb.org.tr;www.bingolosb.org.tr;Bingöl-Genç Karayolu 10.Km. Merkez Ardıçtepe Köy Mevkii 111-1 Ada Osb İdari Hizmet Binası Merkez - Bingöl;
88;Bitlis;Bitlis;İŞLETMEDE (FAALİYETTE);(434) 226-3740;bitlisosb2001@gmail.com;www.bitlisosb.org.tr;Beşminare Mah. Rahva Mevkii Osb Alanı, Osb İdari Binası - Merkez - Bitlis;
89;Bolu;Bolu karma ve tekstil ihtisas;İŞLETMEDE (FAALİYETTE);(374) 243-8152;osb@boluosb.org.tr;www.boluosb.org.tr;Bolu Organize Sanayi Bölgesi Müdürlüğü, D-100 Karayolu 7. Km 14030 Susuzkınık Köyü - Bolu;
90;Bolu;Gerede;İŞLETMEDE (FAALİYETTE);(374) 311-7733;geredeosb@gmail.com;www.geredeosb.org.tr;Gerede Organize Sanayi Bölge Müdürlüğü, Gerede - Ankara Yolu 4. Km. Gerede - Bolu;
91;Bolu;Gerede Deri İhtisas;İŞLETMEDE (FAALİYETTE);(374) 311-3607;geredederiosb@hotmail.com;www.geredederiosb.org;Gerede Deri İhtisas Osb, Yeni Tabakhaneler 2 No’Lu Sok. No:1 Gerede - Bolu;
92;Bolu;Yeniçağa;ALTYAPI HAZIRLANIYOR;(374) 341-4506;yenicagaosb@gmail.com;www.yenicagaosb.org.tr;Yeniçağa Belediye Başkanlığı, Asilbey Mahallesi, Hükümet Konağı, No:1 Yeniçağa - Bolu;
93;Burdur;Burdur;İŞLETMEDE (FAALİYETTE);(248) 252-9703;burorsan@hotmail.com;www.burorsan.org.tr;Kışla Mah. Şehit Ertan Palaz Cad. No:1 - 15040 - Merkez - Burdur;
94;Burdur;Burdur II.;İŞLETMEDE (FAALİYETTE);(248) 252-9383;posta@burdur2osb.org.tr;www.burdur2osb.org.tr;Burdur 2.OSB, Gökçebağ Köyü, Başakevler OSB Mevkii, 1.Cadde, No:3, - Burdur;
95;Burdur;Burdur-Bucak;İŞLETMEDE (FAALİYETTE);(248) 317-1430;bilgi@bucakosb.org.tr;www.bucakosb.org.tr;Bucak Osb. Çamlıca Osb Mahallesi 1757 Sk. No:5 Bucak - Burdur;
96;Bursa;Barakfakih;İŞLETMEDE (FAALİYETTE);(224) 384-5511;info@bosab.org.tr;www.bosab.com.tr;Barakfakih OSB Mah. 6.Cad. No:4 Kestel - Bursa;
97;Bursa;Bursa;İŞLETMEDE (FAALİYETTE);(224) 243-3800;bosb@bosb.org.tr;www.bosb.org.tr;Bursa Osb, Osb, Mavi Cadde, 2.Sokak, No:2, Pk 16140 Nilüfer - Bursa;
98;Bursa;Bursa Deri İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);(224) 487-0000;bursaderi@bursaderiosb.com;www.bursaderiosb.com;Badırga Mah. Aziz Demirkan Cad. No.14 Nilüfer - Bursa;
99;Bursa;Bursa Teknoloji (BURSA TEKNOSAB);İŞLETMEDE (FAALİYETTE);(224) 684-3030;info@teknosab.org.tr;www.teknosab.org.tr;Taşpınar Mahallesi Taşpınar Sokak No:201 Karacabey - Bursa;
100;Bursa;Demirtaş;İŞLETMEDE (FAALİYETTE);(224) 261-0040;yonetim@dosab.org.tr;www.dosab.org.tr;Demirtaş Organize Sanayi Bölgesi, Gül Sokak - 16110 - No:11 Osmangazi - Bursa;
101;Bursa;Hasanağa;İŞLETMEDE (FAALİYETTE);(224) 484-2310;hosab@hosab.org.tr;www.hosab.org.tr;Hasanağa Osb Müdürlüğü, Hosab Cad. No:13 - Nilüfer - Bursa;
102;Bursa;İnegöl;İŞLETMEDE (FAALİYETTE);(224) 714-8600;info@inegolosb.org.tr;www.inegolosb.org.tr;Organize Sanayi Bölgesi Pk:177 16400 İnegöl - Bursa;
103;Bursa;İnegöl Mobilya Ağaç İşleri İhtisas;İŞLETMEDE (FAALİYETTE);(224) 715-2394;info@imosab.org.tr;www.imosab.org.tr;İnegöl Mobilya OSB Mdr.-Hamzabey OSB Mahallesi 1. Cadde No: 9 İnegöl - Bursa;
104;Bursa;Kayapa;İŞLETMEDE (FAALİYETTE);(224) 493-2326;info@kayapaosb.org.tr;www.kayapaosb.org.tr;Kayapa Sanayi Bölgesi, Kayapa Mahallesi Sanayi Bulvarı, No:16-1 16315 Nilüfer - Bursa;
105;Bursa;Kestel;İŞLETMEDE (FAALİYETTE);(224) 373-0651;kosab@kosab.org.tr;www.kosab.org.tr;Kestel Organize Sanayi Bölgesi, Bursa Cad. No.75 Kestel - Bursa;
106;Bursa;Mustafakemalpaşa;İŞLETMEDE (FAALİYETTE);(224) 632-6041;info@mkposb.org.tr;www.mkposb.org.tr;İzmir Yolu 7.Km. Güllüce Köyü Karşısı Paşalar Yolu Üzeri Mustafakemalpaşa - Bursa;
107;Bursa;Mustafakemalpaşa-mermerciler İhtisas;İŞLETMEDE (FAALİYETTE);(224) 618-0524;mermercilerosb2016@hotmail.com;www.mkpmermercilerosb.org.tr;Devecikonağı Cad. - No:71 Mustafakemalpaşa - Bursa;
108;Bursa;Nilüfer;İŞLETMEDE (FAALİYETTE);(224) 411-0900;info@nosab.org.tr;www.nosab.org.tr;Minareliçavuş Osb Mah. Atatürk Bulvarı No.2 16145 Nilüfer - Bursa;
109;Bursa;TOSAB Bursa Tekstil Boyahaneleri İhtisas;İŞLETMEDE (FAALİYETTE);(224) 211-2811;iletisim@tosab.org.tr;www.tosab.org.tr;İzmir Yolu, Badırga Mah. 11. Sk. No: 50 - Nilüfer - Bursa;
110;Bursa;Uludağ;İŞLETMEDE (FAALİYETTE);(224) 376-0146;info@uludagosb.org.tr;www.uludagosb.org.tr;Kurtuluş Mah. Atatürk Cad. No:218 16580 Gürsu - Bursa;
