Firma Adı;Bölge;Sektör;Telefon;E-Posta;Domain;Detay URL
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4600.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4692.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;3422112121;info@kimpack.com.tr;kimpack.com.tr;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4694.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4598.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4604.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;3422112121;info@kimpack.com.tr;kimpack.com.tr;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4602.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4572.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;3422112121;info@kimpack.com.tr;kimpack.com.tr;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4571.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;3422112121;info@kimpack.com.tr;kimpack.com.tr;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4596.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4603.html
ABY PLASTİK AMBALAJ VE ENERJİ SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4601.html
ACAR DAYANIKLI EV ALETLERİ. SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1586.html
ACAR DAYANIKLI EV ALETLERİ. SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1587.html
ACARSAN MAKARNA UN GIDA SAN.TİC. A.Ş.;3.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3071.html
ACARSAN MAKARNA UN GIDA SAN.TİC. A.Ş.;3.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3075.html
ACEMOĞLU GIDA SAN. VE TİC. A.Ş.;2.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5051.html
ACEMOĞLU PLASTİK-KADİR TOPRAK;5.Bölge-Dülük;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3778.html
ACIOĞLU PİZA YEMEK VE İKRAM ORGANİZASYONU SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Dülük;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/49.html
ACIOĞLU YEMEK İKRAM ORGANİZASYON SAN. VE TİC. LTD.ŞTİ.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5894.html
ACORPACK AMBALAJ SAN. VE TİC. A.Ş.;5.Bölge-Dülük;PLASTİK-AMBALAJ;3423378586;yunusemre.gokce@acorpack.com;acorpack.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3777.html
ADALI HALI DAY.TÜK.MAL.TARIM GIDA HAYV.İNŞ.SAN.TİC.LTD.ŞTİ.;5.Bölge-Göksüncük;TEKSTİL;3425020920;muhaseb e@adalihali.com.tr;adalihali.com.tr;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2602.html
ADAM DIŞ TİCARET LTD.ŞTİ.;3.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3091.html
ADEM KAHRAMAN - GAZİ KAHRAMAN PLASTİK;5.Bölge-Göksüncük;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3853.html
ADİL TEKSTİL PLASTİK AMBALAJ SAN. VE TİC. A.Ş.;4.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/833.html
AFT YERLİ MAHSULLERİ İTH. İHR. TİC. VE SAN. LTD. ŞTİ.;3.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4087.html
AHD POLİTEKS GERİ DÖNÜŞÜM SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Dülük;GERİ DÖNÜŞÜM;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4804.html
AHMET ACUN ACUNLAR ATIK GERİ DÖNÜŞÜM;5.Bölge-Göksüncük;GERİ DÖNÜŞÜM;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3372.html
AHMET ASLANSOY PAMUK TEKSTİL SANAYİ VE TİCARET A.Ş.;5.Bölge-Göksüncük;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3573.html
AHMET ASLANSOY PAMUK TEKSTİL SANAYİ VE TİCARET A.Ş.;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2091.html
AHMET BOZGEYİK;3.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5797.html
AHMET ÇAPKUR;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2205.html
AHMET-ABDULLAH UZER;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4100.html
AHS HALI TEKSTİL SAN.VE TİC.LTD.ŞTİ.;4.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/563.html
AHV KİMYA DIŞ TİCARET A.Ş.;5.Bölge-Göksüncük;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4579.html
AK DEĞİRMEN MAKİNA SANAYİ VE TİCARET LTD.ŞTİ.;1.Bölge;MAKİNE-METAL;3423373691;akdegirmen@akdegirmen.com;akdegirmen.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1165.html
AK OTOMASYON SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;MAKİNE-METAL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4837.html
AK-EL TEKSTİL SAN. VE TİC. LTD.ŞTİ.;2.Bölge;GERİ DÖNÜŞÜM;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2059.html
AKAN HALI GIDA TAŞ.SANAYİ VE TİCARET LTD. ŞTİ.;3.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2317.html
AKANLAR ÇİKOLATA İÇECEK GIDA SANAYİ VE NAK. TİC.LTD.ŞTİ.;3.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2272.html
AKANLAR ÇİKOLATA İÇECEK GIDA SANAYİ VE NAK. TİC.LTD.ŞTİ.;3.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4332.html
AKANSAN SAĞLIK VE TEM. ÜR. SAN VE TİC. LTD. ŞTİ.;3.Bölge;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2521.html
AKANSAN SAĞLIK VE TEM. ÜR. SAN VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/147.html
AKANSAN SAĞLIK VE TEM. ÜR. SAN VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3581.html
AKAY ÇİKOLATA BİSKÜVİ GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4135.html
AKBAL HUBUBAT TARIM ÜRÜN.LİSANSLI DEPOCULUK A.Ş.;5.Bölge-Göksüncük;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4391.html
AKCANLAR TEKSTİL SAN. VE TİC. A.Ş.;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1912.html
AKCANLAR TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3065.html
AKDOORPLAST PVC SAN. VE TİC. A.Ş.;1.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4294.html
AKDOORPLAST PVC SAN. VE TİC. A.Ş.;1.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1229.html
AKIN POLİP TEKSTİL SANAYİ VE TİCARET LTD.ŞTİ.;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1599.html
AKINAL AYAKKABICILIK SAN. VE TİC.A.Ş.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2154.html
AKINAL AYAKKABICILIK SAN. VE TİC.A.Ş.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2165.html
AKINAL SENTETİK TEKSTİL SAN.VE TİC.A.Ş.;4.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/674.html
AKINAL SENTETİK TEKSTİL SAN.VE TİC.A.Ş.;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1947.html
AKINAL TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Dülük;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/14.html
AKINCI BULGUR VE GIDA MADDELERİ SAN. VE TİC. LTD. ŞTİ.;3.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2525.html
AKİF EKİCİ;4.Bölge;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/603.html
AKNET KİMYA İTH.VE  İHR. LTD. ŞTİ.;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5967.html
AKO ÖRME VE BOYA SAN.TİC.LTD.ŞTİ.;2.Bölge;KİMYA;3423378262;info@akotekstil.com;akotekstil.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1959.html
AKSA TEKSTİL SAN. VE TİC. A.Ş.;2.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1675.html
AKSA TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;TEKSTİL;3423255696;aksa@aksatekstil.com;aksatekstil.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/467.html
AKTÜRK SAĞLIK GIDA ELEKTRONİK NAKLİYAT SAN.VE TİC.LTD.ŞTİ.;4.Bölge;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/811.html
AKYEL TREYLER VE MAKİNE SAN. VE TİC. LTD.ŞTİ.;3.Bölge;MAKİNE-METAL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2437.html
AKYUZ GROUP GIDA SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3617.html
ALABO COMPANY PLASTİK SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3715.html
ALESTA GIDA SAN. VE DIŞ TİC. A.Ş.;1.Bölge;GIDA;3423372568;info@alestagida.com;alestagida.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1057.html
ALEYNAPEN İNŞAAT TEKSTİL GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3697.html
ALİ ÇİÇEK;1.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4054.html
ALİ ÇİÇEK;1.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4055.html
ALİ ÇULCU;2.Bölge;;3423232000;info@goraliplik.com;goraliplik.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4811.html
ALİ ÇULCU;3.Bölge;DİĞER;3423232000;info@goraliplik.com;goraliplik.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/6029.html
ALİ ÇULCU;3.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2753.html
ALİ NACAKGEDİĞİ;2.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5700.html
ALİ RIZA CAN;3.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5356.html
ALİ SEZGİN;1.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1205.html
ALİ YAŞAR;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5661.html
ALİ YILMAZ;2.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5755.html
ALİCAN ŞAHİN YAPI EV YAŞAM GEREÇLERİ SAN. VE TİC. LTD. ŞTİ.;2.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5483.html
ALİSSA AMBALAJ TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4333.html
ALİŞAN KEKEÇ;3.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5285.html
ALİYE KÖKÇÜ-EVREN DİLEK KÖKÇÜ;3.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5642.html
ALKA HALI TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3721.html
ALP YATIRIM GIDA SAN. TİC. A.Ş.;2.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2207.html
ALPİN HALI SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4274.html
ALPİN HALI SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4275.html
ALPİTEKS TEKSTİL SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/80.html
ALPKAN İRMİK UN GIDA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5025.html
ALPSOY ORMAN ÜRÜNLERİ SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4115.html
ALTINBAŞ HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1758.html
ALTINDAĞ KİMYA İNŞ. SAN. VE TİC. LTD. ŞTİ.;3.Bölge;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4818.html
ALTİS PLASTİK SAN. VE TİC. A.Ş.;3.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/6095.html
ALTUNSA GIDA SAN. VE TİC. A.Ş.;2.Bölge;GIDA;3423373600;info@altunkaya.net;altunkaya.net;https://www.gaosb.org/tr/osb-firmalari/firma-detay/2202.html
AN PA PANEL VE ENERJİ SAN. TİC. A.Ş.;5.Bölge-Aktoprak;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4668.html
AN-EL ELEKTRO TEKNİK SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3628.html
ANAHTAR KURUMSAL DANIŞMANLIK BİLİŞİM SAN.VE DIŞ TİC. LTD.ŞTİ.;2.Bölge;;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5096.html
ANGEL HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;4.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/749.html
ANGEL HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;4.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/753.html
ANGEL HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;4.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/813.html
ANKAS MÜH. MAK.İNŞ.İTH.İHR.SAN. VE TİC. LTD.ŞTİ.;5.Bölge-Dülük;MAKİNE-METAL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/271.html
ANLATICI MAKİNA SAN.VE TİC.LTD.ŞTİ.;5.Bölge-Göksüncük;MAKİNE-METAL;3422250910;info@anlaticimakina.com;anlaticimakina.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/366.html
ANTAŞ MENSUCAT SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Aktoprak;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5146.html
ANTEPSAN KURUYEMİŞ GIDA  SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;GIDA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/68.html
ANTEPSAN KURUYEMİŞ GIDA  SAN. VE TİC. A.Ş.;5.Bölge-Aktoprak;GIDA;3422383448;info@antepsan.com;antepsan.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4203.html
APİKOĞLU İNŞAAT TAAH. YAPI MALZEMELERİ SAN. VE TİC. LTD. ŞTİ.;5.Bölge-Göksüncük;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/468.html
ARAS CARPET TEKSTİL SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4928.html
ARAS KARGO YURT İÇİ VE YURT DIŞI TAŞ. A.Ş.;1.Bölge;DİĞER;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1289.html
ARDEN HALI TEKSTİL SAN. VE TİC. LTD. ŞTİ.;3.Bölge;TEKSTİL;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/5550.html
ARESA KİMYA SAN. VE TİC. LTD. ŞTİ.;2.Bölge;KİMYA;3422903498;info@aresakimya.com;aresakimya.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4223.html
ARF İPLİK BOYA SAN. VE TİC. A.Ş.;5.Bölge-Dülük;KİMYA;3425026609;muhasebe@arfiplik.com;arfiplik.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4898.html
ARF İPLİK BOYA SAN. VE TİC. A.Ş.;5.Bölge-Göksüncük;KİMYA;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4897.html
ARGE-PAK OFSET AMBALAJ İMALAT İNŞAAT SAN. VE TİC. LTD. ŞTİ.;2.Bölge;PLASTİK-AMBALAJ;3423374913;info@argepakambalaj.com;argepakambalaj.com;https://www.gaosb.org/tr/osb-firmalari/firma-detay/1739.html
ARGE-PAK OFSET AMBALAJ İMALAT İNŞAAT SAN. VE TİC. LTD. ŞTİ.;2.Bölge;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/4493.html
ARGETEKS AMBALAJ KİMYA TEKSTİL TİC.LTD.ŞTİ.;5.Bölge-Göksüncük;PLASTİK-AMBALAJ;(342) 337-1101;gaosb@gaosb.org;gaosb.org;https://www.gaosb.org/tr/osb-firmalari/firma-detay/3914.html
