FirmaAdi;WebSitesi;Domain;Email
"AYSU YEDEK PARÇA MAKİNA OTO.NAK.İNŞ.SAN.VE TİC.LTD.ŞTİ.";"http://www.aysuyp.com/tr";"aysuyp.com";""
"AYYA İLERİ TEKNOLOJİK CEPHE SİSTEMLERİ İMALAT İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.";"https://www.ayyaileri.com/";"ayyaileri.com";""
"BAKER HUGHES PETROL SAHASI TECHİZAT VE HİZMETLERİ LTD. ŞTİ.";"";"";""
"BAŞARI TİCARET VE İLETİŞİM HİZMETLERİ A.Ş.";"https://basari.com.tr/";"basari.com.tr";""
"BAŞERGÜN BOYA KİMYA VE İNŞAAT SAN. TİC. A.Ş.";"https://cubo.com.tr/";"cubo.com.tr";""
"BAYSA SOLAR ENERJİ SAN. VE TİC. A.Ş.";"";"";""
"BEK ENDÜSTRİ İML. YAPI TAAH. İNŞ. TES. MAKİNA MÜH. MİM. SAN. VE TİC. LTD. ŞTİ.";"https://www.bekendustri.com/";"bekendustri.com";""
"BERA GRUP MÜH. MAK. İNŞ. SAN. VE TİC. LTD .ŞTİ.";"https://www.berasteel.com/";"berasteel.com";""
"BEŞİK RAF SİSTEMLERİ ANONİM ŞİRKETİ";"";"";""
"BETEX ÇELİK MAKİNE İMALAT VE PAZARLAMA LTD. ŞTİ.";"https://www.betex.com.tr/index.php";"betex.com.tr";""
"BETONEL PREFABRİK BETON ELEMANLARI SAN. VE TİC. A.Ş.";"https://www.betonel.com.tr/";"betonel.com.tr";""
"BEYAZBETON PREKAST MİMARLIK İNŞAAT SANAYİ VE TİCARET A.Ş.";"https://www.beyazbeton.com/tr";"beyazbeton.com";""
"BİASOL TIBBİ ÜRÜNLER A.Ş.";"";"";""
"BİLNUR PLASTİK TEKSTİL SAN. VE TİC. A.Ş";"https://www.bilnur.com.tr/";"bilnur.com.tr";""
"BİM BİRLEŞİK MAĞAZALAR A.Ş.";"";"";""
"BİOGEN TOHUMCULUK TARIMSAL ÜRT. GÜBRE İTH. İHR. SAN. TİC. LTD. ŞTİ.";"http://www.biogentohum.com/";"biogentohum.com";""
"BLOK-MAR MADENCİLİK GIDA İNŞAAT ELEKTRONİK EŞYA VE TEKSTİL SAN. VE TİC. LTD. ŞTİ.";"http://www.blokmar.com";"blokmar.com";""
"BLT MÜHENDİSLİK MAK. İNŞ. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"BORDOTEK BİLGİSAYAR YAZILIM ELEKTRONİK TELEKOMÜNİKASYON DANIŞMANLIK VE SAVUNMA TEKNOLOJİLERİ SAN. VE TİC. LTD. ŞTİ.";"https://www.bordotek.com/tr/";"bordotek.com";""
"BOSAN BOYAMA SAN.VE TİC.LTD.ŞTİ .";"https://bosan.com.tr/";"bosan.com.tr";""
"BOSAN SAVUNMA VE HAVACILIK A.Ş.";"https://bosan.com.tr/";"bosan.com.tr";""
"BOSON ÇELİK MÜH. VE İNŞ. SAN. TİC. LTD. ŞTİ.";"https://boson.com.tr/";"boson.com.tr";""
"BROCOAT MÜH. A.Ş.";"https://www.brocoat.com/default.asp";"brocoat.com";""
"BSL TEKNİK TEKSTİL SAN. VE TİC. A.Ş.";"";"";""
"BY FİRE SAVUNMA HAVACILIK MÜH. SAN. VE TİC. A.Ş.";"";"";""
"CECELİ DEMİR SAN. VE TİC. A.Ş.";"https://cecelidemir.com/";"cecelidemir.com";""
"Ceceli Demir Sanayi ve Ticaret A.Ş. ÇSM Şubesi";"https://cecelidemir.com/";"cecelidemir.com";""
"Ceceli Demir Sanayi ve Ticaret A.Ş. Profil ÇSM şubesi";"https://cecelidemir.com/";"cecelidemir.com";""
"CEM WEB OFSET SANAYİ VE TİCARET A.Ş.";"";"";""
"Cİ-AY MÜH. MİM. İNŞ. ÖZ. SAĞ. HİZ. EML. TUR. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"CRN MAKİNA SAN VE TİC. LTD.ŞTİ.";"https://crnkalip.com/";"crnkalip.com";""
"ÇEK-YAPI MİMARLIK MÜHENDİSLİK SAN. VE TİC. LTD. ŞTİ.";"https://cekyapi.com/index.html";"cekyapi.com";""
"DDY GIDA İNŞ. TAAH. TUR. İTH. İHR. SAN. VE TİC. A.Ş.";"";"";""
"DEMAS ASANSÖR ELEKTRONİK ELEKTRİK İNŞ. TEKS. PAZ. SAN. VE TİC. LTD. ŞTİ.";"https://www.demasasansor.com.tr/";"demasasansor.com.tr";""
"DERİNLER TEKNOLOJİ MAK. SAN. TİC. A.Ş.";"https://derinleras.com/";"derinleras.com";""
"DESOS DİZAYN DEKORASYON MOBİLYA İNŞAAT SANAYİ VE TİCARET A.Ş.";"https://www.desos.com/";"desos.com";""
"DİLEK YÜZEY İŞLEM TEKNOLOJİLERİ SAN. VE TİC. LTD. ŞTİ.";"";"";""
"DİSPOSET TIBBİ ÜRÜNLER SAN. VE TİC. A.Ş.";"https://www.disposet.com/tr";"disposet.com";""
"DODİ MATBAACILIK PROMOSYON VE KIRTASİYE ÜRÜNLERİ İMALAT VE PAZARLAMA LİMİTED ŞİRKETİ";"";"";""
"DOST GALVANİZ MÜH. SAN. VE TİC. A.Ş.";"https://www.dostgalvaniz.com/tr";"dostgalvaniz.com";""
"E-BERK MAKİNA MET. İNŞ. TUR. DAN. İTH. İHR. SAN. VE TİC. A.Ş.";"https://www.e-berk.com/";"e-berk.com";""
"EDORA OTOMATİK KAPI SİSTEMLERİ SAN. VE TİC. A.Ş.";"https://www.edora.com.tr/";"edora.com.tr";""
"EDRA GEOTEKNİK ALTYAPI TİC. A.Ş.";"";"";""
"EKNA SPOR SALONU İŞLETMECİLİĞİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ";"";"";""
"ELBİ ALÜMİNYUM SAN. VE TİC. LTİ. ŞTİ";"https://www.elbialuminyum.com.tr/";"elbialuminyum.com.tr";""
"ELBİ MED MEDİKAL TEKSTİL SAN. TİC. LTD. ŞTİ.";"";"";""
"ELİMKO ELEKTRONİK İMALAT VE KONTROL TİCARET LTD. ŞTİ.";"";"";""
"ELİXİR İLAÇ ARAŞTIRMA VE GELİŞTİRME A.Ş";"";"";""
"ELKO ELEKTROMEKANİK MAKİNE ELEKTRİK PANO SAN. VE TİC. A.Ş.";"https://elkoelektrik.com.tr";"elkoelektrik.com.tr";""
"ELTES ELEKTRİK MAK. İNŞ. SAN. VE TİC. LTD.ŞTİ.";"https://elteselektrik.com.tr/";"elteselektrik.com.tr";""
"EMRE GÖKDEMİR İNŞAAT MİM. TAAH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"ENES GAZ SAN. VE TİC. LTD. ŞTİ.";"https://enesgaz.com.tr/";"enesgaz.com.tr";""
"ENNE MÜH. ARAÇ ÜSTÜ EKİPMANLARI SAN. TİC. LTD. ŞTİ.";"";"";""
"ERHAN MAK. SİS. TAAH.İNŞ.TAŞ.A. SAN. ve DIŞ TİC.LTD.ŞTİ.";"https://emsmakina.com/";"emsmakina.com";""
"ERKAYA LAB. CİHAZLARI KALİTE KONTROL GIDA KATKI MADDELERİ İML. İTH. İHR. SAN. TİC. LTD. ŞTİ.";"";"";""
"ERL TEKNİK ENERJİ A.Ş.";"https://erl.com.tr/";"erl.com.tr";""
"ERMAK İNŞAAT MAKİNE SANAYİ İLETİŞİM TİCARET VE TURİZM LTD. ŞTİ.";"https://ermak.com.tr";"ermak.com.tr";""
"ERTECH ALÜMİNYUM SAN. VE TİC. A.Ş.";"";"";""
"ERTONGA KATAFOREZ İNŞ. METAL VE AHŞAP MOB. İMAL. SAN. TİC. LTD. ŞTİ.";"";"";""
"ERTUNÇ ÖZCAN SAĞLIK TES. VE TIBBİ CİH. İNŞ. SAN. TİC. A.Ş.";"https://ertuncozcan.com/";"ertuncozcan.com";""
"ESSA GRUP MAK. İNŞ. TURZ. SAN. TİC. LTD. ŞTİ";"https://www.essagrup.com/";"essagrup.com";""
"ESSAV TEKNOLOJİ";"http://essavteknoloji.com/";"essavteknoloji.com";""
"EUROMEK ELEKTRİK SAN. TAAH. TİC. A.Ş.";"https://www.euromek.com.tr/";"euromek.com.tr";""
"FENCE COMPANY METAL İML. SAN. A.Ş.";"https://www.fenceas.com/";"fenceas.com";""
"FİN ÇELİK METAL DIŞ İTH. İHR. SAN. TİC. LTD. ŞTİ.";"";"";""
"FİNAL END. KUMLAMA BOYA A.Ş.";"https://www.finalkumlamaboya.com.tr/";"finalkumlamaboya.com.tr";""
"FLIQA İŞ EKİPMANLARI SAN. TİC. A.Ş";"https://fliqa.com.tr/";"fliqa.com.tr";""
"FMT ELEKTRİKLİ KAMYON OTOMOTİV SAN. TİC. LTD. ŞTİ.";"";"";""
"FORETEK İNŞAAT. TAAH. SAN. VE TİC. LTD. ŞTİ.";"https://foretek.com.tr/";"foretek.com.tr";""
"FTS FİLTRASYON ARITMA SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ";"https://timex.com.tr/";"timex.com.tr";""
"FUNTENT BİLİŞİM HİZMETLERİ SAN. VE TİC. A.Ş.";"";"";""
"GEMAK GIDA ENDÜSTRİ MAKİNALARI VE TİCARET A.Ş";"";"";""
"GEMAK GIDA ENDÜSTRİ MAKİNALARI VE TİCARET A.Ş.";"";"";""
"GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.";"";"";""
"GENÇ IŞIK NAKLİYAT İNŞ. VE GIDA SAN. TİC. LTD. ŞTİ.";"";"";""
"GENJECT SAĞLIK ÜRÜN. VE KİM. SAN. VE TİC. A.Ş.";"";"";""
"GENPOWER JENERATÖR SANAYİ VE TİC. A.Ş.";"";"";""
"GEOCLAY MADENCİLİK İTH. İHR. SAN. VE TİC. LTD. ŞTİ";"";"";""
"GEOTEK MEDİKAL VE SAĞLIK HİZ. TİC. SAN. LTD. ŞTİ.";"";"";""
"GGN MÜHENDİSLİK DAN. ÇELİK İML. MONTAJ SAN. VE TİC. A.Ş.";"https://www.ggn.com.tr/";"ggn.com.tr";""
"GİAFAB MAKİNA TEKNOLOJİ VE İNŞAAT TİC. LTD. ŞTİ.";"";"";""
"GLOBAL ALÜMİNYUM EKSTRÜSYON LTD. ŞTİ.";"";"";""
"GMS MEDİKAL EĞİTİM VE İNŞAAT A.Ş.";"";"";""
"GNR ELEKTRONİK DIŞ TİCARET LTD. ŞTİ.";"";"";""
"GORDİON MAKİNE ENDÜSTRİ LTD. ŞTİ.";"";"";""
"GÖÇMEN MAKİNA SANAYİ LTD. ŞTİ";"";"";""
"GREBO OTOMOTİV SANAYİ A.Ş.";"";"";""
"GST MEDİKAL SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.";"";"";""
"GÜNEŞFİX MÜHENDİSLİK A.Ş.";"https://gunesfix.com.tr";"gunesfix.com.tr";""
"GÜNO PAZARLAMA REK . TUR. SAN. VE TİC. A.Ş.";"";"";""
"GÜRGENLER METAL ŞEKİLLENDİRME İŞLEME SAN. VE TİC. A.Ş.";"";"";""
"GÜRGENLER METAL ŞEKİLLENDİRME İŞLEME SAN. VE TİC. A.Ş.";"";"";""
"GÜRLEŞENYIL TREYLER MAK. İML. İTH. İHR. NAK. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"GÜVENLİ YAŞAM SAVUNMA HAVACILIK SANAYİ VE TİCARET LTD. ŞTİ.";"";"";""
"HAGAT SAVUNMA TEKN. BİLİŞİM İÇ VE DIŞ TİC. A.Ş.";"https://www.hagat.com.tr/";"hagat.com.tr";""
"HARUNLU SÜT ÜRÜNLERİ SAN. TİC. A.Ş.";"";"";""
"HEKTAŞ TİCARET TÜRK T.A.Ş.";"https://hektas.com.tr/";"hektas.com.tr";""
"HERMETAL MAKİNE YEDEK PARÇA SAN. VE TİC. LTD. ŞTİ";"https://www.hermetal.com/";"hermetal.com";""
"HEXEL ENDÜSTRİYEL A.Ş.";"https://www.hexel.com.tr/";"hexel.com.tr";""
"HYDROPOWER MÜH. MAK. SAN. VE TİC. A.Ş.";"";"";""
"HYPER İLERİ TEKNOLOJİLER A.Ş.";"";"";""
"HYPER OTOMASYON MÜH. A.Ş.";"https://hyperquantum.eu/index.html";"hyperquantum.eu";""
"ISOLAND METAL VE MAKİNE İLETKEN TEL SAN. TİC. LTD. ŞTİ.";"https://www.isolandmetal.com/";"isolandmetal.com";""
"IŞILDAK İNŞAAT TAAHHÜT VE TİCARET A.Ş.";"https://www.albertgenau.com/";"albertgenau.com";""
"İİT İNTERNET VE İLETİŞİM TEK. BİLİŞ. HİZ. DIŞ. TİC. LTD. ŞTİ.";"https://iitsystems.com/";"iitsystems.com";""
"İMAT MODERN YAPI AKSESUAR SAN. VE İNŞ. TİC. A.Ş.";"https://imataks.com.tr/";"imataks.com.tr";""
"İNVAMED SAĞLIK İLAÇ SAN. TİC. A.Ş.";"";"";""
"İSB BAĞLANTI ELEMANLARI SAN. TİC. LTD. ŞTİ.";"https://www.isbfasteners.com/";"isbfasteners.com";""
"JALPERSAN PERDE SİSTEMLERİ TEKS. VE MOB. AKS. İNŞ. SAN. VE TİC. LTD. ŞTİ.";"https://www.jalpersan.com/";"jalpersan.com";""
"KARBA OTO. A.Ş.";"https://www.karba.com.tr/";"karba.com.tr";""
"KARDELEN BOYA VE KİMYA SAN. TİC. LTD. ŞTİ.";"https://kardelenboya.com.tr/";"kardelenboya.com.tr";""
"KARE MEDİKAL ANALİTİK CİHAZLAR SAN. VE TİC. LTD. Ş";"https://karemedikal.com.tr/content/";"karemedikal.com.tr";""
"KEMİPAZ KİMYEVİ END. MALZ. İML.. VE BOYA PAZ.. LTD. ŞTİ.";"https://www.kemipaz.com.tr/";"kemipaz.com.tr";""
"KEPİ ASANSÖR MARKET İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ";"https://kepi.com.tr/";"kepi.com.tr";""
"KERİMLER KLİMA ISITMA SOĞUTMA TAAH. İNŞ. SAN. TİC. A.Ş.";"https://viaclimate.com/";"viaclimate.com";""
"KEYVAC BİYOLOJİK ÜRÜNLER SAN. VE TİC. A.Ş.";"https://keyvac.com.tr/index.php";"keyvac.com.tr";""
"KGM AĞIR MAKİNA SAN. VE TİC. A.Ş.";"http://www.kgmas.com.tr/";"kgmas.com.tr";""
"KLAS KABLO SAN. VE TİC. A.Ş.";"https://klasenerji.com.tr/";"klasenerji.com.tr";""
"KOÇ İLAÇ KİŞİSEL BAKIM VE BİTKİSEL ÜRÜNLER SAĞ. PAZ. İTH. İHR. SAN. TİC. LTD. ŞTİ.";"https://www.kocilac.com/";"kocilac.com";""
"KOLARC MAK. İML. SAN. VE TİC. A.Ş.";"https://kolarc.com/";"kolarc.com";""
"KORU KATAFOREZ KAPLAMA BOYA SAN. A.Ş.";"https://korukataforez.com/";"korukataforez.com";""
"KRİS CAM DEK. İNŞ. TAAH. TURİZM SAN. VE TİC. LTD. ŞTİ";"https://www.kriscam.com.tr/";"kriscam.com.tr";""
"KUANTUM CAM SANAYİ TİCARET ANONİM ŞİRKETİ";"https://www.kuantumglass.com/";"kuantumglass.com";""
"KÜÇÜK PAZARLI KARDEŞLER KALIP VE MAK. SAN. LTD. ŞTİ.";"https://kpa.com.tr/";"kpa.com.tr";""
"KÜLTÜR ZİRAAT MÜH. SAN. VE TİC. LTD. ŞTİ.";"";"";""
"LAZER SOLAR ENERJİ ALÜMİNYUM SİSTEMLERİ A.Ş.";"https://www.lazersolarenerji.com/";"lazersolarenerji.com";""
"LENA TARIM ÜRÜNLERİ ÜRETİM PAZ. VE DIŞ TİC. A.Ş.";"https://www.lenatarim.com.tr/tr";"lenatarim.com.tr";""
"LİDER TÜNEL İNŞAAT ZEMİN SİSTEMLERİ SAN. VE TİC. A.Ş.";"";"";""
"LİNDE GAZ A.Ş.";"https://lindegazmarket.com/";"lindegazmarket.com";""
"M.İ.K.S.T.A PASLANMAZ ÇELİK HASTANE DONANIMLARI MUTFAK MAKİNA MEDİKAL CİHAZLAR İML. İNŞ. SAN. VE TİC. LTD. ŞTİ.";"https://mixta.com.tr/";"mixta.com.tr";""
"MAKSAN ENDÜSTRİ MAKİNA İMALAT VE DIŞ TİCARET LTD. ŞTİ.";"https://maksanlift.com/tr/";"maksanlift.com";""
"MARİNERO YATCH DENİZCİLİK VE YATÇILIK A.Ş.";"";"";""
"MASS MAKİNA SANAYİ İNŞAAT VE TİCARET A.Ş.";"";"";""
"MBT TRAFO İMALAT SAN. VE TİC. LTD. ŞTİ.";"https://www.mbttrafo.com/tr/";"mbttrafo.com";""
"MCA CHEM METAL KİMYA SAN. A.Ş.";"https://www.mcachem.com/";"mcachem.com";""
"MED-MAR SAĞ. HİZ. GIDA İNŞ. TUR. TUZ İŞLETMECİLİĞİ NAK. VE ELEKTRİK ÜRETİMİ SAN. A.Ş.";"";"";""
"MEKSİS MEKANİK SİSTEMLER İMALAT VE MÜHENDİSLİK SAN. TİC. A.Ş.";"https://www.meksis.com.tr/";"meksis.com.tr";""
"MERA MOTOR MAK. SAN. TİC. LTD. ŞTİ.";"https://meramotorreduktor.com/";"meramotorreduktor.com";""
"METİN ÜNAL";"";"";""
"MGBLİNE DIŞ TİC. A.Ş.";"";"";""
"MGS ENDÜSTRİYEL MAKİNE ÜRETİM SAN. VE TİC. A.Ş.";"https://mgsmakina.com/tr/";"mgsmakina.com";""
"MİGROS TİCARET A.Ş.";"";"";""
"MİKAPEN YAPI ELEMANLARI İNŞAAT VE DIŞ TİC. LTD. ŞTİ.";"https://mikapen.net/";"mikapen.net";""
"MİTAŞ ENDÜSTRİ SAN. TİC. A.Ş. MİTAŞ KAYNAK";"";"";""
"MİTAŞ ENDÜSTRİ SAN. TİC. A.Ş. MİTAŞ SAC VE İŞLEME";"";"";""
"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. ENA TEST";"";"";""
"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. MİTAŞ BOYA VE ÖZEL KAPLAMA";"";"";""
"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. MİTAŞ CIVATA";"https://mitascivata.com/tr/";"mitascivata.com";""
"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. MİTAŞ GALVANİZ";"";"";""
"MİTAŞ ENDÜSTRİ SANAYİ VE TİCARET A.Ş. POLİGON";"";"";""
"MİTAŞ KOMPOZİT PLASTİK SAN. VE TİC. A.Ş. MİTAŞ KOMPOZİT";"https://www.mitascomposites.com/";"mitascomposites.com";""
"MNC AKÜ METAL NAKLİYE KUYUMCULUK SAN.TİC. A.Ş.";"https://www.mncaku.com.tr/";"mncaku.com.tr";""
"MNS GRUP METAL İNŞ. İÇ DIŞ SAN. VE TİC. A.Ş.";"";"";""
"MODÜL GRUP ÇELİK YAPILAR A.Ş.";"";"";""
"MOL PETROL AKARYAKIT VE DİNLENME TESİSLERİ TİC. SAN. A.Ş.";"";"";""
"MTF PROKON METAL İNŞ. TAAH. SAN. TİC. LTD. ŞTİ";"https://mtfprokon.com/tr/";"mtfprokon.com";""
"MURAT ATEŞ MAKİNA İMALAT SANAYİ VE TİCARET A.Ş.";"https://www.atesmak.com/";"atesmak.com";""
"NİVEL GRUP MAK. SAN. VE TİC. A.Ş.";"https://www.nivel.com.tr/";"nivel.com.tr";""
"NOS İNŞAAT ENERJİ DEMİRÇELİK YOL PETROL SAN. TİC. İTH. VE İHR. LTD. ŞTİ.";"";"";""
"NOVA KULE VİNÇ SAN. TİC. LTD. ŞTİ.";"https://novakulevinc.com.tr/";"novakulevinc.com.tr";""
"NUPA İLERİ ÜRETİM TEKNOLOJİLERİ A.Ş.";"https://nupa.com.tr/";"nupa.com.tr";""
"OK DIŞ TİCARET VE MADENCİLİK A.Ş.";"";"";""
"OKUMAN MEDİKAL SİST. A.Ş.";"";"";""
"OLİMPİA OTO CAMLARI SANAYİ VE TİCARET A.Ş.";"";"";""
"OLİMPİYAT ISI VE MAKİNE SAN. TİC. A.Ş.";"";"";""
"OMEGA SOLAR METAL TAŞIYICI SİSTEM ÇÖZÜMLERİ A.Ş.";"https://www.omegapv.com/";"omegapv.com";""
"ONUR TAAHHÜT TAŞIMACILIK İNŞAAT TİCARET VE SANAYİ A.Ş";"https://www.onurgroup.com/";"onurgroup.com";""
"ORAY PREFABRİK İNŞ. MET. TUR. OTM. VE TİC. A.Ş.";"https://orayprefabrik.com/";"orayprefabrik.com";""
"ORTANA ELEKTRONİK YAZILIM TAAHHÜT SANAYİ VE TİCARET A.Ş.";"http://www.ortana.com/new/index.php/tr/";"ortana.com";""
"OXO TRACKER ENERJİ SİSTEMLERİ A.Ş.";"https://www.oxotracker.com/";"oxotracker.com";""
"ÖZBEN SAVUNMA LTD. ŞTİ.";"https://ozbensavunma.com";"ozbensavunma.com";""
"ÖZDOĞAN İNŞAAT SANAYİ VE TİCARET LTD.ŞTİ.";"";"";""
"ÖZGÜR DÖKÜM MAKİNA SANAYİ ANONİM ŞİRKETİ";"";"";""
"ÖZNUR CAM DEKORASYON İNŞAAT TAAHHÜT TURİZM SANAYİ VE TİCARET LTD. ŞTİ.";"https://oznurcam.com.tr/";"oznurcam.com.tr";""
"PARTNER ELEKTRONİK GÜÇ SİSTEMLERİ A.Ş.";"https://www.partneregs.com/";"partneregs.com";""
"PATİSFOOD GRUP GIDA SAN. TİC. A.Ş.";"https://www.patiswiss.com.tr/";"patiswiss.com.tr";""
"PCS TEST VE OTOMASYON SİSTEMLERİ SAN. VE TİC. A.Ş.";"https://pcs.com.tr/";"pcs.com.tr";""
"PEAK PV SOLAR TEKNOLOJİLERİ A.Ş.";"https://www.peakpvsolar.com/";"peakpvsolar.com";""
"PEP ENERJİ İMALAT MONTAJ VE DIŞ TİCARET A.Ş.";"";"";""
"PEPPER MOTİON ALAGÖZ ELEKTRİKLİ ARAÇLAR VE ENERJİ DEPOLAMA SİSTEMLERİ A.Ş.";"";"";""
"PET GARDEN AKVARYUM İTH. İHR. SAN. VE TİC. LTD. ŞTİ.";"https://petgarden.com.tr/";"petgarden.com.tr";""
"PLASTSAN AMBALAJ PLASTİK ENERJİ TEKSTİL SAN. TİC. A.Ş.";"https://plastsan.com/";"plastsan.com";""
"PLATİN ANGORA GAYRİMENKUL İNŞ. TİC. A.Ş.";"";"";""
"POİNT PLASTİK SAN. VE TİC. LTD. ŞTİ.";"";"";""
"POLMAK MAKİNA İMALAT A.Ş.";"http://tr.polmaksondaj.com/";"tr.polmaksondaj.com";""
"PROMAK PROSES MAK. VE İMALAT VE TİC. LTD. ŞTİ.";"http://www.promakmakina.com";"promakmakina.com";""
"PROSİM SAĞLIK A.Ş.";"https://www.prosim.com.tr/tr";"prosim.com.tr";""
"PROTON ENERJİ SANAYİ VE TİCARET A.Ş.";"https://www.protonenerji.com.tr/";"protonenerji.com.tr";""
"QNB FİNANS FİNANSAL KİRALAMA A.Ş.finansal";"";"";""
