Firma Adı;Parsel Durumu;Ada/Bölge;Sektör;Telefon;E-Posta;Web Sitesi;Domain;Adres
Akona Mustafa Akpınar Plastik Ziraat Ve Gıda San.Ve Tic.Ltd.Şti.;Tahsisli;5;Plastik;3323340388;cengiz@akona.com.tr;www.akona.com.tr;akona.com.tr;Büyükkayacık Osb Mah, 504 Nolu Sokak, No: 4
Akplas Plastik Sanayi Ticaret A.ş.;Ön Tahsisli;6;Plastik;3328816060;2yilmaz.avci@akplas.net;;;
Aksanat Kapı Orman Ürünleri Mobilya San.tic.ltd.şti.;Ön Tahsisli;6;Mobilya ve Ahşap Ürünleri;;1ahmet@sanatkapi.com;;;
Aksu Gıda Mad.İml.San.Ve Tic.Ltd.Şti.;Tahsisli;5;Gıda;3323422833;muhasebe@aksufood.com.tr;www.aksufood.com.tr;aksufood.com.tr;Büyükkayacık Osb Mah, 512 Nolu Sokak, No: 16
Aktif Tarım Makinaları San.iml.itlihr.ltd.şti.;Tahsisli;5;Tarım Makinaları;4365112309;aktivtrh@hotmail.com;;;Büyükkayacık Osb Mah, 511 Nolu Sokak, No: 3
Aktiv Th Tarım Makinaları San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Tarım Makinaları;;1gghanay@hotmail.com;;;
Akzon Enerji Ve Çevre Tekn. Gıda San.Tic.A.Ş.;Kiracı;4;Gıda;;ycevcek@akzon.com.tr;https://meramobruk.com.tr/tr;meramobruk.com.tr;Büyükkayacık Osb Mah, 101. Cadde, No: 17
Alamex Asansör San.Tic.Ltd.Şti.;Tahsisli;5;Asansör ve Ekipmanları;3325031508;info@alamex.com.tr;www.alamex.com.tr;alamex.com.tr;Büyükkayacık Osb Mah, 509 Nolu Sokak, No: 16
Alef Elyaf Tekstil San.tic.ltd.şti.;Kiracı;2;İmalat;3322390997;muhasebe@alefelyaf.com.tr;www.alefelyaf.com.tr;alefelyaf.com.tr;Büyükkayacık Osb Mah, İkipınar Sokak, No: 14
Alfen Plastik Anonim Şirketi;Tahsisli;6;Plastik;;;;;Büyükkayacık Osb Mah, 604 Nolu Sokak, No: 12
Alışan Lojistik A.Ş.;Tahsisli;5;Lojistik ve Taşımacılık;;ozer.dursun@alisanlogistics.com;www.alisanlogistics.com;alisanlogistics.com;Büyükkayacık Osb Mah, 507 Nolu Sokak, No: 2
Alışan Lojistik A.Ş.;Tahsisli;5;Lojistik ve Taşımacılık;;ozer.dursun@alisanlogistics.com;www.alisanlogistics.com;alisanlogistics.com;Büyükkayacık Osb Mah, 507 Nolu Sokak, No: 4
Ali Aydınalp Tarım Ürünleri Nakliye Ve San.ltd.şti.;Ön Tahsisli;6;Makina;3322713688;ali@aydinalp.com.tr;;;
Ali Onur Kahraman İnşaat Metal Sanayi Ticaret Anonim Şirketi;Tahsisli;6;İmalat;3322260824;alionurkahraman99@gmail.com;;;
Ali Rıza Usta Tanker San.tic.ltd.şti.;Tahsisli;4;Dorse - Damper - Treyler;;;;;Büyükkayacık Osb Mah, 101. Cadde, No: 18
Alm Damper İç Dış Tic.otom.nak.san. Ve Tic.a.ş.;Ön Tahsisli;6;Dorse - Damper - Treyler;3322512633;muhasebe@almdamper.com;https://scorpiontrailer.com;scorpiontrailer.com;
Alm Damper İç Dış Tic.otom.nak.san. Ve Tic.a.ş.;Kiracı;4;Dorse - Damper - Treyler;3322512633;muhasebe@almdamper.com;https://scorpiontrailer.com;scorpiontrailer.com;Büyükkayacık Osb Mah, 416 Nolu Sokak, No: 6
Almiralift Asansör Makina İmalat Sanayi İç Ve Dış Tic.ltd.şti.;Ön Tahsisli;6;Asansör ve Ekipmanları;5313034341;1muhasebe@almiralift.com.tr;;;
Alp Raf Raf Sistemleri Paz.San.Ve Tic.Ltd.Şti.;Tahsisli;3;Mobilya ve Ahşap Ürünleri;3322390444;alpraf@alpraf.com;www.alpraf.com;alpraf.com;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 15
Alparslan Tarım Makinaları Sanayi Ve Ticaret Anonim Şirketi;Tahsisli;4;Tarım Makinaları;4443942;muhasebe@alparslantarim.com.tr;www.alparslantarim.com.tr;alparslantarim.com.tr;Büyükkayacık Osb Mah, 406 Nolu Sokak, No: 4
Alpla Plastik San.Ve Tic.Ltd.Şti.;Tahsisli;5;Plastik;3322230660;info-tr@alpla.com;https://alpla.com/en;alpla.com;Büyükkayacık Osb Mah, 505 Nolu Sokak, No: 3
Altansan Makine Otomotiv İnş.san. Ve Tic.ltd.şti.;Tahsisli;3;Dorse - Damper - Treyler;3325020983;info@altansan.com;www.altankabin.com;altankabin.com;Büyükkayacık Osb Mah, 9 Nolu Sokak, No: 13
Altat Gıda San.Tic.Ltd.Şti.;Kiracı;4;Gıda;;;;;Büyükkayacık Osb Mah, 101. Cadde, No: 15
Altıgen Uzay Havacılık Gemi İnşaat Panel San. Ve Tic. Ltd. Şti.;Tahsisli;6;Diğer;3323420954;muhasebe@6genpanel.com.tr;;;Büyükkayacık Osb Mah, 618 Nolu Sokak, No: 6
Altılar Otomotiv Ve Tarım Ürünleri Ticaret Ltd.şti.;Ön Tahsisli;6;Yem ve Tohumculuk;;;;;
Altın Büro Day.Tük.Mal.San.Tic.Ltd.Şti.;Tahsisli;3;Mobilya ve Ahşap Ürünleri;3323461910;muhasebe@altinburo.com.tr;;;Büyükkayacık Osb Mah, Kuddusi Caddesi, No: 30
Altın Büro Day.Tük.Mal.San.Tic.Ltd.Şti.;Tahsisli;5;Mobilya ve Ahşap Ürünleri;3323461910;muhasebe@altinburo.com.tr;;;Ortakonak Osb Mah, 500 Nolu Sokak, No: 11
Altınoluk Plastik Enjeksiyon Sondaj Tarım Sulama San. Ve Tic.Ltd.Şti.;Kiracı;2;Plastik;3325020240;muhasebe@altinolukplastik.com;https://altinolukplastik.com/tr;altinolukplastik.com;Büyükkayacık Osb Mah, Sarıçiçek Sokak, No: 2
Altun Döküm Sanayi A.Ş.;Tahsisli;4;Döküm;3323450770;ahmet.gezer@altundokum.com.tr;www.altundokum.com.tr;altundokum.com.tr;Büyükkayacık Osb Mah, 102. Cadde, No: 10
Alyans Asansör İnş.Mak.Gıda Hayv.Otom.San.Tic.Ltd.Şti.;Tahsisli;5;Asansör ve Ekipmanları;3323464551;info@alyanslift.com;;;Büyükkayacık Osb Mah, 511 Nolu Sokak, No: 6
Amill Tohum İşleme Ve Değirmen Tek.mak.san.tic.ltd.şti.;Tahsisli;2;Tarım Makinaları;3322512727;bilgi@amil.com.tr;www.amil.com.tr;amil.com.tr;Büyükkayacık Osb Mah, Yaylacık Caddesi, No: 24
Anadolu Yüzey Kaplama Sistemleri San. Ve Tic.ltd.şti;Kiracı;3;Metal;3323452151;;;;Büyükkayacık Osb Mah, 13 Nolu Sokak, No: 11
Anako Yumurta Ürünleri İhr.ith.tic A.ş.;Tahsisli;3;Gıda;3322391960;bilgi@anako.com.tr;www.anako.com.tr;anako.com.tr;Büyükkayacık Osb Mah, Vali İhsan Dede Caddesi, No: 10
Anamas Yay A.ş.;Tahsisli;5;Metal;3323422133;muhasebe@anamasyay.com.tr;www.anamasyay.com.tr;anamasyay.com.tr;Büyükkayacık Osb Mah, 512 Nolu Sokak, No: 9
Anıl Yatağanlı Tarım Makinaları San. Tic. A.Ş.;Tahsisli;3;Tarım Makinaları;3322391678;info@aniltarim.com;www.aniltarim.com;aniltarim.com;Büyükkayacık Osb Mah, 8 Nolu Sokak, No: 12
Anka Kalıp Üretim San.A.Ş.;Tahsisli;2;Otomotiv Yedek Parça;3322391000;muhasebe@ankaautomotive.com.tr;www.ankaautomotive.com.tr;ankaautomotive.com.tr;Büyükkayacık Osb Mah, Lalehan Caddesi, No: 2
Ans Buji Otom.san. Ve Tic.ltd.şti.;Tahsisli;5;Otomotiv Yedek Parça;3322512708;info@an-parts.com;;;Büyükkayacık Osb Mah, 516 Nolu Sokak, No: 7
Apalı Yılmaz Kardeşler Dayanıklı Tüketim Malları Otomotiv İnş.Tic. Ve San.Ltd.Şti.;Tahsisli;2;Otomotiv Yedek Parça;;;;;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 3
Ar-Çek Otomotiv Sanayi Ticaret Ltd. Şti.;Tahsisli;5;Otomotiv Yedek Parça;3323426167;finans@arcekoto.com;;;Büyükkayacık Osb Mah, 500 Nolu Sokak, No: 19
Aras Kargo Yurt İçi Ve Yurt Dışı Taşımacılık A.ş.;Kiracı;4;Lojistik ve Taşımacılık;3322391878;keykubatsube@araskargo.com;;;Büyükkayacık Osb Mah, 406 Nolu Sokak, No: 18
Aratech Metal A.ş.;Kiracı;3;Metal;3322496005;info@aratechmetal.com;https://aratechmetal.com;aratechmetal.com;Büyükkayacık Osb Mah, 9 Nolu Sokak, No: 15
Arçek İnşaat Tekstil Otomotiv İç Ve Dış Tic.ltd.şti.;Kiracı;3;Otomotiv Yedek Parça;3322389191;muhasebe@arcek.com.tr;www.arcek.com;arcek.com;Büyükkayacık Osb Mah, 18 Nolu Sokak, No: 1
Ardemir Döküm San. Ve Tic.A.Ş.;Tahsisli;5;Döküm;3322482500;ardemir@ardemir.com;www.ardemir.com;ardemir.com;Büyükkayacık Osb Mah, 513 Nolu Sokak, No: 2
Ardemir Döküm San. Ve Tic.A.Ş.;Ön Tahsisli;6;Döküm;3322482500;ardemir@ardemir.com;www.ardemir.com;ardemir.com;
Ardemir Döküm San. Ve Tic.A.Ş.;Tahsisli;3;Döküm;3322482500;ardemir@ardemir.com;www.ardemir.com;ardemir.com;Büyükkayacık Osb Mah, 22 Nolu Sokak, No: 6
Arden Kozmetik Otom.san. Ve Tic.ltd.şti.;Kiracı;4;Isıtma ve Soğutma Sistemleri;3323340505;arden@ardenkozmetik.com;www.arden.com;arden.com;Büyükkayacık Osb Mah, 412 Nolu Sokak, No: 2
Arh Makina İnşaat Sanayi Ve Ticaret Limited Şirketi;Tahsisli;6;Makina;3323453607;arif@arhasmakina.com.tr;;;
Arı Metal Dövme Ve Mak.san.ve Tic.ltd.şti.;Tahsisli;3;Metal;3322390592;info@arimetal.com.tr;www.arimetal.com.tr;arimetal.com.tr;Büyükkayacık Osb Mah, 2 Nolu Sokak, No: 14
Arı Metal Dövme Ve Mak.san.ve Tic.ltd.şti.;Tahsisli;3;Metal;3322390592;info@arimetal.com.tr;www.arimetal.com.tr;arimetal.com.tr;Büyükkayacık Osb Mah, 8 Nolu Sokak, No: 21
Arı Metal Dövme Ve Mak.san.ve Tic.ltd.şti.;Ön Tahsisli;6;Metal;3322390592;info@arimetal.com.tr;www.arimetal.com.tr;arimetal.com.tr;
Arkoç Metal İletişim Vana Pik Dök.Tic.A.Ş.;Kiracı;2;Metal;3322392040;osman@arkocvana.com;;;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 16
Arkoç Metal İletişim Vana Pik Dök.Tic.A.Ş.;Tahsisli;2;Metal;3322392040;osman@arkocvana.com;;;Büyükkayacık Osb Mah, İnsu Sokak, No: 5
Arkoç Metal İletişim Vana Pik Dök.Tic.A.Ş.;Tahsisli;2;Metal;3322392040;osman@arkocvana.com;;;Büyükkayacık Osb Mah, İkipınar Sokak, No: 2
Arlekin Halıcılık Ltd.Şti.;Tahsisli;2;Tekstil;3322390744;arlekinhali@hotmail.com;www.arlekinhali.com;arlekinhali.com;Büyükkayacık Osb Mah, Işıktepe Sokak, No: 11
Arlı Otom.san. Ve Tic.ltd.şti.;Tahsisli;5;Diğer;;;;;Aşağıpınarbaşı Osb Mah, 522 Nolu Sokak, No: 3
Armaş Su Armatürleri San.ve Tic.a.ş.;Tahsisli;5;İmalat;3322517415;info@armas.com.tr;www.armas.com;armas.com;Büyükkayacık Osb Mah, 506 Nolu Sokak, No: 12
Armaş Su Armatürleri San.ve Tic.a.ş.;Tahsisli;5;İmalat;3322517415;info@armas.com.tr;www.armas.com;armas.com;Büyükkayacık Osb Mah, 506 Nolu Sokak, No: 14
Ars-Kar Otomotiv San.Ve Tic.Ltd.Şti.;Tahsisli;5;Otomotiv Yedek Parça;3323450923;satinalma@arskar.com.tr;www.arskar.com.tr;arskar.com.tr;Aşağıpınarbaşı Osb Mah, 516 Nolu Sokak, No: 16
Arsan Değirmen Malzemeleri Otomotiv Metal Delikli Saç Mak.san. Ve Tic.ltd.şti.;Tahsisli;2;Metal;3322488278;arsan1977@hotmail.com;;;Büyükkayacık Osb Mah, Ulukavak Sokak, No: 1
Artad Unlu Mamüller Gıda Ve Taşımacılık San.Tic.Ltd.Şti.;Kiracı;4;Gıda;3322904568;bilgi@artadgida.com.tr;www.artadgida.com.tr;artadgida.com.tr;Büyükkayacık Osb Mah, 411 Nolu Sokak, No: 6
Artad Unlu Mamüller Gıda Ve Taşımacılık San.Tic.Ltd.Şti.;Tahsisli;6;Gıda;3322904568;bilgi@artadgida.com.tr;www.artadgida.com.tr;artadgida.com.tr;
As-san Madeni Eşya San.ve Ev Ger.san.tic.ltd.şti.;Tahsisli;3;Ev Gereçleri;3323464218;assan@assanltd.com;;;Büyükkayacık Osb Mah, 7 Nolu Sokak, No: 4
Aselkon Elektronik Mühendislik Makina Ltd.şti.;Tahsisli;6;Vinç Makinaları;3323460610;2muhasebe@aselkon.com.tr;;;Büyükkayacık Osb Mah, 605 Nolu Sokak, No: 7
Aselkon Hidrolik Metal Demir Çelik Mühendislik Sanayi Ve Ticaret Anonim Şirketi;Tahsisli;5;Vinç Makinaları;3323460610;info@aselkon.com.tr;www.aselkon.com.tr;aselkon.com.tr;Büyükkayacık Osb Mah, 516 Nolu Sokak, No: 19
Aselkon Hidrolik Metal Demir Çelik Mühendislik Sanayi Ve Ticaret Anonim Şirketi;Tahsisli;5;Vinç Makinaları;3323460610;info@aselkon.com.tr;www.aselkon.com.tr;aselkon.com.tr;Aşağıpınarbaşı Osb Mah, 520 Nolu Sokak, No: 14
Aselkon Savunma Ve Silah Sistemleri San. Ve Tic.A.Ş.;Kiracı;5;Silah Üretimi	;;;;;Büyükkayacık Osb Mah, 516 Nolu Sokak, No: 19
Asil Civata San. Ve Tic.a.ş.;Kiracı;2;Diğer;3322390985;kalitekontrol@asilcivata.com.tr;;;Büyükkayacık Osb Mah, Reisköy Caddesi, No: 9
Asil Civata San. Ve Tic.a.ş.;Tahsisli;6;Diğer;3322390985;kalitekontrol@asilcivata.com.tr;;;
Asil Civata San. Ve Tic.a.ş.;Kiracı;2;Diğer;3322390985;kalitekontrol@asilcivata.com.tr;;;Büyükkayacık Osb Mah, Kırım Caddesi, No: 1
Asiller Mobilya Dekorasyon San.tic.ltd.şti.;Tahsisli;5;Mobilya ve Ahşap Ürünleri;3323462421;muhasebe@lamenka.com;;;Ortakonak Osb Mah, 501 Nolu Sokak, No: 8
Askapısan Döküm Met.ve Nak.san.tic.ltd.şti.;Kiracı;2;Döküm;;;;;Büyükkayacık Osb Mah, Yaylacık Caddesi, No: 17
Askopan İnş.ve Yapı Sis.mak.nak.san.ve Tic.ltd.şti.;Tahsisli;2;Yapı - İnşaat Malzemeleri;3323559968;askopan@askopan.com;;;Büyükkayacık Osb Mah, Yaylacık Caddesi, No: 5
Astor Konveyör Sistemleri Metal Makina Elektrik Otomasyon San. Ve Tic.ltd.şti.;Ön Tahsisli;6;Asansör ve Ekipmanları;5331575864;1muhasebe@astorkonveyor.com.tr;;;
Asvera Ev Ürünleri Üretim Paz.met.plas.san. Ve Tic.ltd.şti.;Tahsisli;3;Ev Gereçleri;3325020303;asveraev@gmail.com;www.asvera.com.tr;asvera.com.tr;Büyükkayacık Osb Mah, 503 Nolu Sokak, No: 3
