Firma Adı;Şehir;İlçe;Sektör;Telefon;Faks;E-Posta;Web Sitesi;Domain;Adres
ABDULLAH KIZILKAN;İZMİR;ÇİĞLİ;;;;;http://;;10.040 SOKAK NO.16 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABİDİN CİNSTAŞ;İZMİR;ÇİĞLİ;Temel eczacilik ürünlerinin ve eczaciliga iliskin ;;;abidinkuyum@hotmail.com;;;10.041 SOKAK NO.9  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABİDİN CİNSTAŞ;İZMİR;ÇİĞLİ;Gida ürünlerinin imalati;;;abidinkuyum@hotmail.com;;;10.006/1 SOKAK NO.25  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABİDİN CİNSTAŞ;İZMİR;ÇİĞLİ;Motorlu kara tasitlari için diger parça ve aksesua;;;abidinkuyum@hotmail.com;;;10.042 SOKAK NO.16  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABİDİN CİNSTAŞ;İZMİR;ÇİĞLİ;;;;abidin@abidinkuyumculuk.com;http://;;10.032 SOKAK NO:33 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ABİDİN CİNSTAŞ;İZMİR;ÇİĞLİ;;;;abidinkuyum@hotmail.com;;;10039 SOKAK NO:21 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ACA MOBİLYA TEKS.AMB.VE KAĞIT ÜR.SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 422 11 78;;;;;10.002 SOKAK NO.40 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADAS DAYANIKLI TÜKETİM MALLARI ÜRETİM VE PAZ.A.Ş.;İZMİR;ÇİĞLİ;Büro, okul, ibadethane, otel, lokanta, sinema, tiy;(232) 376 83 57;;info@adas.com.tr;www.adas.com.tr;adas.com.tr;10.001 SOKAK NO.10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADAS DAYANIKLI TÜKETİM MALLARI ÜRETİM VE PAZ.A.Ş.;İZMİR;ÇİĞLİ;Büro, okul, ibadethane, otel, lokanta, sinema, tiy;(232) 376 83 57;;info@adas.com.tr;www.adas.com.tr;adas.com.tr;10.000 SOKAK NO:26  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADAS DAYANIKLI TÜKETİM MALLARI ÜRETİM VE PAZ.A.Ş.;İZMİR;ÇİĞLİ;Büro, okul, ibadethane, otel, lokanta, sinema, tiy;(232) 376 83 57;;info@adas.com.tr;http://www.adas.com.tr;adas.com.tr;10.000 SOKAK NO.28 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADEM YILMAZ;İZMİR;ÇİĞLİ;Sanayi tipi sogutucu ve dondurucu donanimlari ile ;(232) 367 99 37;3283654;adem@asayteknik.com;http://;;10.026 SOKAK NO:34  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADG PETROL İNŞAAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;444 89 76;;info@zerengroup.com;https://www.zerengroup.com/tr/;zerengroup.com;10.032 SOKAK NO.13 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADNAN CİNSTAŞ;İZMİR;ÇİĞLİ;El aletleri, takim tezgahi uçlari, testere agizlar;;;;http://;;M.KEMAL ATATÜRK BUL.NO.6  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ADNAN CİNSTAŞ;İZMİR;ÇİĞLİ;;;;;;;10.042 SOKAK NO.12  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AG KALIP MAKİNA SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Metalden kalip ve döküm modeli imalati (kek ve aya;;;muhasebe@agkalip.com;http://;;10.041 SOKAK NO.9  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AG TRANSFORMATÖR VE ENERJİ TEKNOLOJİLERİ SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 398 15 00;3767764;mehmetgure@eltas.com.tr;http://www.eltas.com.tr;eltas.com.tr;10.046 SOKAK NO.4  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AGAMER DERİ KONFEKSİYON SAN .VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 19 66;3281959;agartioglu@superonline.com;http://www.agartioglu.com.tr;agartioglu.com.tr;M.KEMAL ATATÜRK BUL. NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AĞAM BAKLAVALARI GIDA ÜRÜNLERİ TİCARET VE SANAYİ LTD.ŞTİ.;İZMİR;ÇİĞLİ;Hamur tatlilari imalati (tatlandirilmis kadayif, l;(232) 328 21 62;3282163;merkez@agam.com.tr;www.agam.com.tr;agam.com.tr;10.010 SOKAK NO:15 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET ÇETİN TÜRKMENOĞLU;İZMİR;ÇİĞLİ;Metallerin makinede islenmesi ve sekil verilmesi;(232) 483 22 79;4823032;cetinturkmen@yahoo.com;;;10.007 SOKAK NO.18 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET DEĞİRMENCİ - ONUR KALIP SANAYİ;İZMİR;ÇİĞLİ;Metallerin makinede islenmesi (torna tesfiye isler;(232) 376 81 26;3768127;info@onurpulverizator.com;;;10.016 SOKAK NO.56 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET DOĞAN HÜNER;İZMİR;ÇİĞLİ;;(232) 376 71 76;3767100;dhuner@iaosb.org.tr;http://;;10.021 SOKAK NO.37 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET KONCA İNŞAAT;İZMİR;ÇİĞLİ;;(232) 328 33 11;;a_konca@hotmail.com;http://;;10.001 SOKAK NO:28  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET MOLLA;İZMİR;ÇİĞLİ;Motorlu kara tasitlari için diger parça ve aksesua;;3282837;erdemmolla@hotmail.com;;;M.KEMAL ATATÜRK BUL.NO.10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET SOĞUKDAĞ - HAKAN SAC TABLOLARI;İZMİR;ÇİĞLİ;Elektrik devrelerinin anahtarlanmasi, korunmasi ve;(232) 336 21 28;3362128;hakansogukdag@hotmail.com;;;10.016 SOKAK NO.14  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET ULCAY / ALPASLAN ULCAY / ALEV ULCAY;İZMİR;ÇİĞLİ;;(232) 436 20 25;4360973;ismailulcay@gmail.com;http://www.ulcayizkap.com;ulcayizkap.com;10.008 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AHMET/SAADET/RECEP/FATİH MEHMET/HALİL BEKTAŞ-KADRİYE BEKTAŞ SÜZER-MELEK KIRCA;İZMİR;ÇİĞLİ;;(232) 336 43 59;3364359;bektasun@gmail.com;;;10.026 SOKAK NO.54 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AJAN ELEKTRONİK SERVİS SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Takim tezgahlari (metal islemek için lazer ve benz;(232) 328 12 02;3281501;info@ajancnc.com;http://www.ajancnc.com;ajancnc.com;10.039 SOKAK NO.4 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AJAN ELEKTRONİK SERVİS SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 12 02;3281501;info@ajancnc.com;http://www.ajancnc.com;ajancnc.com;10.039 SOKAK NO:12 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AJAN ELEKTRONİK SERVİS SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Takim tezgahlari (metal islemek için lazer ve benz;(232) 328 12 02;3281501;info@ajancnc.com;http://www.ajancnc.com;ajancnc.com;10.039 SOKAK NO:10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AJAN MAKİNA VE YEDEK PARÇA SAN. VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 12 02;3281501;info@ajancnc.com;http://;;10.039 SOKAK NO:12 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AK DÖKÜM SANAYİ A.Ş.;İZMİR;ÇİĞLİ;Pik demir ve manganezli dökme demir (aynali demir/;(232) 328 35 10;3283518;info@akdokum.com;www.akdokum.com;akdokum.com;10.037 SOKAK NO.6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKANTEL ELEKTRONİK SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Sanayi tipi fan ve vantilatörlerin imalati (çati h;(232) 328 20 90;3280270;info@tr.ebmpapst.com;www.akantel.com.tr;akantel.com.tr;10.007 SOKAK NO.6  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKANTUR TURİZM NAKLİYE İNŞ.TAAH.KİMYEVİ MADDELER SAN. VE TİC. A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 03 28;3280326;gaksin@makrochemical.com;;;10.040 SOKAK NO.23  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKANTUR TURİZM NAKLİYE İNŞ.TAAH.KİMYEVİ MADDELER SAN. VE TİC. A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 03 28;3280326;gaksin@makrochemical.com;;;10.024 SOKAK NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKÇELİK DEMİR ÇELİK SAN.VE TİC.A.Ş.;KOCAELİ;ÇAYIROVA;;(262) 658 89 52;02626589975;info@akcelik.com.tr;www.akcelik.com.tr;akcelik.com.tr;TOSB TAYSAD ORGANİZE SANAYİ BÖLGESİ 4.CAD.NO.10
AKÇİÇEK KERESTECİLİK SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 435 27 02;4352702;;;;10.007 SOKAK NO.13 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKDEDE DERİ TURİZM İNŞAAT SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Deri giyim esyasi imalati;(232) 328 14 94;;akdede@akdede.com.tr;www.akdede.com.tr;akdede.com.tr;M.KEMAL ATATÜRK BUL.NO:58 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKFEM SAN.İNŞ.VE TİC.A.Ş. HEDEF ÇİĞLİ ŞUBESİ;İZMİR;ÇİĞLİ;;(232) 404 00 66;;info@akfem.com.tr;;;10.027 SOKAK NO.4  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKIN AKTEPE SMART TEKSTİL İMALATI SANAYİ VE TİCARET;İZMİR;ÇİĞLİ;;(232) 376 89 48;;skinaktepe@gmail.com;;;M.KEMAL ATATÜRK BUL.NO.10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKKILIÇ GAYRİMENKUL TAAHHÜT TİC.A.Ş.;KOCAELİ;ÇAYIROVA;;(262) 658 89 52;02626580891;;http://;;TOSB TAYSAD ORGANİZE SANAYİ BÖLGESİ 4.CAD.NO.10
AKKILIÇ GAYRİMENKUL TAAHHÜT TİC.A.Ş.;KOCAELİ;ÇAYIROVA;;(262) 658 89 52;02626580891;;;;TOSB TAYSAD ORGANİZE SANAYİ BÖLGESİ 4.CAD.NO.10
AKON HİDROLİK VALF SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 79 99;3768078;info@akon.com.tr;http://www.akon.com.tr;akon.com.tr;10.000 SOKAK NO.22  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKON HİDROLİK VALF SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Akiskan gücü ile çalisan ekipmanlarin ve bunlarin ;(232) 376 79 99;3768078;info@akon.com.tr;www.akon.com.tr;akon.com.tr;10.000 SOKAK N0:22  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKSEKİ YAPI A.Ş.;İZMİR;ÇİĞLİ;;(232) 271 54 22;2713905;info@aksekiyapi.com;http://www.aksekiyapi.com;aksekiyapi.com;10.032 SOKAK NO:33 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKSEKİ YAPI A.Ş.;İZMİR;ÇİĞLİ;;(232) 271 54 22;2713905;info@aksekiyapi.com;http://www.aksekiyapi.com;aksekiyapi.com;10.032 SOKAK NO.31 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKSOY İNŞ.MİM.MÜH.MÜŞ.SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Makine ve ekipmanlarin kurulumu ve onarimi;(232) 489 22 65;4846666;iskenderaksoy240@gmail.com;;;10.040 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AKTAŞ MERMER SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Mermer ocakçiligi (traverten dahil);(232) 376 75 47;;info@aktasmarble.com;www.aktasmarble.com;aktasmarble.com;10.006/1 SOKAK NO.8 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALEV SERGİO;İZMİR;ÇİĞLİ;;;;;;;10.044 SOKAK NO.12  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ ALPER KAHVECİOĞLU/YELİZ KAHVECİOĞLU/BANU GÖNÜLCAN/ NİLGÜN KAHVECİOĞLU;İZMİR;ÇİĞLİ;;(232) 336 27 42;3362742;info@kahveciogluyapi.com;;;10.016  SOKAK NO.29 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ ATİK AKKAYA - ATİK GİYİM SANAYİ;İZMİR;ÇİĞLİ;Gömlek, tisört, bluz, vb. ceket altina giyilebilen;;;;;;10.021 SOKAK NO.35 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ DEDELER;İZMİR;ÇİĞLİ;Oluklu kagit ve mukavva imalati ile kagit ve mukav;(236) 547 10 74;(236) 547 30 67;adedeler45@hotmail.com;;;10.016 SOKAK NO.6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ DEMİRAĞ;İZMİR;ÇİĞLİ;;(232) 328 20 69;3280419;;http://;;10.016 SOKAK NO.18  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ MELİH HARMAN;İZMİR;ÇİĞLİ;Diger matbaacilik;;;melhar@windowslive.com;www.iyte.edu.tr/eastmt;iyte.edu.tr;10.016 SOKAK NO.46  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ SERTDEMİR TEKNİK HIRDAVAT ÜSTÜBÜ SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Plastik poset, çöp torbasi, çanta, torba, çuval, f;(232) 376 75 50;3767551;info@gurdemirplastik.com.tr;http://www.gurdemirplastik.com;gurdemirplastik.com;10.023 SOKAK NO.12   ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ SÜREYYA PERÇİN;İZMİR;ÇİĞLİ;;(232) 238 44 06;2384402;percin955@ttmail.com;;;10.016 SOKAK NO.76 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ ŞEMSİOĞLU / İMER USLU;İZMİR;ÇİĞLİ;;(232) 457 27 71;4492230;termak@superonline.com;;;10.002 SOKAK NO.50 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALİ TOLGAY / AYŞE SANCAR;İZMİR;ÇİĞLİ;;;4215858;;;;10.002 SOKAK NO.27 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALLIANCE ONE TÜTÜN A.Ş.;İZMİR;ÇİĞLİ;Tütün ürünleri imalati;(232) 376 77 00;3282128;aot@aointl.com;http://www.aointl.com;aointl.com;10.037 SOKAK NO.7 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALLIED MİNAREL PRODUCTS TURKEY REFRAKTER SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİLİ;Atese dayanikli imbikler, damitma kabi, eritme pot;(232) 503 02 22;;turkiye@alliedmineral.com;www.alliedmineral.com;alliedmineral.com;10.006/1 SOKAK NO.2/6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALPEL MAKİNA TEKNİK MALZEME SANAYİ VE TİCARET LTD.ŞTİ.;İZMİR;ÇİĞLİ;Bina veya diger insaat projelerinde isitma, havala;(232) 328 03 65;3280486;info@maktek.com.tr;www.maktek.com.tr;maktek.com.tr;10.013 SOKAK NO.14 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALTIN NAKIŞ TEKSTİL ÖRME SAN.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Tül ve diger ag kumaslarin (dokuma, örgü (triko) v;(232) 328 00 44;3280045;info@altinnakis.com.tr;http://www.altinnakis.com.tr;altinnakis.com.tr;10.016 SOKAK NO.4 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALTINOK TARIM ORMAN ÜRÜNLERİ SAN. VE TİC. LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 376 81 70;3768169;info@altinokpalet.com;http://www.altinokpalet.com;altinokpalet.com;10.010 SOKAK NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALTINOK TARIM ORMAN ÜRÜNLERİ SAN. VE TİC. LTD.ŞTİ.;İZMİR;ÇİĞLİ;Palet, kutu palet ve diger ahsap yükleme tablalari;(232) 376 81 70;3768169;info@altinokpalet.com;www.altinokpalet.com;altinokpalet.com;10.010 SOKAK NO.5  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALTINTRANSFER DİJİTAL BASKI VE KUMAŞÇILIK İTHALAT İHRACAT SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 32 34;3283235;altintransfer@hotmail.com;;;10.016 SOKAK NO.10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALVİNA KOZMETİK SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Kapali alanlar için kokulu müstahzarlar ve koku gi;(232) 329 44 34;;info@alvinakozmetik.com;http://www.alvinakozmetik.com;alvinakozmetik.com;10.016 SOKAK NO.76 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ALZ TEKSTİL İNŞAAT SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;;;alztekstil@gmail.com;;;10.010 SOKAK NO:11 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AMCOR SPECIALTY CARTONS İZMİR BASKI SAN.VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Kagit ve mukavva imalati (daha ileri sanayi isleml;(232) 498 98 98;4989888;izmir.finance@amcor.com;www.amcor.com;amcor.com;10.006/1 SOKAK NO:6  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AMWAY TÜRKİYE LTD.ŞTİ.;İZMİR;ÇİĞLİ;Sampuan, saç kremi, saç spreyi, jöle, saç düzlesti;(232) 328 16 20;4554455;infotr@amway.com;www.amway.com;amway.com;10.002 SOKAK NO:9 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ANADOLU CNC MAKİNA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 03 45;3280348;satis@anadolumakina.com.tr;www.anadolumakina.com.tr;anadolumakina.com.tr;M.KEMAL ATATÜRK BUL. NO.40 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ANDAÇ OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;İZMİR;ÇİĞLİ;Motorlu kara tasitlari için diger parça ve aksesua;(232) 478 01 01;4797784;info@andacotomotiv.com;http://www.andacotomotiv.com;andacotomotiv.com;10.037 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ANDY FİLİDİS;İZMİR;ÇİĞLİ;;(232) 327 38 11;3273812;andy@ardametal.com.tr;http://www.ardametal.com.tr;ardametal.com.tr;10.026 SOKAK NO.2  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ANTEBİ DESIGN TEKSTİL SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Iç giyim esyasi imalati;(232) 328 09 73;3281547;hello@antebies.com;www.antebies.com/tr/;antebies.com;10.014 SOKAK NO:5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AR BOBİNAJ VE ELEKTRİK MALZ.SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Elektrik motorlari, jeneratörler ve motor jeneratö;(232) 433 85 36;3280947;info@arbobinaj.com;;;10.022 SOKAK NO.14  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AR KİMYA SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Rafine edilmis petrol ürünleri imalati;(232) 328 32 85;3767110;info@arkimya.com.tr;www.arkimya.com.tr;arkimya.com.tr;10.002 SOKAK NO:37 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AR-CAN MAKİNA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Gida ve içeceklerin endüstriyel olarak hazirlanmas;(232) 376 88 21;3768820;info@arcan.com.tr;www.arcan.com.tr;arcan.com.tr;10.007 SOKAK NO:10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AR-CAN MAKİNA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Gida ve içeceklerin endüstriyel olarak hazirlanmas;(232) 376 88 21;3768820;info@arcan.com.tr;www.arcan.com.tr;arcan.com.tr;10.007 SOKAK NO.12  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AR-ES TIBBİ VE ELEKTRONİK CİHAZ VE MALZ.SAĞLIK VE DANIŞMANLIK HİZM.TİC.VE İTH.VE İHR.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 382 40 48;3824049;arestibbi@hotmail.com;www.ar-estibbi.com;ar-estibbi.com;10.041 SOKAK NO.13  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ARPES KİMYEVİ MADDELER TURİZM SANAYİ İÇ VE DIŞ TİC.A.Ş.;İZMİR;ÇİĞLİ;Diger inorganik temel kimyasal maddelerin imalati;(232) 329 20 27;3292027;serhanozhamit@gmail.com;;;10.016 SOKAK NO:68 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ART ALUKROM YAPI TEKNOLOJİLERİ SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 461 21 17;4862225;info@alukrom.com;www.alukrom.com;alukrom.com;10.006/1 SOKAK NO.2/C ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ARTLİNE YAPI İNŞAAT SAN. VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Mutfak mobilyalarinin imalati;;;info@artlineyapi.com.tr;http://www.artlineyapi.com.tr;artlineyapi.com.tr;10.029 SOKAK NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ARTPACK KAĞIT AMBALAJ A.Ş.;İZMİR;ÇİĞLİ;;(232) 485 02 32;;info@artpackambalaj.com;www.artpackambalaj.com;artpackambalaj.com;10.008 SOKAK NO.12 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ARVENTO MOBİL SİSTEMLER A.Ş. - İZMİR ŞUBESİ;ANKARA;ÇANKAYA;;(232) 328 37 20;3283715;info@arvento.com;http://www.arvento.com;arvento.com;MUSTAFA KEMAL MAH.DUMLUPINAR BULV.NO.280/G İÇ KAPI NO.514
ARYIL TEKSTİL KONFEKSİYON SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Kürk hariç, giyim esyasi imalati;;;ahmetguroz5@gmail.com;;;10.023 SOKAK NO.3  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ARYIL TEKSTİL KONFEKSİYON SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Kürk hariç, giyim esyasi imalati;;;ahmetguroz5@gmail.com;http://;;10.021 SOKAK NO.3  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ARZU OĞİŞ;İZMİR;ÇİĞLİ;Diger plastik ürünlerin imalati;(232) 368 82 83;;arzuogis@hotmail.com;http://;;10.026 SOKAK NO.10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AS KONFEKSİYON SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 457 11 88;4940148;mali@asbaski.com;www.asbaski.com;asbaski.com;10.040 SOKAK NO:26 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AS KONFEKSİYON SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 457 11 88;4940148;mali@asbaski.com;www.asbaski.com;asbaski.com;10.040 SOKAK NO.28  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
AS KONFEKSİYON SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 457 11 88;4940148;santral@askonfeksiyon.com;www.asbaski.com;asbaski.com;10.006/1 SOKAK NO:47 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
