Firma Adı;Sektör;Telefon;Web Sitesi;Domain;Adres
AGROCAN TARIMSAL ÜRÜNLER SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-5506;http://www.agrocansulama.com;agrocansulama.com;Acidereosb Mahallesi Çanakkale Caddesi No: 5
AGROTİME GÜBRE TARIM ÜRN. SAN. VE TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)248-5248;http://www.agrotimegubre.com.tr;agrotimegubre.com.tr;Acidereosb Mahallesi Taşköprü Caddesi No: 1
AGROVA TARIMSAL ÜRETİM PAZARLAMA VE SANAYİ LİMİTED ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-4658;https://agrova.com.tr/;agrova.com.tr;Acidereosb Mahallesi Seyhan Caddesi No: 6
AHSEN TÜTÜN VE TÜTÜN MAMÜLLERİ SİGARA ÇAY GIDA TARIM MAD. İNŞ. İTH. İHR. SAN. VE DIŞ TİC. LTD. ŞTİ.;Tütün Ürünleri İmalatı;+90 (322)510-1010;http://www.ahsentobacco.com;ahsentobacco.com;Acidereosb Mahallesi Ordu Caddesi No: 17
AKBANK T.A.Ş. HACI SABANCI ORGANİZE SANAYİ BÖLGESİ ŞUBESİ;Diğer İmalatlar;+90 (322)394-4204;http://www.akbank.com.tr;akbank.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 7
Akdeniz Otomotiv Ticaret ve Sanayi Limited Şirketi;Fabrikasyon Metal Ürünleri İmalatı;+90(322)441-2223;https://denizegzoz.com/;denizegzoz.com;Büyükdikili Mahallesi 93025 Sokak No: 9/A Adana Seyhan
AKMETAL METAL VE İZL. TİC. VE TAAH. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3536;http://www.akmetalltd.com.tr;akmetalltd.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 7
AKO MERMER KABLO TAŞIMACILIK SAN. VE TİC. LTD. ŞTİ.;Diğer İmalatlar;+90 (322)394-4190;http://www.akomermer.com.tr;akomermer.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 40
AKUS AMBALAJ PLASTİK VE TEKSTİL A. Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;0322 394 3745;https://www.ursa.com.tr/;ursa.com.tr;Acıdereosb Mahallesi Zübeyde Hanım Caddesi No: 3  Sarıçam / Adana
Al Jazıra Kimya İnş. İhr. İth. San. ve Tic. Ltd. Şti.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90(212)999-9280;https://alwazirgroup.com/;alwazirgroup.com;Acıdereosb Mahallesi Oğuz Kağan Köksal Caddesi 17 Adana Sarıçam
ALBARAKA TÜRK KATILIM BANKASI A.Ş.;Diğer İmalatlar;+90 (322)394-5329;http://www.albaraka.com.tr;albaraka.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 17
ALÇA YAPI İNŞAAT SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (212)843-2529;http://www.alcayapi.com.tr;alcayapi.com.tr;Acidereosb Mahallesi Toros Caddesi No: 11
Aldanmaz İnşaat Taahhüt Tesisat Plastik Tar. Boya İth. İhr. San. Tic. Ltd. Şti.;Kauçuk ve Plastik Ürünlerin İmalatı;+90(322)332-7726;https://www.valdes.com.tr/;valdes.com.tr;Acıdereosb Mahallesi Hilal Caddesi 11 Adana Sarıçam
ALPA İNŞAAT MALZ. TAAH. SAN. VE TİC. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)346-5956;http://www.tortoise.com.tr;tortoise.com.tr;Acidereosb Mahallesi Çinar Caddesi No: 6
ALPASLAN YOL İNŞAAT TAAHHÜT METAL SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)324-5040;http://www.alpaslanyol.com;alpaslanyol.com;Acidereosb Mahallesi Şehitler Caddesi No: 15
ALPHA DOKUMA SAN. VE TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;03223944518;https://alphadokuma.com/;alphadokuma.com;Acıdere Osb Mh. Cumhuriyet Bul. No: 18/1 Sarıçam / Adana / Türkiye
ALPLA PLASTİK SAN.VE TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)455-1200;http://www.alpla.com;alpla.com;Acidereosb Mahallesi Istiklal Caddesi No: 13
Alset Plastik Ambalaj Sanayi Ticaret Limited Şirketi;Kauçuk ve Plastik Ürünlerin İmalatı;;https://www.alsetplastik.com.tr/;alsetplastik.com.tr;Acıdereosb Mahallesi Oğuz Kağan Köksal Caddesi 25 Adana Sarıçam
ALSİS GALVANİZ METAL SAN. VE TİC. LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)341-4128;http://www.alsisgalvaniz.com;alsisgalvaniz.com;Acidereosb Mahallesi Toros Caddesi No: 15
Altek Yapı Market San. Tic. Ltd. Şti.;Temel Eczacılık Ürünlerinin ve Eczacılığa İlişkin;+90(322)380-0000;https://altekyapimarket.com.tr/;altekyapimarket.com.tr;Acıdereosb Mahallesi Celal Bayar Bulvarı 44 Adana Sarıçam
ALTIN BİLYA SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3963;http://www.altinbilya.com.tr;altinbilya.com.tr;Acidereosb Mahallesi Istiklal Caddesi No: 15
ALTIN NAR GIDA TARIM İNŞAAT PLASTİK AMB. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)502-2580;http://www.narsnack.com.tr;narsnack.com.tr;Acidereosb Mahallesi Sümbül Sokak No: 5
ANADOLU AKRİLİK ELYAF İPL.TEKS.SAN.TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4550;http://www.anadoluakrilikelyaf.com;anadoluakrilikelyaf.com;Acidereosb Mahallesi Anafartalar Caddesi No: 9
ANADOLU ANTİMON MADEN SAN. VE TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3936;http://www.anadoluantimon.com;anadoluantimon.com;Acidereosb Mahallesi Istiklal Caddesi No: 5
ANADOLU DÜNYA KAHVE SAN. VE TİC. LTD. ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)394-3410;http://www.anakur.com;anakur.com;Acidereosb Mahallesi Lokman Hekim Caddesi No: 4
ANKUTSAN ANTALYA KUTU SANAYİ OLUKLU MUKAVVA KAĞIT TİCARET ANONİM ŞİRKETİ;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (242)249-7700;http://www.ankutsan.com;ankutsan.com;Acidereosb Mahallesi Anafartalar Caddesi No: 1
APRO ALÜMİNYUM SANAYİ VE TİCARET A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5373;https://www.aproaluminium.com/;aproaluminium.com;Acidereosb Mahallesi Çanakkale Caddesi No: 22
ARES ISI TRANSFER SİSTEMLERİ SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3285;http://www.aresphe.com;aresphe.com;Acidereosb Mahallesi Ordu Caddesi No: 4
ARES PLAKALI EŞANJÖR SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3200;http://www.aresphe.com;aresphe.com;Acidereosb Mahallesi Ordu Caddesi No: 4
Argema Endüstriyel Kimya A. Ş.;Kok Kömürü ve Rafine Edilmiş Petrol Ürünleri İmalatı;+90(322)502-4431;https://argema.com.tr/;argema.com.tr;Acıdereosb Mahallesi Yaşar Doğu Caddesi No: 15 Adana Sarıçam
ARİFOĞLU DOKUMA TEKSTİL İPLİK PAZARLAMA SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3022;http://www.arifogluiplik.com.tr;arifogluiplik.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 51
ARSLAN YAPI KİMYASALLARI END.MAK.İNŞ.SAN.VE TİC.LTD.ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)346-6187;http://www.cemix.com.tr;cemix.com.tr;Acidereosb Mahallesi Hilal Caddesi No: 1
ARTEK İNŞAAT TAAHHÜT TURİZM TEKSTİL TARIM GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)454-5354;http://www.artekcons.com;artekcons.com;Acidereosb Mahallesi Celal Bayar Bulvari No: 31
ARTEK KİMYA TEKSTİL MAK. ÇEVRE SAN. VE TİC. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3604;http://www.artekkimya.com;artekkimya.com;Acidereosb Mahallesi Şehitler Sokak No: 4
ASFA PLASTİK VE METAL SAN.PAZ.DIŞ.TİC.A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3440;http://www.asfagroup.com;asfagroup.com;Acidereosb Mahallesi Atatürk Bulvari No :49
ASFA ULUSLAR ARASI İNŞAAT SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 322 458 2416;https://www.asfagroup.com/;asfagroup.com;Acıdereosb Mahallesi Atatürk Bulvarı No: 49  Sarıçam / Adana
ASLANBAŞ ÇİVİ TEL ÇELİK HASIR GIDA TARIM İNŞ. VE TAAH. SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)311-0482;http://www.aslanbas.com.tr;aslanbas.com.tr;Acidereosb Mahallesi Inönü Bulvari No: 16
ASLANKAYA MADENCİLİK VE ENERJİ SAN. TİC. LTD. ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;0342 325 6555;https://aslankaya.com/;aslankaya.com;Acıdereosb Mah. Yaşar Doğu Cad. No:9/1 Sarıçam / ADANA
ASLANLAR METAL ALÜMİNYUM ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4510;http://www.aslanlarmetal.com;aslanlarmetal.com;Acidereosb Mahallesi Mevlana Caddesi No: 2
Astronergy Solar Panel Üretim ve Tic. A. Ş.;Elektrikli Teçhizat İmalatı;+90(216)621-0055;https://astronergy.com.tr/;astronergy.com.tr;Acıdereosb Mahallesi Sedef Caddesi 1 Adana Sarıçam
ATESA TEKS. İNŞ. SAN. VE TİC. A.Ş;Tekstil Ürünlerinin İmalatı;+90 (322)394-3542;http://www.atesa.com.tr;atesa.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 17
ATLANTİK MOBİLYA PLASTİK AMB. ÜRÜN. VE İTH. İHR. SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 532 203 0564;http://atlantikplastik.com.tr;atlantikplastik.com.tr;Acidereosb Mahallesi Lale Sokak No: 5
ATLAS TOHUM ZİRAAT LTD.ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)351-0964;http://www.atlastohum.com;atlastohum.com;Acidereosb Mahallesi Hilal Caddesi No: 19
ATLASDENİM TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ;Giyim Eşyalarının İmalatı, Tekstil Ürünlerinin İmalatı;+90 (322)550-0500;https://www.atlasdenim.com.tr/;atlasdenim.com.tr;Acidereosb Mahallesi Misis Caddesi No: 11
AYDOS KİMYA SAN. VE TİC. A.Ş. ADANA ŞUBESİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90(322)394-4833;https://www.aydos.com.tr/tr;aydos.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 7
AYPAKS GIDA AMB.SAN.LTD.ŞTİ.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-4970;http://www.aypaks.com.tr;aypaks.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 22
Aysan Tarım Ürünleri Lisanslı Depoculuk A. Ş.;Gıda Ürünleri İmalatı;+90(322)394-4929;https://www.aysanas.com/;aysanas.com;Acıdereosb Mahallesi Fuzuli Caddesi 5 Adana Sarıçam
Aytek Dokuma Tekstil İnşaat San. ve Tic. Ltd. Şti.;Tekstil Ürünlerinin İmalatı;+90 532 130 20 01;https://aytekdokuma.com;aytekdokuma.com;Acıdere Osb Mh. Sedef Cd. No:5 Sarıçam / Adana / Türkiye
BAKIRLAR TEKSTİL SAN. VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4545;http://www.bakirlar.com.tr;bakirlar.com.tr;Acidereosb Mahallesi Sanayi Caddesi No: 1
BARIŞ ENDÜSTRİYEL ENERJİ SİSTEMLERİ A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)456-1414;https://www.barisenerji.com/;barisenerji.com;Acidereosb Mahallesi Magarsuz Caddesi No: 8
BAŞAK SİLO SİSTEMLERİ İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3630;http://www.basaksilo.com;basaksilo.com;Acidereosb Mahallesi Hilal Caddesi No: 17
BAŞDOĞAN HALI TEKS.SAN.VE TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3356;http://www.basdoganhali.com;basdoganhali.com;Acidereosb Mahallesi Karacaoğlan Caddesi No: 10
BAŞERGÜN BOYA VE KİMYA İNŞ. SAN. TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;0242 258 16 30;https://cubo.com.tr/;cubo.com.tr;ACIDEREOSB MAH. NİLÜFER SK. NO: 5 SARIÇAM / ADANA
BCN TEKSTİL SAN. TİC. LTD. ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3711;http://www.bcntextile.com;bcntextile.com;Acidereosb Mahallesi Atatürk Bulvari No: 27
BESEN PLASTİK VE AMB. SAN. VE TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-5156;http://www.besenplastik.com.tr;besenplastik.com.tr;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 25
BETA ENERJİ TEKNOLOJİ A.Ş.;Elektrikli Teçhizat İmalatı;03223944253;https://betaenerji.com/;betaenerji.com;Beta Enerji, Adana, Türkiye, Suluca, Adana, Turkey 01350
BETA GIDA SAN.VE TİC. A.Ş.;İçeceklerin İmalatı;+90 (322)457-7207;http://www.beta.com.tr;beta.com.tr;Acidereosb Mahallesi Fuzuli Caddesi No: 1
BEYAZ KAĞIT VE HİJ. ÜRN. TEM. İNŞ. SAN. TİC. A.Ş.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-4111;http://www.beyazkagit.com.tr;beyazkagit.com.tr;Acidereosb Mahallesi Anavarza Caddesi No: 3
BEYTEKS TİCARET PAZARLAMA LİMİTED ŞİRKETİ;Tekstil Ürünlerinin İmalatı;+90 (322)394-3991;https://www.beyteks.com/;beyteks.com;Acidereosb Mahallesi Ceyhan Caddesi No: 7
Bİ-PLAST PLASTİK MÜHENDİSLİK LOJ. TAŞ. TUR. İNŞ. İTH. İHR. SAN. LTD. ŞTİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-5433;http://www.bi-plast.com.tr;bi-plast.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 40
BİLGÜN TEKSTİL SAN.VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3637;http://www.bilguntekstil.com;bilguntekstil.com;Acidereosb Mahallesi Atatürk Bulvari No: 5
BİLİCİ YATIRIM SAN.VE TİC. A. Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4410;http://www.biliciyatirim.com;biliciyatirim.com;Acidereosb Mahallesi Atatürk Bulvari No: 7
BİLSEN KİMYA SAN.TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3734;http://www.bilsenkimya.com;bilsenkimya.com;Acidereosb Mahallesi Ismet Atli Caddesi No: 1
BİM BİRLEŞİK MAĞAZALAR A.Ş.;Gıda Ürünleri İmalatı;+90 (322)394-4243;http://www.bim.com.tr;bim.com.tr;Acidereosb Mahallesi Istiklal Caddesi No: 21
BİRAY KİMYA SAN. VE TİC. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90(533)4608792;http://biraykimya.com.tr/;biraykimya.com.tr;Acidereosb Mahallesi Zafer Caddesi No: 12
BİSMAK MEKANİK KUMLAMA BOYA İNŞ. İTH. İHR. SAN. TİC. A.Ş;Fabrikasyon Metal Ürünleri İmalatı;05525362922;https://bismakmekanik.com/;bismakmekanik.com;Acıdere OSB, 01350 Sarıçam/Adana
BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.;Diğer İmalatlar;+90 (322)457-7269;http://www.bizimtoptan.com.tr;bizimtoptan.com.tr;Kuşbakişi Caddesi Altunizade No:19
Boler Tekstil San. ve Tic. Ltd. Şti.;Tekstil Ürünlerinin İmalatı;+90(549)737-1855;https://www.boler.com.tr/;boler.com.tr;Acıdereosb Mahallesi Ceyhan Caddesi No: 10 Adana Sarıçam
BORŞEN BORU SANAYİ VE TİCARET ANONİM ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)502-0205;http://www.borsenboru.com;borsenboru.com;Dudullu Organize Sanayi Bölgesi 3. Cadde No: 20
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş. DENİM İŞLETMELERİ ŞUBESİ;Tekstil Ürünlerinin İmalatı;+90 (322)394-3030;http://www.bossa.com.tr;bossa.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 3
BOSSKİM KİMYASAL MADDELER TEKS. İNŞ. OTOM. LOJ. SAN. VE TİC. PAZ. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;0322- 346 20 28;http://www.bosskim.com;bosskim.com;ACIDERE OSB MAH.ŞEHİTLER CAD.NO:6 SARIÇAM/ADANA
BPS PETROL ÜRN. MAD. YAĞ  SAN. TİC. LTD. ŞTİ.;Diğer İmalatlar;+90 (322)394-3552;http://www.bpsyag.com;bpsyag.com;Acidereosb Mahallesi Yaşar Doğu Caddesi No: 11
BTD TEKSTİL SAN.VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4578;http://www.btdtextile.com;btdtextile.com;Acidereosb Mahallesi Atatürk Bulvari No: 28
BTV KİMYA SAN.VE TİC. A.Ş.;Diğer İmalatlar;+90 322 394 4482;http://www.btvkimya.com.tr;btvkimya.com.tr;Acıdereosb Mahallesi Ordu Caddesi No: 3
BURAK INOX SOLAR ISI SİS.SAN.TİC.A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4030;http://www.burakinoks.com.tr;burakinoks.com.tr;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 11
BYS KİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4666;http://www.asparaffin.com;asparaffin.com;Acidereosb Mahallesi Atatürk Bulvari No: 16
CAMSU PLASTİK TEKNOLOJİ SAN. TİC. A. Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)504-2277;https://camsuplastik.com/;camsuplastik.com;
CAN KİMYEVİ MADDELER GERİ KAZANIM ARITMA BERTARAF NAK.SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3622;http://www.sonmezlergroup.com;sonmezlergroup.com;Acidereosb Mahallesi Atatürk Bulvari No: 16
CANADA GREEN GATE KOZMETİK ÜRÜNLERİ SAN. VE TİC.A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4850;http://www.canadagreengate.com;canadagreengate.com;Acidereosb Mahallesi Çanakkale Caddesi No: 6
Cen Ak İş Makinaları ve Yedek Parça San. Tic. A.Ş.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90(322)351-1438;https://www.cen-ak.com/;cen-ak.com;Acıdereosb Mahallesi Magarsus Caddesi No: 4 Adana Sarıçam
CEYTECH MAKİNA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Motorlu Kara Taşıtı, Treyler (Römork) ve Yarı Treylerin İmalatı;+90 (322)394-3900;http://www.ceylangroup.com.tr;ceylangroup.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 8
CHC MERMER İNŞ. MÜH. EML. PET. TURZ. GIDA TAR. TEKS. SAN. VE TİC. A.Ş.;Diğer İmalatlar;+90 (322)453-7606;http://www.chcmermer.com.tr;chcmermer.com.tr;Acidereosb Mahallesi Menekşe Sokak No: 16
CHRYSO-KAT KATKI MALZ.SAN.VE TİC.A.Ş. ADANA ŞUBESİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)503-0154;http://www.chryso.com.tr;chryso.com.tr;Acidereosb Mahallesi Hilal Caddesi No: 13
CMA MAKİNA İMALAT İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)346-1544;http://www.cmamakine.com.tr;cmamakine.com.tr;Acidereosb Mahallesi Ordu Caddesi No: 19
CON-IMEX PRE.İNŞ.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4753;http://www.con-imex.com;con-imex.com;Acidereosb Mahallesi 23 Nisan Caddesi No: 8
Coruk Hurdacılık ve Tekstil Ticareti;Kağıt ve Kağıt Ürünlerinin İmalatı;+90(322)394-3825;https://corukambalaj.com/;corukambalaj.com;Acıdereosb Mahallesi İsmet Atlı Caddesi 17 Adana Sarıçam
Ctn Makina Sanayi Ve Ticaret Anonim Şirket;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4990;http://www.ctn-group.com;ctn-group.com;Acidereosb Mahallesi Ismet Atli Caddesi No: 20
Çatalbaş Elektrik Enerji San. Tic. Ltd. Şti.;Elektrikli Teçhizat İmalatı;+90(322)503-3398;https://ctbelektrik.com.tr;ctbelektrik.com.tr;Acıdereosb Mahallesi Baklalı Caddesi No: 17 Adana Sarıçam
Çeliksan Ticari Araçlar San. ve Tic. Ltd. Şti.;Motorlu Kara Taşıtı, Treyler (Römork) ve Yarı Treylerin İmalatı;+90(322)394-3301;https://celiksantreyler.com;celiksantreyler.com;Acıdere Mahallesi 6695 Sokak No: 29 Adana Sarıçam
ÇİMSA ÇİMENTO SAN.VE TİC.A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3420;http://www.cimsa.com.tr;cimsa.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 15
ÇOKYAŞAR TEL ÖRME VE DOK. TEL GAL. ÇİVİ SAN. TİC. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4535;http://www.cokyasar.com.tr;cokyasar.com.tr;Acidereosb Mahallesi Inönü Bulvari No: 19
ÇÖZÜMÇELİK İNŞAAT TAAH. İML. SAN. VE TİC. LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (541)950-1270;https://www.cozumcelik.com/tr;cozumcelik.com;Acidereosb Mahallesi Toros Caddesi No:17
