ticker,company_name,city,domain,email,address,indexes,sector,market
AKBNK,AKBANK T.A.Ş.,İSTANBUL,www.akbank.com,,"Adres: Sabancı Center 34330 4.Levent / İSTANBUL,\nTelefon: (0212) 385 55 55,\nFaks: (0212) 319 52 52","BIST 100, BIST 500, BIST 50, BIST 30",MALİ KURULUŞLAR,"YILDIZ PAZAR, KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA"
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL,www.akcansa.com.tr,"investor.relations@akcansa.com.tr, info@akcansa.com.tr",Barbaros Mahallesi Kardelen Sokak No:2 D.124-125 Palladium Tower Ataşehir /istanbul,"BIST 500, BIST 50",İMALAT,YILDIZ PAZAR
AKDFA,AKDENİZ FAKTORİNG A.Ş.,İSTANBUL,www.akdenizfaktoring.com.tr,"ozgur.bulbul@akdenizfaktoring.com.tr, gulhan.irmak@akdenizfaktoring.com.tr",BULGURLU MAH.GÜRPINAR CAD.NO:15/7 ÜSKÜDAR/İSTANBUL,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,İSTANBUL,www.akdenizyh.com,,15 TEMMUZ MAH. BAHAR CAD. PEROLA SİTESİ B BLOK NO: 89/1 İÇ KAPI NO: Z15 BAĞCILAR / İSTANBUL,"BIST HOLDİNG VE YATIRIM, BIST TÜM-100, BIST MALİ, BIST İSTANBUL, BIST TÜM",MALİ KURULUŞLAR,ALT PAZAR
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,İSTANBUL,www.akenerji.com.tr,info@akenerji.com.tr,"Miralay Şefik Bey Sokak, Ak Han, No: 15, K: 3/4 Gümüşsuyu, Beyoğlu/İSTANBUL","BIST 500, BIST 50",ELEKTRİK GAZ VE SU,ANA PAZAR
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.akfengyo.com.tr,info@akfengyo.com.tr,LEVENT LOFT BÜYÜKDERE CADDESİ NO:201 C BLOK KAT:8 DAİRE:151 34394 LEVENT İSTANBUL,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,ANKARA,www.akfeninsaat.com.tr,info@akfeninsaat.com.tr,"Koza Sokak, No:22, Gaziosmanpaşa, Çankaya, Ankara","BIST 500, BIST 50",İNŞAAT VE BAYINDIRLIK,YILDIZ PAZAR
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,ANKARA,www.akfenren.com.tr,yatirimciiliskileri@akfenren.com.tr,"İlkbahar Mahallesi Galip Erdem Caddesi, NO:3 Çankaya/ANKARA","BIST 500, BIST 50",ELEKTRİK GAZ VE SU,YILDIZ PAZAR
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,ADANA,www.akhanun.com.tr,yatirimciiliskileri@akhanun.com.tr,Yeni Mah.İncirlik Bulvarı No:145 Sarıçam ADANA,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ATEKS,AKIN TEKSTİL A.Ş.,İSTANBUL,www.akintekstil.com.tr,yatirimciiliskileri@akintekstil.com.tr,"OSMANİYE MAH. ÇIRPICI KOŞU YOLU SK. NO:5/1,2,3,4 34144 BAKIRKÖY / İSTANBUL",,İMALAT,YAKIN İZLEME PAZARI
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.akisgyo.com,info@akisgyo.com,Acıbadem Mah. Derin Sok. Akasya B Blok No:8b İç Kapı No:200 Üsküdar - İSTANBUL,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.akmgyo.com,gyo@akmerkez.com.tr,Kültür Mah. Nisbetiye Cad. Akmerkez No: 56/1 Beşiktaş/İstanbul,"BIST TÜM-100, BIST KURUMSAL YÖNETİM, BIST GAYRİMENKUL YAT. ORT., BIST TEMETTU 10 YIL, BIST MALİ, BIST TÜM, BIST TEMETTÜ, BIST TEMETTU 5 YIL, BIST ANA",MALİ KURULUŞLAR,ANA PAZAR
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,YALOVA,www.aksa.com,aksaakrilik@hs02.kep.tr,Merkez Mahallesi Ali Raif Dinçkök Caddesi No : 2 Çiftlikköy Yalova,"BIST 100, BIST 500, BIST 50",İMALAT,YILDIZ PAZAR
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,İSTANBUL,www.aksaenerji.com.tr,info@aksaenerji.com.tr,"Rüzgarlıbahçe Mahallesi, Özalp Çıkmazı, No: 10, Kavacık, Beykoz, Istanbul","BIST 100, BIST 500, BIST 50",ELEKTRİK GAZ VE SU,YILDIZ PAZAR
AKGRT,AKSİGORTA A.Ş.,İSTANBUL,www.aksigorta.com.tr,aksigorta@hs02.kep.tr,"Barbaros Mahallesi, Ihlamur Bulvarı No:3B/228 34634 Ataşehir/İstanbul","BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,ISPARTA,www.aksuenerji.com.tr,aksue@aksuenerji.com.tr,Pirimehmet Mah. Mimar Sinan cad. Miralay İşhanı Kat:2 No:77 Isparta,"BIST 500, BIST 50",ELEKTRİK GAZ VE SU,ANA PAZAR
AKTVK,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.,İSTANBUL,www.aktifvks.com.tr,info@aktifvks.com.tr,Esentepe Mahallesi Kore Şehitleri Cad. Aktif Bank Genel Müdürlük Apt. No:8/1 Şişli/İstanbul,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
AFB AKTIF,AKTİF YATIRIM BANKASI A.Ş.,İSTANBUL,www.aktifbank.com.tr,,Esentepe Mahallesi Kore Şehitleri Cad. Aktif Bank Genel Müdürlük. No:8/1 Şişli / İstanbul,,,"KESİN ALIM SATIM PAZARI, KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA"
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,İSTANBUL,www.alarko-carrier.com.tr,info@alarko.com.tr,MUALLİM NACİ CAD.NO:69 34347 ORTAKÖY/İSTANBUL,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.alarkogyo.com.tr,agmyo@alarko.com.tr,Muallim Naci Cad. No : 69 34347 Ortaköy-Beşiktaş / İSTANBUL,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
ALARK,ALARKO HOLDİNG A.Ş.,İSTANBUL,www.alarko.com.tr,info@alarko.com.tr,MUALLİM NACİ CADDESİ NO:69 34347 ORTAKÖY/İSTANBUL,"BIST 100, BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
ALBRK ALK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL,www.albaraka.com.tr,"yim@albarakaturk.com.tr, ir@albarakaturk.com.tr",İnkılap Mah. Dr. Adnan Büyükdeniz Cad. Albaraka Türk Sitesi 1. Blok No :6 İç Kapı No :1 Ümraniye/İstanbul,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL,www.alcatel-lucent.com.tr,mert.aydin@nokia.com,"Barbaros Mah. Mor Sümbül Sk. Nidakule Blok No: 7/3F İç Kapı No: 1 Ataşehir, İstanbul","BIST 500, BIST 50",TEKNOLOJİ,ANA PAZAR
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ANKARA,www.alfasolarenerji.com,info@alfasolarenerji.com,"Büyükesat, Mahatma Gandhi Cd. No:74/1 Gaziosmanpaşa/Ankara","BIST 500, BIST 50",ELEKTRİK GAZ VE SU,YILDIZ PAZAR
ALJF,ALJ FİNANSMAN A.Ş.,İSTANBUL,www.aljfinans.com.tr,,Esentepe Mah. Bahar Sk. Özdilek River Plaza Vyndham Grand Blok No: 13 İç Kapı No:73 Şişli / İstanbul Türkiye,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,İSTANBUL,www.alkim.com,alkim@alkim.com,İnönü Cad. No:13 Posta Kodu:34437 Taksim Beyoğlu / İstanbul,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,İZMİR,www.alkimkagit.com.tr,info@alkimkagit.com.tr,ORGANİZE SANAYİ BÖLGESİ KIROVASI MEVKİİ KEMALPAŞA / İZMİR,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ALNUS ANC,ALNUS YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,www.alnusyatirim.com,info@alnusyatirim.com,ESENTEPE MAH. HABERLER SOK. NO:10 ŞİŞLİ - İSTANBUL/TÜRKİYE,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,İZMİR,www.altinyunus.com.tr,info@altinyunus.com.tr,Altın Yunus Mah. 3215 Sok. No:38 Çeşme- İZMİR,"BIST 500, BIST 50",OTELLER VE LOKANTALAR,ANA PAZAR
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,İSTANBUL,www.altinaysavunma.com,yatirimci.iliskileri@altinay.com,"Teknopark İstanbul, Sanayi Mahallesi Teknopark Bulvarı No:1/4A 34906 Pendik İstanbul","BIST 100, BIST 500, BIST 50",TEKNOLOJİ,YILDIZ PAZAR
ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,İSTANBUL,www.altinkilic.com,yatirimciiliskileri@altinkilic.com,Kocatepe Mah. Mega Center A Blok Gümrük İskelesi Cad. 12. Sokak No:77 Bayrampaşa/İSTANBUL,"BIST 500, BIST 50",İMALAT,"ANA PAZAR, KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA"
ALVES,ALVES KABLO SANAYİ VE TİCARET A.Ş.,ANKARA,www.alveskablo.com.tr,,"Fatih Mah. Karatay Cad. No:6, Kahramankazan/Ankara","BIST 500, BIST 50",İMALAT,"KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA, ANA PAZAR"
ANSGR,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,İSTANBUL,www.anadolusigorta.com.tr,bilgi@anadolusigorta.com.tr,"Rüzgarlıbahçe Mahallesi, Çam Pınarı Sokak, No:6, 34805 Beykoz / İstanbul","BIST 100, BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,İSTANBUL,www.anadoluefes.com,ir@anadoluefes.com,Fatih Sultan Mehmet Mahallesi Balkan Caddesi No:58/24 Buyaka E Blok Ümraniye-İstanbul Türkiye\nTel: +90(216) 586 80 00\nFax:+90(216) 389 58 63\n,"BIST 100, BIST 500, BIST 50, BIST 30",İMALAT,"KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA, YILDIZ PAZAR"
ANHYT,ANADOLU HAYAT EMEKLİLİK A.Ş.,İSTANBUL,www.anadoluhayat.com.tr,hizmet@anadoluhayat.com.tr,Levent Mahallesi Meltem Sokak No :10 İş Kuleleri Kule:2 Kat:17-20 34330 BEŞİKTAŞ / İSTANBUL,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,İSTANBUL,anadoluisuzu.com.tr,investorrelations@isuzu.com.tr,Fatih Sultan Mehmet Mahallesi Balkan Caddesi No 58 Buyaka E Blok Tepeüstü 34771 Ümraniye / İstanbul,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,İSTANBUL,www.anatoliageneworks.com,"info@anatoliageneworks.com, yatirimci.iliskileri@anatoliageneworks.com",Hasanpaşa Mah. Beydağı Sok. No: 1-9H Sultanbeyli / İstanbul,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ANELE,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,İSTANBUL,www.anelgroup.com,investor.relations@anelgroup.com,Yamanevler Mahallesi Siteyolu Caddesi Anel İş Merkezi No:5/4 Ümraniye-İstanbul,"BIST 500, BIST 50",İNŞAAT VE BAYINDIRLIK,ANA PAZAR
ARCLK,ARÇELİK A.Ş.,İSTANBUL,www.arcelikglobal.com,"investorrelations@arcelik.com, yatirimciiliskileri@arcelik.com",Karaağaç Caddesi No:2-6 Sütlüce 34445 Beyoğlu-İstanbul,"BIST 100, BIST 500, BIST 50",İMALAT,"YILDIZ PAZAR, KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA"
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,ANKARA,www.ardbilisim.com.tr,info@ardgrup.com.tr,"Koç Kuleleri Söğütözü Mahallesi, Söğütözü Caddesi, No:2A İç Kapı No:60 Çankaya/Ankara","BIST 500, BIST 50",TEKNOLOJİ,YILDIZ PAZAR
ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,www.arena.com.tr,ir@arena.com.tr,Gürsel Mah. İmrahor Cad. Premier Kampüs Ofis A Blok No:29A İç Kapı No:212 Kağıthane İSTANBUL,"BIST 500, BIST 50",TEKNOLOJİ,ANA PAZAR
ARFYE,ARF BİO YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,ANKARA,www.arfbio.com,info@arfbio.com,Beştepe Mah. Nergiz Sk. No:9/36 Yenimahalle / ANKARA,"BIST 500, BIST 50",ELEKTRİK GAZ VE SU,ANA PAZAR
ARMGD,ARMADA GIDA TİCARET SANAYİ A.Ş.,MERSİN,www.armadafoods.com,armadagida@hs03.kep.tr,"Toroslar Mah. Atatürk_12 Bul. No:91, İç Kapı No: 1, Akdeniz/Mersin","BIST 500, BIST 50",İMALAT,YILDIZ PAZAR
ARSAN,ARSAN HOLDİNG A.Ş.,KAHRAMANMARAŞ,www.arsanholding.com.tr,borsa@arsanholding.com.tr,"Karacasu Karaziyaret Mah., Fatih Sultan Mehmet Caddesi, No:7/A Dulkadiroğlu/KAHRAMANMARAŞ","BIST 500, BIST 50",MALİ KURULUŞLAR,ANA PAZAR
ARSVY,ARSAN VARLIK YÖNETİM A.Ş.,İSTANBUL,www.arsanvarlik.com.tr,info@arsanvarlik.com.tr,KONAKLAR MAH. MEŞELİ SOK. NO:3 BEŞİKTAŞ İSTANBUL,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
ARTMS,ARTEMİS HALI A.Ş.,İSTANBUL,www.artemishali.com.tr,info@artemishali.com.tr,Balmumcu Mah. Itri Sok. No: 6 Beşiktaş / İstanbul,"BIST 500, BIST 50",İMALAT,ANA PAZAR
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,www.arzum.com.tr,yatirimci@arzum.com,Flatofis Binası Ortakçılar Cad. No: 78 Kat: 1 B Blok No: B1B Eyüp 34050 İstanbul / Türkiye\n,"BIST 500, BIST 50",TOPTAN VE PERAKENDE TİCARET,"ANA PAZAR, KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA"
ASGYO,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GAZİANTEP,www.ascegyo.com,"info@ascegyo.com.tr, bilgi@ascegyo.com.tr, yatirimciiliskileri@ascegyo.com.tr",Sarıgüllük Mahallesi Zübeyde Hanım Bulvarı No:64 / A\nŞehitkamil / GAZİANTEP,"BIST 500, BIST 50",MALİ KURULUŞLAR,YILDIZ PAZAR
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ANKARA,www.aselsan.com,aselsan.ir@aselsan.com,"MEHMET AKİF ERSOY MAHALLESİ, İSTİKLAL MARŞI CADDESİ, NO:16, YENİMAHALLE, 06200, ANKARA","BIST 100, BIST 500, BIST 50, BIST 30",TEKNOLOJİ,YILDIZ PAZAR
ASTOR,ASTOR ENERJİ A.Ş.,ANKARA,www.astoras.com.tr,info@astoras.com.tr,ALCI OSB MAHALLESİ 2001 CADDE A BLOK NO:5/A SİNCAN / ANKARA,"BIST 100, BIST 500, BIST 50, BIST 30",İMALAT,YILDIZ PAZAR
ATAGY,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.atagyo.com.tr,info@atagyo.com.tr,"Dikilitaş Mah. Emirhan Cad.No: 109 Atakule Balmumcu Beşiktaş,34349 İstanbul","BIST TÜM-100, BIST TÜM, BIST GAYRİMENKUL YAT. ORT., BIST MALİ",MALİ KURULUŞLAR,ALT PAZAR
ATATR,ATA TURİZM İŞLETMECİLİK TAŞIMACILIK MADENCİLİK KUYUMCULUK SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL,www.ataturizm.com.tr,atatur@hs01.kep.tr,19 Mayıs Mah. Büyükdere Cad. Beytem Plaza No:20 İç Kapı No:2: Şişli-İSTANBUL,"BIST 500, BIST 50",OTELLER VE LOKANTALAR,YILDIZ PAZAR
ATAVK,ATA VARLIK KİRALAMA A.Ş.,İSTANBUL,www.atavarlik.com.tr,muh@atavarlik.com.tr,EMİRHAN CAD.DİKİLİTAŞ MAH.NO:109 ATAKULE A BLOK KAT 12 DİKİLİTAŞ/İSTANBUL,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
ATA ATAYM,ATA YATIRIM MENKUL KIYMETLER A.Ş.,İSTANBUL,www.atayatirim.com.tr,muh@atayatirim.com.tr,DİKİLİTAŞ MAH.EMİRHAN CAD.NO:109 A BLOK ATAKULE BALMUMCU/İSTANBUL,,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,atakey.com.tr,yatirimciiliskileri@atakey.com.tr,Emirhan Cad. No:109 Kat:11 Balmumcu/Beşiktaş/İstanbul,"BIST 500, BIST 50",İMALAT,YILDIZ PAZAR
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,www.atakulegyo.com.tr,gyo@atakulegyo.com.tr,Çankaya Mahallesi Çankaya Caddesi No: 1B/68 Çankaya/ANKARA,"BIST TÜM-100, BIST TÜM, BIST GAYRİMENKUL YAT. ORT., BIST MALİ",MALİ KURULUŞLAR,ALT PAZAR
ATLFA,ATILIM FAKTORİNG A.Ş.,İSTANBUL,www.atilimfaktoring.com.tr,info@atilimfaktoring.com.tr,"Esentepe Mahallesi, Kore Şehitleri Caddesi, Propa Plaza İş Merkezi No:4-6 Kat:5 D:25-26-27-28-29 Şişli / İstanbul",,,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,İSTANBUL,www.atlantisholding.com.tr,info@atlantisholding.com.tr,Bostancı Mah. Bağdat Cad. Çataçeşme Palas B Blok N478 İç Kapı N16 Kadıköy/İstanbul,,MALİ KURULUŞLAR,YAKIN İZLEME PAZARI
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.atlasyo.com.tr,info@atlasyo.com.tr,Büyükdere Cad.No:171 Metrocity A Blok K:17 1.Levent / İSTANBUL,BIST MENKUL KIYM Y.O.,MALİ KURULUŞLAR,ALT PAZAR
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,İSTANBUL,www.atptech.com,yatirimci@atptech.com,Dikilitaş Mah. Emirhan Cad. No:109 K:9 Beşiktaş İstanbul Türkiye,"BIST 500, BIST 50",TEKNOLOJİ,YILDIZ PAZAR
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İZMİR,www.avod.com.tr,avod@avod.com.tr,Yıldırım Mahallesi 35.Sokak No:62/1 Menemen/İZMİR,"BIST 500, BIST 50",İMALAT,ANA PAZAR
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,www.avrasyagyo.com.tr,info@avrasyagyo.com.tr,Büyükdere Cad.No:171 Metrocity A Blok K:17 1.Levent/İSTANBUL,"BIST 500, BIST 50",MALİ KURULUŞLAR,ANA PAZAR
AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,İSTANBUL,www.avtur.com.tr,info@avtur.com.tr,Reşadiye Caddesi Cumhuriyet Köyü No : 18 Beykoz/İSTANBUL,"BIST TURİZM, BIST KONAKLAMA, BIST HİZMETLER, BIST İSTANBUL, BIST TÜM-100, BIST TÜM",OTELLER VE LOKANTALAR,ALT PAZAR
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,İSTANBUL,avrupayatirim.com.tr,info@avrupayatirim.com.tr,LEVENT MAHALLESİ GAZETECİLER SİT. A21/4 BLOK APT. NO.47/3 BEŞİKTAŞ/İSTANBUL,"BIST 500, BIST 50",MALİ KURULUŞLAR,ANA PAZAR
